,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137608380029352,0,0,0,0,0,0,0,0,0,0,-0.0977193857164245,0.434735950274226,0,0.688275512139969,0,0.039316925689899,0,-0.127707972410717,0,0,-0.0822670476120688,0,0.103754144040669,0,0,0,0,-0.135511799868479,0,-0.33956453205597,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.131378709435497,0,0,0,0,0,0,0,0,0,0,0.0387947864369989,0,0,0.326021270007376,0,0,0,0,0,0,0,0,0,0.121119340337276,0,0,0,0,0,0,0.200686633837303,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206721164994845,0,0.141539742881255
X601939.CH.EQUITY,0,0,0,0.803165001784162,0.00226964104303933,0.00150477955362714,0.0154946129519624,0,0,0,0,0,0.0107596569610368,0,0,0,0,0,0.0520839987359989,0,0,0,0,0,0,0,0,0,0,0,0,0.0897092083504266,0.0418560215564661,0,0,0,0,0,0,0,0,0,0,0,0.0320706922377618,0,0,0.0379131391918737,0,0,0,0,0.0145022301211827
X601288.CH.EQUITY,0,0,0.920380651048372,0,0,0,-0.0678075161749616,0,0,0,0,0,0,0,0,0,0,0.116119890115974,0,0,0,0,0,0,0,-0.0148149407388495,0.0589157543358572,0,0,0,0,0,0,0,0,0,0,-0.103996046986327,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.0483952840876056,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152631830336809,0,0,0,0,0,0.966809687416333,0,0,0,0,-0.0103946104576858,0,-0.148563374369621,-0.0439636922662481,0,0,0.27722226308029,0,0,0,0,0,0,0,0,-0.16215566122047,0,0,-0.151184149974537,0,0,0,0,0,0.0576594030146421,0,0.0659172138768733,0,0,0,0,0,0,0,0.0302547976294163,0.223998062413686
X600036.CH.EQUITY,0,0,0.386078427224037,0,0,0,0,0,0.0082261201089847,-4.33680868994202e-19,0,0,0,0,0,0.132671563745757,0,0,0,0,0,0,0,0,0,0,0.189960623629776,0,0.016567351020479,0,0,0,0.175114154547875,0,0,0,0,0,0,0,0,0,0,0.0212515950572428,0,0,0,0,0,0.0102660442370822,0.00744002066591801,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.708645418334888,0,0,0,0,0.102298089726369,0,0,0,0,0,0.111117358782872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650386798638162,0,0,0,0,0,0.0898391344445721,0,0.158529973366047
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.109474959122662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248687499444322,0,0,0.220993030600582,0,0.138651956393879,0,0.332216744437117,0,0,0.0198732607192391,0,0,0,0,0,0,0,0,0,0,0,0.357783658707186,0,0,0,0.124409453101594,0.0799823571611675,-0.058542553449873,0.106715661769831
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.024739512719337,0,0,0,0,0.402808773239449,0,0,0,0,0,0,0,0,0,0.461952347978268,0,0.0890321435478533,0,0.0172122224175823,0.311224395994926,0,0.0172424444497131,0,0,0,0,0,0,-0.378449373582476,0,0,0.13995442460978,0,0,-0.0592456956016309,-0.103755029234819,0,0,0,0,0.174952132865781,0,-0.0983466249604937
X388.HK.EQUITY,0,0,0,0,0,0,0.249943676147684,0,0,0,0,0,0,0,0,0,0,0,-0.235425958777101,0,0,0,0,0,0,0.390703607980975,0,0,0,0.0633920593486361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221944806710871,0.0367029612203894,0,0.083717292821329,0,-0.22097301829516,-0.0713964553226959,0,0.0280485752107721
