,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.360921080759068,0,0.308943842421696,0,0,0,0,3.46944695195361e-18,0.0476964761672136,0,0,0,0,0.0514753541611726,0,0,0,0,-0.0444584494480054,0,0,0,0,0,0,0,0.0431134837116379,0,0,0,0,0,0,0,0,0,0,0,0,0.0900686346444875,0,0,0,0,0,0.0587962753411356,0,0,0,0,0,0
X601318.CH.EQUITY,0.128382853700654,0,0,0,0,0,0,0,0.169240174554718,0,0,0,0,0,0,0,0.18586350187977,0.0151352239836586,0,0,0,0,0,0,0.070534730814151,0,0,0,0,0,-0.0407606425738618,0.12923959506694,0,0,0,8.67361737988404e-19,0.141950670994136,0,0,0,0,0,0.0422902653747934,0,0.0710670269338854,0,0,0,0.130391485530613,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.28339901528878,0,0.0676985766870971,0,0,0,0,0,0,0,0.459183353825023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732350316154637,0,0,0.0127532996094367,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.355187458286949,0,0.00689616859252974,0,0,0.502575762490231,0.0229877117137524,0,0,0,0,0,0,0,0.0332153968211474,0,0,0,0,0,0,-0.0349896824081007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125530141120024,0,0,0,0,0.0922086451802315,0,0.0029590088908021,0.00679906163543641,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0940998197163214,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.14240557715441,0,0,0,0,0,0,0,0,0,0.0915651226307209,0.229845285677483,0,0,0.255183559058718,0,0,0.0904102042756175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555170819055789,0,0,-0.0213764430408318
X601988.CH.EQUITY,0.408445838831018,0,0.0659263138540119,0,0,0,0,0,0.0417253904330059,0,0,0,0,0,0,0,0,0.0874771044719775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161200619186178,0,0,0,0.0309695296066207,0,0,0,0,0,0,0,0,0,0,0.202606006732821,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.20357210532224,0,0,-1.73472347597681e-18,0.282146383439866,0.0975984100754318,0,0,0,0.133737036749266,0,0,0,0,0,0,0,0,0,0,0.0340056937321684,0,0.109530037812459,0,0.0397366956555178,0,0,0,0,0.00330158969183875,0,0,0,0,0,0,0,0,0,0,0,0,0.028258454977433,6.93889390390723e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.101038144827075,0,0,0,0,0,0,0,0.425049759267029,0,0,0.133194529628665,0,0.131508417720251,0,0,0,0,0,0,0,0,0.241866776741329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.192209221943608,0,0,0,0,0.15748458834198,0,0,0,0,0,0.0192299547698194,0,0,0,0,0,-0.0163164026240617,0,0.208760197283832,0,0,0,0,0,0,0,0,0,0.0768988612599753,0,0,0,0,0,0,0.0464060674491263,0,0.0570165927284734,0,0,0,0,0,0,0,0,0,0.112227663608955,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,-0.292908908507851,0,0.222135029726713,0,-0.228818596936194,-0.118223748544937,0,0,0,0,0,0,0,1.01535539330077,0,0,0,0,0,0,0.167277893826861,0,0,0,-0.0835538381364612,0,0,0,0,0,-1.08523486148156,1.73472347597681e-18,0,0,0.00537904085171506,0.943682547259011,-0.214191774822624,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621427382602738,0,0,0,0,0,0,0,0,0,0.0425009372529673,0,0,0,0,0,0,0,0.0253113432320175,0,0,0,0,0,0,0,0,0,0.204649967511542,0.0387656192160968,0,0,0,0,0.043066328436057,0,0,0,0,0
X601166.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0.321075086510229,0,0,0,0,0,0,0,0,0,0.142143642070695,0,0,0,0,0,0,0.0286362844433709,1.73472347597681e-18,0.141264732549562,0,0,6.93889390390723e-18,0.251964763968206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107825724764844,0,0,0,0,0,0,0
X000002.CH.EQUITY,0.2136881171436,0,0,0,0,0,0,0,0,0.00855475371700369,0.0307439032950207,0,0,0,0,0,0.0143793561086632,0,0.0156471034460672,0,0,0,0,0,0,0,0,0,0,0,0.517885157453784,0.0119884994444617,0,0,0,0,0,0,0.191094623186982,0,0,0,0,0,-0.181218015770673,0,0,0,0,0,0,0,0
