,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0166651394556611,0.428177794692448,0.101590721558171,0.0844908540084319,0,0.0365694246891419,0,0,0,0,-0.0074111307254605,0,0.0388222766310847,0,0,0,0.0630972638182097,0.0472078985132162,0,0,0,0,0,0.107509775566957,0,0,0,0,0,0.0134209650397003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015004966728312,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0815304688175268,0,0,0.0385247426914595,0,0,0,0,0,0,0,0.197403432453864,0.0283874531405426,0,0,0,0,0,6.93889390390723e-18,0.0552239400373146,0.101050625371262,0,0,0,0,0,0,0,0.127974925211567,0,0,0,0,0.318750319565844,0,0,0.0293398691972669,0,0,0.0206497184365185,0,0,0,0,0,0
X601939.CH.EQUITY,0.339372257585011,0,0,0.142700667131643,0,0.190029745801946,0.000614998437251539,0,0,0.0486473440935901,0.095464965746266,0,0,0,0,0,0,0,0,0,0,0.00145394073835491,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0613138014109516,0,0,0,0,0,0.0116010425439683,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421031897263585,0,0,0,0,0,0,0,0,0.213073752348933,0,0,0,0,0,0,0,0.0929939310133636,0,0,0.104504704291254,0,0,0,0,0.0529709694169597,0,0.0428122398601838,0,0.0799532535528995,0,0,0,0,0,0,0,0,-0.0364168789855615,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.464873708906078,0,0,0,0,0,0,0,0,0,0,0.14548810968414,-0.372180097221564,0,0,0,0,0,0,0,0,0,0,0,0.120514465863173,0,0,-0.591585677967219,0,0.440164500049389,0,0.0301528789113145,0,0,0,0,0,0,0,0,-0.282697283089056,0,0,0,0,-0.316265599034899,0
X601988.CH.EQUITY,0,0,0.318429154914106,0,0,0,0,0,0.0168441101452648,0,0,0,0,0.0909771596139985,0,0,0,0.0505329066199526,0,0,0,0,0.558436582462358,0.0304525826842572,0,0,0,0,0,0,0,0,0,0.0238628970112377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401019652813953,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0145296119995162,-0.0244613387944539,0.202849561251202,0,0,-0.0232426788893301,0,0.0579893775192315,0.0221668041303746,0,0,0,0,0,0.473637701990604,0,0.117563836198413,0,0,0.101142839858666,0,0,0,0,0,0,0,0,-0.0229070144991903,0,0,0,0.0498807478065019,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0111418500526906,0,0,-0.0385092279274171,0,0,0,0.101778070600736,0,0,0.0201909986262457,0,-0.0343805705633115,0,0,0.26913866021421,0,0,0,0.0913336115267699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256813510118817,0,0,0,0,0.32220548519452,0,0,0,0.115894445706425
X601628.CH.EQUITY,0,0,0,0,0.0253641386111941,0,0,0,0,0,0.195590905981638,0,0,0,0,0.00460948268524535,0,0,0,0,0,0,0,0,0,0,0.0436929797735712,0,0,0,0,0,0,0,0,0,0.225203278185305,0,0,0,0.172053447763938,0.156517846688477,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.15628608860448,0,0,0,0,0,0,0,0,0,0,0.100048037937442,0,0,0,0,0,0,0.0224555554838861,0.0885959560581737,0,0,0,0,0,0.112209493677401,0,0,0,0.0610141193121688,0,0,0,0.0577993930229679,-0.0245819976660503,0,0,0,0.16697260402624,0.2461610898639,0,0,0,0,0,0,0,0.0213258009856579,0,0,0
