,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.434204140187791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298979296128678,0,0,0,0,0.0195102331220459,0.179667214399356,0,0.0287395939293688,0.00491071454094531,0,0,0,0,0,0,0.0301118208802446,0.0584630607369181,0.260136706484057,-0.0330895655446449,0,0
X601318.CH.EQUITY,0,0,0,0,0.0479074809053705,-1.73472347597681e-18,0,0.0144313708040432,0.139522585844239,0,0.0542103951231554,0,0,0.086666935094818,0,0,0,1.73472347597681e-18,0.209864601296156,0.203912203737233,0,0.0702607629637282,0,0,0,0,0.0984636152558178,0,0,0,0,0,0,0,0,0,0.0141239543736775,1.73472347597681e-18,0,0,0,0,0,0,0.0577532076464339,0,0,0,0,0,0,0,0.093189324234409
X601939.CH.EQUITY,0,0,0,0.288126577198958,-0.0781605711255634,0,0.0203786862484374,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00378059146851154,0,0,0,0,0,-0.250617841043071,0.738727416055258,0.0105010115721234,0,0,0.0229902495761527,0,-0.107834164197915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146242623323145,0,0,0,0,0,0,0,0,-0.128128904864259,-0.00382425366313227
X601288.CH.EQUITY,0.16343806464512,0,0.016186392387746,0,0,0.055844795772557,0.375425225848519,-0.0833896027965749,0,0,0,0,0,0,0,0.0529043569800548,0,0.0122075787717741,0,0,0,0,0.03487012844104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191559170297379,0,0,0,0,0,0,-0.126499047272623,0
X600036.CH.EQUITY,0,0.190603733697233,0,0,0,0.0717984471771293,0.0936798358850932,0,0,0,0,0,0,0.216091850923366,0,0,0,0,0,0,0,0,0,0,0.0303358941248253,0.336641486590541,0,0,0,0,0,0.0927885417535134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190018571213616
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0250205894591932,0,0,0,0,0,0,0,0.139145034019275,0,0,0,0.067694708075488,0,0,0,-0.0650795183740066,0,0,0,0.0448747945320797,0,0,0.248935780775881,0,0.068147041094466,0,0,0.501800531386797,0,0,-0.0213701558082487,0,0.0612189170086688,0,0,0,0,0,0,0,0,0,0.109058543330295
X601988.CH.EQUITY,0.0536637257802059,0,0.0323912011952741,0.178067371304342,0.362202821112129,0,0,0,0,0,0,0,0,0,0,0.177235491230027,0,0,0,0,0,0,0,0,-0.00668612843756371,0,0.0749485680038241,0,0,0,0,0,-0.122053735620181,0,0,0,0.263274618857721,0,0,0,0,0,0,-0.0753375427456234,0,0,0,0,0,0,0,0.0244525308994972,0
X1299.HK.EQUITY,0,0,-0.0421030418324529,-0.0329649171591897,0,0,-0.000240623610640257,0,0,0.118886100432743,0,0,0,-0.16846203695584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219815028799696,0.0305993045733108,0,0,0,0,0,0,0,0,0,0,0.142882562287672,0.145626301610817,0.0315374569915493,0,0.0710923103883307,0.0607514835831916,0,0.180786802704826,0,0.132669765799894,0,-8.67361737988404e-19,0,0
X5.HK.EQUITY,0,0,0,0.0104708168064594,0,0,0.0156054539907681,0,0,0,0,0,0,0.0531409778741873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146574257521146,1.73472347597681e-18,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.272114834906758,0.468207354124906,0,0,0.170905143916937,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.149622647381885,0,0,0,0,0,0,0,0,0,0,0,0,-0.028348433033864,0.492141012977227,0,0,0,0,0,0,0.155886884467377,0,0,0.124149204624244,0.176703504274892,0,0,0,0.0271012713537613,0,0,0,0,0.0782750025147986,0.0359703628347884,0,-0.0248346729676426,-0.173079763183322,0.0756692967237229,0,0,0,0,0,0
