,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0753330160140507,0,0.658631345950488,0,-1.73472347597681e-18,0,0,-0.0220774603521898,0,0,0,0,0,0,0.00149693048684697,0,0.11751813357331,0,-0.00107772038806636,0,0.0141762103566818,0.0220550790600185,0,0,0,0,0,0.0513164802042108,-0.0168870397965468,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0237622190405063,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0156800982331073,0,0,0,0.182861245948314,0,0,0,0,0,0.334235737637089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187958128806862,0,0,0.0905867876461676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144207134719336
X601939.CH.EQUITY,0,0,0,0,0.266985742116005,0,0,0,0,0.0770165581134419,0.120859114836636,0,0,0.00818165577814923,-0.0120719803196455,0.199003011151455,0,0,0.240626885621214,0,0,0,0,0,0,0,0.0292514242940567,0,0,0,0,0,0,0,0,0,0,0,0.103474017450919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0,0,0
X601288.CH.EQUITY,0.396327884836941,0.103687766467002,0,0,0,0,0,-0.0198370789443571,0,0,0,0,0,0.0581109938409093,0,0,0.0908707670831015,0,0,0,0,0,0,0,0,0,0,0,0.110617099587305,0,0,0,-0.0244679928569129,0,0,0,0,0,0,0,0,0.0265827678043607,0,0,0,0,0,0,0,0.283419885057274,-0.0517236748664395,0,-0.0568892290749131
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.205067476887623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712239964827828,0,0,0,0,0,0,0,0,0,0,0,-0.042304617227849,0,0,-0.144657642513111,0,0,0,0,0,0,0,0,-0.0334030077160869,0,0.0156764777647495,-0.0371698597260544,0.946948728686116,0,-0.0695926125728239,0,0
X1299.HK.EQUITY,0,0,-0.140803458925133,0,0,0,0,0,0,0.310247331535621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105508158637733,0,0.223667564928109,0.0376230627964378,0,0,0,0,0,0,0,0,0.088719446096257,0.153929524053676,0,0,0,0.0158998132108191,0.102249843507566,0,0.0816315869392851,0,0,0.0305157232234097,0,0,0,0,-0.059667098683112
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229904175456591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543431159165988,0,0,0.356205617082358,0.136998342605357,0,0,0,0,0,0,0.0677711477645087,0,0,0,0,0.167089475534291,0,0.341278413626621,0,0,0,0,-0.0660102092420841,0,0,0
X388.HK.EQUITY,0,0.0664577782210076,0,0.0963767662976655,0,0,0,0.0386191671917132,0,0,0,0,0.0174761679691965,0,0,0,0,0,0,0,0.0504984751232537,0.068725563851431,0,0,0,0,0,0,0,0,0.158050870983095,0,0,0,0,0,0.088539823527081,0.142310398621213,0.185533804023822,0,-0.19146801238122,0,0,0,0,0,0.308423662659666,0,0,0,0,0,0.0263183281071249
X601658.CH.Equity,0.136041963653295,0.0744486983888723,0,0,0,0,0,0,0,0,0,0,0,0.233236166651877,0,0,0,0,0.050226977229608,0,0,0,0,0,0,0,0.118281812195283,0,0.0519563330879669,0,0,0,0,0,0.126607948312068,0,0.0808368917770098,0,0,0.0876815386260184,0,0,-0.130887314985614,0,0,0.0526474406374012,0,0,0,0,0,-0.0148751879701322,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.100891697025927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368762981157019,0,0.00348622900826277,0,0,0.0252110012225486,0,0,0,0,0,0,0,0,0.0742431620654728,0,0,0,0,0,0,0.033861701679033,0,0.015008822203889,0,0,0.257451949918197,0,0.0304877653552192,0,0
X600030.CH.EQUITY,0,0,0.0124449626234226,0,0,0,0,0,0,0,0,0,0,0,0.453069975133238,0,0,0,0.0107193119990033,0.136988111522137,-0.018305925185316,0,0,0,0,0,0,0,0,0,0,0,0.000812448737101554,0.21354563672415,0,0,0,0,0.191136909706579,0,0,0,0,0,0,0,-0.056059807002495,0.118855361582627,0,0,0,0,0
