,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X000001.CH.EQUITY,0,0.0264222623179968,0,0,0,0.557546139114176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253259681768235,0.0557084227360757,0.0730853523029598,0.0162242316934163,0,0,0,-0.253355278819128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018569835234412
X000002.CH.EQUITY,0,0,-6.93889390390723e-18,-0.254852607656245,0,0,0,0,0.399618010218377,0,0,0.0537184592355498,0,0,0,0,0,0,3.46944695195361e-18,0,0.0489411882709095,0.069925936476549,0,0,0,0,0,0,0,0,0,0.0232495901206866,0,0,0,0,-0.00857143451146284,0,0,0,0.316072482703714,0,-0.106671220803832,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.168962023625462
X601328.CH.EQUITY,0,0.0792587783366564,4.33680868994202e-19,0,0.0161820646955039,0,0.0783099994257044,0,0,0,0,0,0,0,0,0,0,0,0.322320056914543,0.0310624263315685,0,0.128774134816626,0,0,0,0,0,0,0.146134298557026,0,0,0,0,0,0,0,0.132834752347377,0,0,0,0,0,0,0,0,0,0,0.0631619958358584,0,0,0,-0.0130204755024089,0
X601066.CH.EQUITY,0,0,0.0114072697213303,0,0,0.00802826822121346,0,0.0203339191982339,0,0,0,0,0.772212138029312,0,0.116994665116067,0,0,0,0,-0.183526691202043,0,0,0,0,0,-0.00930902032442157,0,0.0949059023826,0,0,0,0,0,0,0,0,0,0,0.110456995352201,0,0,0,0,0,0.0339231461777598,0,0,0,-0.0252046713714268,0,-0.0663796697258359,0,0
X601601.CH.EQUITY,0,0.349716438242763,0,0.174147063393962,0.139447446784251,0,0,0,0,-0.111160218004519,0,0.15811779400054,0,0.0493971234905829,0.0348997524626844,0,0,0,0,0.306157904499544,0,0,0,0,0,0,0,0,0,0,0,-0.135747263355996,0,0.0311749269477325,0,0,0,0,0,0,-0.0283575619776744,0,0,0.00444440110373083,0,0,0,0,0,0,-0.00331809042174708,0,0.0655033742942344
X600000.CH.EQUITY,0,-1.0842021724855e-19,0.0271920799511507,0,0,0,0.0233271952207255,0,0,0,0.108349726956176,0,0.119124172881126,0,0,0.463098743444952,0,0,0,0,0,0,0,0.0253803103480883,0,0,0,0,0,0,0,0,0.0180585674621396,0,0,0,0,0.0989911718083373,0,0,0,0,0,0,0,0.00689350254346017,0,0,0,0.150144695337724,0,0,0
X601319.CH.EQUITY,0,0,0,0.0492303867302121,0,0,0,0,0,0,0,0,0,0.301332643036944,0,0.0578971806313329,0,0.0511779119415066,0,0,0,0,0,0,0,0,0,0,0.266741339696138,0.175204329186755,0,-0.046183311860891,0,0,0,0,0,0,0,0,0,-0.0514311636640343,0,0,0,0,0,0,-0.0209257305127349,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.194714295155975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0681190664601059,0,0.255480272464202,-0.0102436271470635,0,0,0,0,0,0,0,0,0,0,0.183484662719093,0.0427628968143615,0,0,0.16322467051723,0,0,0,0.311924525585149,0,0
X600016.CH.EQUITY,0,0,0,0.148936484792568,0,0,0,-0.0391093140386806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172994533214971,0,0.0378928061135612,0,0,0,0.347083452571041,0,0.0655991268715476,0.0342980991482153,0,0,0,0,0,0,0,0,0,0,0,0,0.0176917492312526,0,0,0.152641095737658,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.10503152661405,0,0,0,0,0,0,0,0.268743082941246,0,0,0,0,0.206601489143643,0.203798553566139,0,0,0,0,0.113493654407695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0907757189186613,0,0.133837363669222,0,0.0870334169570292,0,0,0,0,0,0,0,0.0146434165461187
X300059.CH.EQUITY,0,0,0,0.0860476279536165,0,0,0,0,0,0,0,0,0,0,-0.00755416522028226,0,0,0,0,0,0,0,0,0,0,-0.0117918784487244,0,0,-0.0484511513820764,0,0,-4.33680868994202e-19,0.255173378202447,8.67361737988404e-19,0,0,0,-0.015025009735364,0,0.0356065880542317,0,0,0.0192614046901231,0,0,0,0,0,0,0.490662772605272,0,0,0.0259935148734829
X002142.CH.EQUITY,0,0,0,0,0,0.750779156441938,0.0297835373283704,-0.224254515103755,0,0,0,0,0,0.148333282998608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183078967340705,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0431791654884747,0,0,0,0,0.0246118995186786
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.521291087823173,0,-0.158576167744319,0,0,0.163159040677903,0.043541856746406,0,0,0,0,-0.0834296369824212,0,0,0,0,0,0,0.263575547155204,0.0842361212037534,0,0,0,0,0,-0.0252494970898381,0,0,0,0,0,0,0,0,0,0,0,0.173198354509208,0,0,0.0783073640942456,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.27151990030233,0.0701028484782455,0.0251476039441032,0,-0.235591252922893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28182984976793,0,-0.138764329609126,0,0,0,0,0,0.288735875627586,0,0,0.07384597425452,0.164759341061095,0,0,0,0,0,0,0.108064814582525,0,0,0.000774421004124454,0
X1109.HK.EQUITY,0,0,0,0.102623988612347,0,0,0,0,0,0.0634904597433543,0,0,0,0,0,0,0,0.141849653703419,0,0,0.161166614965219,0,0,0,0,0,0,0,0,0,0.0926533835869947,0,0,0,0,0,0,0.181408990253824,0,0,0,0.054671715627938,0,0,0,0,0,0,-0.0265167629927969,0,0,-0.0509992756293716,0.0316016325339848
X600048.CH.EQUITY,0,0,0,0,0.0692385017551138,0.112909228069154,0,0,0,0,0,0,0,0,0.548476134666039,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0367628118319644,0,0,0,0,0,0,0,0.208357037803957,-0.0388445440234993,0,0,0,0,0,0,0,0,0,0,0.0252696655535509,0,0,0.0823928120629805,0.187136068213738,0,0,0,0,0
X601818.CH.EQUITY,0.272042618267862,0.0447616508218611,0,0,0,0.0490861747272331,0,0,0,0,0.0529494936332682,0.166450492443432,0,0,0,0,0.0428315772709943,0,0,0.0141291705869199,0,0,0,0,0,0,0,0,0,0,0,0,0.015693726276573,0,0,0,0,0,0,0,0,0,0,0,0.192827875823049,0,0,0.0712308398855211,0,0,0,0,0
X688.HK.EQUITY,0,-0.0213279284983969,0,0,0,0,0,0,0,0.0646632880760364,0,-0.255461246234509,0,0,-0.134063438167201,0,0,0,0,0,0.390787749278642,0,0,0,0,0.0605427830139949,0,0.200274861357388,0,0,0,0.384760045418016,0,0,0,0.00646454103384003,0,0.143075577410032,0.053939776013562,0,0,0,0,0,0,0,0,0,0.0579721185473682,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0.175933624436055,0,0,0,0,-0.0496317442067353,0,0,0,-0.540354479923135,0,0,0,0,0,0,0,0.0375080010984016,0,0,0,-0.0994820717140736,0.102671250808469,-0.119302700131024,0.467747155419296,0,0,0,0,0,0,0.305944459569647,-0.0175863514376165,0,-0.0677128111788786,0,0,0.367633380151029,0,0,0,0,0,0,0,0.0419342208749749,0.161527988316115
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0410757955318353,0,0,0,0,0.0118755321380077,0.109217793364031,0,0,0,0,0.143685430109794,0.0852556422507379,0,0,0,0,0,0,0,0,0.0186622688871104,0.125850344543007,0.0423862437233169,0.0591833640076534,0,0,0.225290145074085,0,0.0493852243571182,0.0759173546241906,0,0,0.202097013036265,2.16840434497101e-19,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.465027268600994,0,0,0,0,0,0,0,0,0,0,0.0133337471985214,0,0,0.023767899243148,0,0.0574615097445818,0,0,0,0,0,0,0,-0.0686671183932326,0,0,0,0,0.0641916466613156,0,0,0,0,0.140351992007308,0,0.0619405060008744,0,0,0,0.285796941855157,0,0,0,0,0,0,-0.0918227900181433,0.0094060758180365,-0.0400230493452282
X600999.CH.EQUITY,0,0,0,0.12789847688251,0,0,0,0,0,0.103988695023772,0,0.174150139822085,0.2386018961325,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0596925779810461,0,0,0,0,0,0,0,0,0.0458911457169555,0,8.67361737988404e-19,0,-0.0587851731118129,0,0,0,0.0292716733072641,0.121101521139102,0,2.16840434497101e-19,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0.00504972615282778,0,0,0,0,0,0,0,0,0.240345410972272,0,0.0140324122366976,0,0,0.106740121956016,0,0.0380153334318186,0,0,0,0.203421076976562,0,0,0,-0.0670852984975993,0,0,0,0,0.240806888579091,0,0.0339751732133982,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067271515990359,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.126325369131056,0,0,0.0131649495770156,0,0,0.164092763318863,0,0,0,0,0,0,0,0,0,0.24146950117575,-0.176630654559099,0,0,0.0918555231501894,0,-0.0707952165841529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407092922373058,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0.209318941449307,0,0,0,0,0.174841521953132,0,0,0,-0.000586649265823233,0.154133196257491,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0638564052770864,0,0,0.124399491337377,0.168132465570302,0,0.0230973738912226,0,0,0,0,0,0,0,0.219766114862715,0,0,0,0,0.0783531166796249,0,0.0945750921265334,-0.194009328007609,0,-0.00768841350998442,0
X002736.CH.EQUITY,0.115451056569457,0,0,0.137008460664513,0,0,0,0,0,0.0626049537880947,0,0,-8.67361737988404e-19,0,0,0,0.126614443699964,0,0,0,-0.0110811688492231,0,0,0,0.0906969849082007,-0.0407164456682045,0,0,0,0,0,0,0,0,0.0856302637537256,0,0,0,0,0.258026670175651,0,0,0,0,0,0,0,0,0,0.116636514747635,0,-0.0514059606056542,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.180584103619146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179828375906553,0.0209891179758718,0,0.398517394055264,0.206682377123256,0.156938340684402,0,0.0358175947335216,0,0,0,0,0,0,0.0232927984013521,0,0.0323515627784093,0,0.225652253623158,0,0.113407142228667,0
