,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.313289019580366,0.240923399120226,0,0.168384066777247,0,-0.121983184138137,0,0,0.0713738075529025,0,0,0,0,0,0,0.0262635895660573,-0.155839900394498,0,0,0.130613904049852,0,0,0,0.0473540339668639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901722513848803,0,-0.0155281406891056,0,-0.0834190492013898,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.185836936020554,0,0,0,0.29338061733701,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0674342427333655,0,0,0,0,0,0,0,-0.249496321681554,0.274039088813655,0,0.190008943309349,0,-0.00144959280125076,0,0,0,0.063519400982738,0,0,0,0
X601939.CH.EQUITY,0.425897842164997,0,0,0.0869085158380592,0.107527360903655,0,0,0,0,0,0,0,0.141610882947148,0,0,0,0,0,0,0.0137098185350864,0.128148421627895,0.012297766847583,0,0.0302697751436043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321646512727777,0,0,0,0,0,0,-0.170910266019813,0,0,0,0,0,0
X601288.CH.EQUITY,0.389926459624417,0.0382959207643181,0.114830033854842,0,0.0436282247777143,0,0,0,0,0,0,0,0,0,0,0,0.0298347655815905,0,0,0,0.0164244023794846,0,0,0,0,0,0,0,0,0,0,0,0.0978874727875659,0,0,-0.0541267282948463,0,0.115921374464153,0.0883007650653372,0,0,0.231106256704101,0,0,0,0,0,0,0.0659387517848293,0,0,-0.0368939011154174
X5.HK.EQUITY,0,-0.251534695910763,0,0.0168328405282166,0,0,0,0,-0.315433857433332,0,0.283125178348489,0,0,0,0.0263649704691948,0,0,0.0734108105580702,0,0.0257528167168293,0,0,-0.0610094259449652,0.60465368051934,0,0,0,-0.00784525570941187,0,0,0,0,0,0,0,0,0,0,0.0324431548526186,0,0.0675766545479388,0,0,0,0,0,0,0,0,0,-0.339223720856024,0
X601988.CH.EQUITY,0,0,0.156097947228812,0.249374121739993,0,0,0,0.0607508879214792,0,0.152339279476005,0.155340291981139,0,0,0,-0.293237399713023,0,0,0,0,0,-8.67361737988404e-19,0.15732552479751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932875800565445,0,0,0,0,0.0662036045428962,0,0.0868000270657477
X600036.CH.EQUITY,0,0.350677792074596,0,0,0,0,0,-0.0267611155084241,0,0,0,0,0.185810109771384,0,0,0,0,0,0.0607074223860386,0,0.0224373349089139,0,0,0.267697827892951,0,0,0,-0.0051649070454763,0,-0.00111750625071848,0.218936942885084,0,0,0,0,0,0,0,0,0,0.0623681688047444,0,0,0,0,0,0.0191560477376094,0,0,0,0,0
X601628.CH.EQUITY,0,0.129863655558062,0,0.250771130373316,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.314260900249,0,0,0,0,0,0.0679292855760342,4.33680868994202e-19,0,0,0,0,0,0,0.10372163013149,0,0,0,0,0.00294008743889747,0,0,0,0,0,0,0,0.127443257321012,0,0,-1.73472347597681e-18,0,0,0,0,0,0.018198755284773,0,0.234734626282958
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357760913859717,0,0,0,0,0,0.170085188879523,0,0.136672905212053,0,0.169193522495866,0,0,0,0,0.0182341799793433,0.388879765630092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525191767396036,0,0,0,0,0,-0.00439187582451551
X601166.CH.EQUITY,0,0,0.0970406400750689,0,0,0.0571927561198059,0,0,0,0,0,0,0,0,0,0.24227930912957,0,0,0,0,0,0,0,0,0,0,0,0.0182915990411447,0,0,0.409670997394775,0,0.231283175908403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082238613527145
