,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0409486587292189,0.437191943063744,0.0468482036576154,0,0,0.0208976404188882,0,0,0.0177848404698861,0.151558569595753,0,0.0827684569510527,-0.0460673148875725,0,0,0.0604547376380476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622415963622222,0,0,0,0,0,0.0733565179693314,0,0,0,0,0,0,0,-0.0339122345629265,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.110635441611821,0.0204091255616044,0.0609982056653409,0,0,0,0,0,0,0,0.417492723692697,0.0773218803707106,0,0,0.00050018226000813,0,0,0,0.0224992633116079,0,0,0,0,0,-0.0293633340705709,0,0,0,0.226183432732566,0,0,0,0.106546479854335,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.11851330168246,0,0,0.589111733398422,0,0,0,0,0,0,0.0321002647105231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697405914307342,0,0,0,1.73472347597681e-18,0,0,0.119316512423379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703721574712098,0.00752143841287658,0,0.0313533025885981
X601288.CH.EQUITY,0.0705311936059512,0,0.287699704930461,0,-0.0201360728221546,0,0,0,0,0.153255502913611,0,0,0,0.0171710588117799,0,0,0,0,0,0,0,0,0,0,0.230685990005549,0,0,0.137882568308229,0,0.0570308882381289,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0
X5.HK.EQUITY,0,0,0,0.262190180217311,0,0,0,0.462388076773553,0,0,0,0,0,0,0,0,0,0,0,0.232595282584314,0,0,0,0,0,0.124649886949858,0,0,-0.04858626369056,0,0,0,0,0.000585745376362967,0,0,0,0,0,0,0,0,0,0,0,0,-0.0963565506093255,-0.22277293832225,0.202246538120322,0,0,0
X601988.CH.EQUITY,0,0,0.0479325036692796,0.0136408848858979,0.0771738629070221,0,0,0,0.12343498719485,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.547245114485034,0,0,0,0,0,0,0.0305448011513487,0,0,0,0,0,0,0,0,0.0578529876896456,0.0234082653081778,0,0,0,0,0,-0.0049593831545875,0,0,0,0,0.0676325980779286,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0165316473506276,0,0,0,0.023347252504713,0,0,0,0,0,0,0,0.0489930029212877,-0.0248175546850794,0,0,0,0,0,0,0.731315928057578,-0.00333329287825484,0,0.0352288785906089,0,0.117647521014611,0,0,0,0,0,0.0166079481640833,0,0,0,0,0,0,0.0717372718744419,0,0.0607261493842831,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0653629035588268,0.237825512282796,0,0,0,0,0,0,0,0.086625541746116,0,0,0,0,0,0.148776323412272,0,0.106669981989745,0,0,0,0,0,0,0,0.109096001570258,0.0211289070383851,0,0.188666275051741,0.0554627359852241,0.171590941422073,0,0,0,0,0,0,0,0,0,0,-0.107573455293597,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.150274104776139,0,0.000632906950626308,0,-8.67361737988404e-19,0.00570766735506605,0,0,0,0,0,0,0,0,0,0.0775897560416888,0,0,0,0,0,0,0,0.166956263461301,0,0,0,0,0,0,0,0,0,0,0.365583424864339,0,0,0,0.207725575078455,0,0,0.0111600745357721,0,0.0302681431973487,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.165792357224822,0,0.002847366488416,0,0.118120383075646,0,0,0,0,0,0,0,0.26551489310159,0,0,0,0,0,0,0,0.230245060115542,0,0,0,0,0.0699672549562058,0,0,0,0,0,-0.00569983812086032,0,0,0,0,0.20183424858538,0,0,0,0,0,0.00191323308927982,0,0,0,0.0258737603136967,0,0,0
