,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.43667608693196,0,0,0,0,0,0,0,0,0,0,0.334684116170924,0,0,0,0,0,-0.0398882599922571,0,0,0,0,0,0,0,0,0.0648525921053864,0,0,0,0,0,0,0.00485013581937214,0,0,0,0,0,0,0,0,0.00986834738759938,0,0.127472526855121,0,0,0,0,0
X601939.CH.EQUITY,0.28045308167119,0,0,0,0,0,0,0,0,0,0,0.136537585726509,0,0.38388439206175,0,0,0,0,0.0691560968813115,0,0,0,0,0,0,0,0,0,0,0.0173195166999933,0,0,0,0,0.0749446911249556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.203574170514441,0,0.0843632843223256,0,0,0,0,0,0,0,0,0,0,0.29894509879545,0.0695380037543837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146902575110504,0,0,0,0,0,8.67361737988404e-19,0,0.121915453030217,0,0,0,0,0,0,0,0,0.0214649752902521,0,0,0
X601288.CH.EQUITY,0.320698114269777,0.125024737612823,0,0,0.381528083289872,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0963220668099349,0.0372924683631801,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.177211639326942,0,0,0,0,0,0,0.238533028917488,0,0,0.0933882951712703,0,0,0,0,0,0,0,0.0234989047961667,0,0,0,0.097970287903746,0,0,0.0741643345017902,0,0,0,0,0.101484404950232,0,0,0,0,0,0,0,0.0650608125656501,0,0,0,0.0492467194162129,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.276051533042568,0,0,0.180329128045789,0,0,0,0,0.599399631804593,0,0,0,0,0.569533877887304,0,-0.641271390943302,0,0,0,0.116409673953151,0,0,0,0,0,0,0,0,0,0,0.0168783967093463,0,0,0,0,0,0,0,0,-0.201214214999679,-0.0420629834306577
X600036.CH.EQUITY,0.0978083196798581,0,0,0.0547784864342118,0,0,0,0.0180697871811621,0,0,0,0.0218151423754553,0,3.46944695195361e-18,0,0,0,0,0.0137070078003058,0.0800181850823569,0,0,0,0,0,0,0,0,0,0,0.0978520796501804,0.114020699316095,0,0,0,0.203229894598388,0.0268266170187096,0,0,0,0,0,0,0,0,0,0,0,0,0.0799828213478842,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.03569762393278,0,0,0,0,0,0,0,0,0,0.0258296871622233,0,0,0,0,0.168477794700593,0,0,0.0552111008221917,0,0.0966960561517861,0,0.107511338099722,0,0,0,0,0,0,0,0.0541762799002463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369866198325526,0,0,0
X601628.CH.EQUITY,0,0.284699711756669,0,0.136422510660191,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0154893206103736,0,0,0.0582693593724198,0.0294378002334119,0,0,0,0,0,0,0,0,0,0.193246466159093,0,0,0,0.016396078814115,0,0,0,0,0,0,0,0,0.112270789094897,0,0,0,0,0,0,0.012658259921054,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0978829105567567,0,0,0,0,0,0.193102340024302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741252759988464,0,0,0,0.0881870971699565,0.261461270672751,-0.266590205421709,0,0,0,0,0.378100430505138,-0.0213187172398672,0,0,0,0,1.10213407420226,0,0,-0.492652213973082,0,0,0
