,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601658.CH.Equity,0,0,0,0.230926682978506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226418359614229,0.0502795068745457,0,-0.092902419997786,0,0,0,0,0,-0.125328284364096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37132221146455,0,0,0.0654907519412918,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00514069004488155,0,0,0,0,0.236401543668395,0,0.065565079806946,0,0,0,0,0,0,0,0,0,0.0494096178074019,-0.00395684625929772,0,0,0,0,0,0,0.340925519400178,0,0,0.0604671519205347,0,0,0,0.0658408677908347,0,0,0,0,0,0.0036947340820547,0.0929828726412309,0,1.38777878078145e-17,0,0.0150472396114585,0,0
X601066.CH.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0511315309375838,0,0,0.422825901453531,0,0,0,0,0,0,0,-0.0312493815816182,0,0,0,0,0.227260151920397,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0450758105035635,0,0.197295126512357,0.0217493619475414,0,0,0,0,0,0,0.0108589125316568,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00525750752315673,0,0,0,0.577560293374965,0.00908563813589423,0,0,0,0.0457780609132531,0,0,0,0,0.0934467494893244,0.0760986894624215,0,0,0,0,0,0.0263586122757503,0,0,0,0.0370183391239285,-1.73472347597681e-18,0,0,0,0,0,0.087727254412681,0,0,0,-0.0294924117900333,0,0,0,0,0,0,0,0,0,0,0,0.0270156892448964,0,0,0
X601328.CH.EQUITY,0.198017320976001,0,0,0.134364749279809,0,0.0242090500473201,0,0,0,0,0,0,0,0,0,0.0802956442318501,0,0,0,0,0,0,0.242479547165329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0694836626300021,0,0.0338737954143231,0,0,0,0.00345561477632157,0,0,0,0,0,0.448766456254838,0.165285162849517,0,0,0,0,0,0,0,0,0,0,0,0.00845966378219113,0,0.0136250089706353,0.0928865960647313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.00932484154038677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102505996907387,0,0,0,0,0,0,0.117331444251159,0,0.00280214102402055,0,0.0938162153178101,0,0.156052376662464,0.278662764964569,0,0,0,0,0.0342640563139899,0,0,0,0,0,0,0,0,0.0442420853908055,0,0,0,0,0,0,-0.010614965863916
X601319.CH.EQUITY,0,0,0,0.238991260370805,0.0843375956447842,0,0,0,0,0,0,0,0,0,0.0330857100973796,0,0.142552389024511,0,0,0,0,-0.0252067088673756,-0.00739159342348108,0,0,0,0,0,0,0,0,0,0,-0.0267638430871178,0,0,0,0,0,0,0,0.349845447141408,0,0.0414603185422177,0.0245704764555422,-0.0281203029233603,0,0,0.157062435920003,0,-0.108165998316993,-0.0477343320710042,0
X000001.CH.EQUITY,0,0.228327833617069,0,0,0,0.0985219755354299,0.022584808324012,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.133022425633509,0,0,0,0,0,0,0,0.0881263772086901,0,0,0,0,0,0.166588870252506,0,0,0,0,0,0.0492917930107656,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.380561388995984,0,-3.46944695195361e-18,0,0,0,0,0,0.0796637944600855,0,0,0,0,0,0,0,0,0,0,0.124924476077674,0.0322397453223426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0718288899497011,0,0.436851507106395,0,0,0,0.175525430222983,0,0,0,0,0,0,-0.0714080443645577,0,-0.00873056234031583
