,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.182874368263342,0.239923933802522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430207419242396,0,0.0740794684253517,-0.416520943211915,0,0,0,0,0.685901833596049,0.13335259072096,0,-0.21051387389613,-0.0233552751696006,0,0.168830918176138,-0.0353080973803261,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.140124130057525,0,0.00795771652784499,0.00448824751704071,0,0,0,0,0.0485961447977009,0,0,0.168088512737049,0,0,0,0,0.0581072691151573,0,0,0,0,0,0.0636227931601769,0,0,0,0,0,0,0,0,0,0,0.575912705555721,0.0365685819555238,-0.0759017875356732,0,0,0,0,0,0,-0.0308534937931486,0,0,-0.0398050652965045
X601939.CH.EQUITY,0.230520951325126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125048270117481,0,0,0,0,0,0,0,0,0.047042878393398,0,0,-0.00548143366510886,0,0.374464287585594,0,0,0,0,-0.0182099281755838,0,0.0732287958508068,0,0,0,0,0.0438345478472812,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.239255332504152,0,0,0,0,0,0,0.089769808064539,0,0,0,0,0,0,0.131792334422952,0,0,-0.0284738173240639,0,0,0,0,0.11482077439189,0,0,0,0,0,-0.0714685562509124,0,0,0,0,0,0.251871213551785,0,0,0,0.174678156127273,0,0,0,0,0.0825020515763154,-0.00254097975699848,0,-0.0189650383423568
X5.HK.EQUITY,-0.119865470496989,-0.157750828776805,0,0.133112929914608,0,0,0,0,0,0,0,0,0,0,0.249109272253676,0,0.251079868927135,0,0,0,0,0.0844471143727006,0,0,0.35810478853996,-0.0694508354812822,0,0,-0.0976517496212214,0,0,0,0,-0.223501145877396,0,0,0,0,0,0,0.253946025246135,-0.128601300960873,0,0,0,-0.0172226077306129,0,0,-0.0707344473185993,0,-0.0375442485895449,0
X601988.CH.EQUITY,0.238714614514826,0,0,0.57294692340093,0,0,0,0,0,0,0.11911807117642,0,0.141794943926437,0,-0.0657327523293842,0,0.0831921495914479,0,0.00916741632331313,0,0.0177511488889334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374210975580953
X600036.CH.EQUITY,0,0.696078921695832,0.0392897062481827,0,0,0,0,0,-0.188036487796366,0,0,0,-0.0164108419770313,0,0,0,0,0,0.152758499984055,0,0,0,0,0,0,0.0417135923694655,0,0,0.0327192531617687,0,0,0,0,0,0,0,0,0,0,0,0.264897894593403,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296605290289122,-0.0971888179073894,0.0243801395039756,0.145037671222968,0,0,0.141476059628916,0,-3.46944695195361e-18,0.235122551551786,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621352750894319
X601628.CH.EQUITY,0,0.129930268660052,0,0.129692663757728,0,0,0,0,0,0,0.0369591375736945,0,0,0.251290314400626,0,0,0,0.0364600740631451,0,0,0,0,0.111485285146717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195663368861255,0,0.0186079467196133,0,0,0,0,0,0,0,0,0,-0.00702496315949562,0,0
X601328.CH.EQUITY,0,0.0856976438648342,0.0994340184973871,0.366849028646646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886958919820315,0.0450312273650236,0,0,0.085837741103318,0,0,0,0.134534208797342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234856432654764,0,0,0,0,0,0,0,-0.0230576155774393,-0.187631986735123
X601166.CH.EQUITY,0,0,0,0,0,0.308086595416153,0,0,0.129955400112702,0,0,0,0,0.508598181512013,0,0,0,0,0,0,0,0,-0.174628647641536,0,0,0,0,0,0,0,0,0,0,-0.0102022839015608,0.283722902118801,0.227973703758021,0,0,0,0,-0.135840913590586,0,-0.166721323246831,0,0,0,0,0,0,0,0,-0.13982456824509
X600000.CH.EQUITY,0.140797048647714,0,0,0,0,0,0.289303802250854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305226239434532,0,0,0,0,0.373696306010367,0,0.0369978171821757,0,0,0,0,0,0,0,0.145063245465915,0,0,0,0,0,-0.0384408612113247,0,0,0,0,0.130323043234144,0.0877288662299076,0,0,0,0.0371781647081773
X601319.CH.EQUITY,0.097824717637786,0,0,0,0,0,0,0,0.335889146440267,0,0,0,0,0,0,0,0,0,0.168633625956442,0,0,0.0832727082131818,0,0,0,0,0,0,-0.00131813932437496,0,0,0.0399678697015464,0,0,0,-0.0447665528405729,0,-3.46944695195361e-18,0,0,0,0,0,0,0.180782633824509,0.129207157752434,0,0,0.138868184820043,-0.0377172281772305,0,0
X601601.CH.EQUITY,0,0,0,0,0,-0.0674746442155559,0,0,0.20467847820509,0,0.0463146533809307,0.03849723785372,0,0,0.23422797168613,0,0,0.331499020642386,0,0,0,0,0,0,0,0,0,0.0676627505562587,0,0,0.0570600801987876,0,0,0,0,0,0,0,0,0,-0.132741541344043,0,0,0,0,-0.0648973632474697,0,0,0,-0.0716773603892394,0,0.148626362155774
X000002.CH.EQUITY,0,0,-0.100679807022037,0,0.111161205035806,0,0,0,0,0,0,0,0,0.333422899010145,0,0,0,0.152143398871635,0,-0.00102211603928056,0,0,0,0,0,0,0.293153057398781,0,0.360176689754673,0,-0.310294569951118,-0.103864411298699,0,0,0,0,0,0,0,0,0.121217614299813,0,-8.67361737988404e-19,0,0,0,0,0,0,0.354217105103663,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.18313730773911,0,0,-0.0498460606577174,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0371685530680676,0,0,0,0,0,0.140806241264939,0,0,0,0.0743873325163683,0.0835101503277754,0.0774314600736091,0,0.016154617672656,0,0,0,0,0,0,0,0.496615658709252,0,0,0,0,0,0.0851489805667417,0,0,0,0
X11.HK.EQUITY,0.0363671524955067,0,0,0,0.294871860371959,0.0258780298981166,0,0.338037751469313,0,0,0,0,-0.0783647178131987,0,0.00198939930344163,0,0,0,-0.0642333672866199,0.0519898193423119,0,0,0,0,0.249704143577419,0,0,0,0,0.0204254272043875,0,0,0,0,0,0,0,0,0,0,-0.16106557183885,0,0,0,0,-0.112202320326354,0.104431216046309,0,0,0,0,0
