,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.125457411893733,0,0,0.093672867451406,0,0,0,0,0,0.0757203429468426,0,0,0,0,0,0,0,0,0,0,0,0,0.202990020976528,0,0.292551632525239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137082855326909,-0.043201153306333,0,0,-0.231019537255797,0
X601939.CH.EQUITY,0.205570553336814,0,0,0.329771167572905,0,0,0,0,0,0,0,0,0,0.260465312346144,-0.0215807307678279,0,0,0,0,0,0.000980031477791678,0,0,0,-0.109497508468763,0.235427895479396,0,0,0,0,-0.108086588591425,0,0,0,0,0,0,0,-0.0222698417830224,0,-0.0384404234326229,0,0,0,0,0,0,0.0797833717330081,0,0,0,0,0
X601318.CH.EQUITY,0.0577067832034747,0,0,0,0.246165620864151,0.187319736645458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107947030275179,0,0,0,0.136947664666332,0.0121640315085939,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0650026797560654,0,0,0,0,0.0466660122334368,0,0,0,0,0,0,0,0,0,0,0,-0.0213552176202958,0
X601288.CH.EQUITY,0,0.261479194435857,0.0777336093437306,0,0.226210422788302,0,0,0,0,0,0.370440996296196,0,0.174955026863111,0.0438259324692298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017603601308264,0,0,0,0,0,0,-0.0427193823568627,0,0,0,0,2.16840434497101e-19,0,-0.123617903178678,0,-0.0600267376724868,0,0,0
X601988.CH.EQUITY,0,0,0,0.416262178755902,0,0,0,0,0,0.343622902611662,0,0,0,0,0,0.197517679602602,0,0.0676584279123906,0,0.110705070304007,0,0,0,0,0,0,0.0797350234447176,0,0,0,0,0,0,0,0,0,0,0,-0.53527602721113,0,0.0633453457282876,0,0,0,0,0,0,0,0,0,0,0,0.246542152774431
X600036.CH.EQUITY,0,0.175170814406997,0,0,0,0,0,0,0.0971383848254434,0,0,0,0.0354771964615343,0,0,0,0,0.175178156381177,-0.00179055464542754,0,0,0,0,0.181241443496358,0,0,0,0,0,0,0,0,0.370030655222603,0,0,0,0,0,0,0,0,0,0.0430053853546635,0.00831185547636633,0,0.0893366022110296,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131097448261174,0,0,0.373020989319932,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0.00749409220919766,0,0,0,0,0,0,0,0.0441561952304549,0,0,0,0,-2.16840434497101e-19,0,0,0,0.291457275168127,0,0,0.0289319712121197,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104584495896772,0,0,-0.0110928829628606,0,0,0,-0.356866284359103,0.563570849260943,0,0,0,0,0.640181357930469,0,0.105666774494631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245346772954286,0.0126136678183734,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.401803834208989,0,0,0,0,0,-0.0777769806919054,0,0,0,0,0,0,0,0,0,0.219979364986374,0.0487921301237801,0,0,0,0,0,0,0,0,0.019583972165447,0,0,0,0,0,0,0,0,0,0.0180456126268191,0,0,0,0,0,0,0,0,0.207045819888771,0,0.0883484027761085
X601658.CH.Equity,0,0.145499814418626,0,0,0.0151785146425353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394238542706797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187778625129385,0,0,0.111776746321678,0,0,0,0,0,0,0.00877350738804641,0,0,0,0,0,0,0
