,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.443895474317133,0.0634520904375717,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.13082458198532,0,0.0899569341085918,0,0,0,-0.120394177513509,0,0.0104046955702321,0,0,0,0,0,0,0.0476234448749128,0,0,0,0,0,0,0,0.0413762142899223,0,0,0,0,0,0,0,0,0,0.121317732083802,0.137853424228897,0,0,0,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0,0,0,0
X601939.CH.EQUITY,0.163257031610723,0,0,0,0,0,0,0,0,0,0.170601998839331,0,0,0.288588337554724,0,0,0,0,0.0431428958994201,0.177699593829776,0,0,-0.0326217656178734,0,0,0,0,0,0,0.0187549303735345,0,0,0,0,0,0.0878705547704505,0,0,0,0,0.0368217466936141,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0
X601288.CH.EQUITY,0.347032702306373,0,0.0192460509225796,0,0.502095441481327,0,0,0,0,0,0.0113200051865544,0,0,0,0,0,0.0453296978082431,-0.0267991225124301,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893501863644036,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.115330296129003,0,0,0,0,0,0,0,0.47542335690841,0,0.0154412844498146,0,0,0,0,0,0,0,0,0,0.0388360909534025,0,0,0,0,0,0,0,0,0,0.0895236759846147,0,0,0,0,0,0,0.0892738260090577,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.220312566801431,0,0,0,0.0190793811829975,0,0,0,0.22754366156897,0,0.208955262228966,0,0,0.448476032747337,-0.574285487407464,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314567586109329,-0.142998454428147
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0796915331749144,0,0,0,0,0.0947032440756103,0.168244765419179,0,0,0,0,0,0,0.0497302581645351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267165995611427,0,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.224642524649044,0,0,0,0,0,0.0806905704957601,0,0,0,-0.111478046581941,0,0,0,0,0,0,0.450402915105388,0,0,0,0,0,0.146995436512819,0,0,-0.166231632950395,0,0,0.139591053492783,0,0,-0.0220290996191442,0,0.575293014210201,-0.207911901823926,-1.73472347597681e-18,0,0,0,0.513028522938139,0,-0.23058031865187,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.15108645764806,0,0,0.255415954801535,0,0,0,0,0,0,0.171957042330894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294499024013848,0,0,0,0.0323250600019775,0,0,0,0.114734816217592,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0976632323712461,0.18322920374024,0,0,0,0,0,0,0,0,0.197952724283743,0,0,0,0,0,0,0,0,0,0.400770162875599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593030572854322,0,0,0,0,0.0836514070394203,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0525224367190552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141775021928406,0.558812733234135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
