,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,6.93889390390723e-18,0,0.0121612627848468,0,0,0.0390969243275685,0,0.295215360705903,0,0,0,0,0,0.115183440863261,0,0,0,0,0.110717485689165,0,-0.00353922751599592,0,0,0,6.93889390390723e-18,0,0,0,0.0573286278056815,0.280298480135822,0,0,0,0,0,0.0523063013020745,0,0,0,0,0,0,0,0,0,0,0.0182101896025873,0,0,0,0,0
X601939.CH.EQUITY,0.26567631957229,0,0,0,0,0,0,0,0,0,0,0,0,0.426758256864351,0,0,0,0,0,0.106810902082053,0.0559745872325123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464432008232499,0.0402870891436602,0,0,0.0213459014614211,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0
X601318.CH.EQUITY,0.2104009536713,0,0,0,0,0,0,0,0.164983176112862,0,0,0,0,0,0,0.214438728669985,0,0.117671935032838,0.0949407514849502,0,0,0,0,0,0,0,0,0,0,-0.0342032597250225,0.0815335693381312,0,0,0.0291086338910078,0,0.112666180559411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017258572723268,0,0,0
X601288.CH.EQUITY,0.344152305231387,0.00647160556175482,0,0,0.502312437410436,0,0,0,0,0,0,0.0118089323081887,0,0,0.0403906265357285,0,0,0,-0.0329737287145936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171149892943858,0,0,0,0,0,0,0,0,0.0949582973693016,0.00787272528536659,0,0,0
X601988.CH.EQUITY,0,0,0.123352465723716,1.73472347597681e-18,0,0,0,0,0,0,0.109725744906009,0,0,0,0,0.107679931545521,0,0.064785469393325,0,0,0,0,0,0.0466317521916055,0,0,0,0,0,0,0,0.124538462089452,0,0,0.105817636186985,0,0,0,0,0,0,0,0,0,0,0.243296505807412,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.00881848415607405,0,0,0,0.120582416678904,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359206476558927,0.233747886790186,0,0,0,0,0,0,0,0,0,0,0.429414297266223,0,0,0,0.384712969503304,0,0,0,0,0,0,-0.369587002202084,0.169944073630782,-0.182400495169292,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0886151961350643,0,0,0,0.274440555445089,0,0,0,0.14248224760565,0,0,0,0,0,0,0,0,0,0,0,0.0840612382408673,6.93889390390723e-18,0,0.203469904594702,0,0.108533891070372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558535544166992,0,0,0
X1299.HK.EQUITY,0,0.0667407905668571,0,0,0,0,0,0,0,0,0,0.0925331858162499,0,0,0.0583862213728618,0,0,0.288192021815328,0,0,0,0.0399835856022272,-1.38777878078145e-17,0,0,0.0606799043275808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.387222667258574,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206213950261714,0,0,0,0,0.00855611807630276,0,0,0,0.0910681140102438,0,-0.020199422186535,0,0,0,0.248974908796174,0,0,0,0.104362100523984,0,0,0,0,0,0,0,0,0.0326833729984244,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.117886847611738,0,0,0,0,0,0.186528171173231,0,-0.106030205723487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07715282114031,0,0,-0.225414928700597,0,0,0,0,0,0,0.695113680385057,0,0,0,0,0,0,0.470760276502354,0,-0.161507351813829,0,0,0,0
