,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.123307108353797,0,0,0,-0.18759683007496,0.251897558499915,0,0,0.0923317233629788,0,0,0,0.273956955297611,0,0,-0.126315615774762,0,0,0,0,-0.136106468521851,0,-0.194820201940064,0,0,0,-0.223821308747453,0,0,0.823800254076851,0,-0.0511022458705741,-0.0807736211615967,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.139951086018146,0,1.38777878078145e-17,-4.33680868994202e-19,0,-0.01035101562701,0,0.095460043120316,0,0,0,0,0.0875486431144021,0,0,0.0652130140221885,0,0,0,0,0,0,0,0,0,0.0728028748728302,0,0,0.418530528975972,0,0.153671190406779,0,0,0,0,0,0,0.0467065208389871,0,0,0,0,0,0,0,-0.11215972132316
X601939.CH.EQUITY,0.1691559615149,0,0,0,0,0,0,0,0,0.229183985535034,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.108089818677086,0,0,0,0,0,0,-0.0872704801200491,-0.174841010115555,0,0,0.0916875933981005,0,0.0564670146575534,0,0.496746974222771,0,0,0,0,0.112910293785585,0,0,0,0,0,0.0759151672885187
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.347068579209409,0,1.73472347597681e-18,0.502516557945755,0,0,0,0.52511043363019,-0.391799748348654,0.226249494953663,0,0,-0.253892136109422,0,0,0,0,0,0,0,0,0,0,0,0,-0.432314230502097,0,0,0,0,0,0,0,0,0,0,0,0.0182853010127249,0,0.34974901392434,0,0,0,-0.119534741606259,0
X5.HK.EQUITY,0,0,0,0,0,0.147231271787789,0,0.213163415451482,0,0,0.0226991165517768,0,-0.0132998010234496,0,0.10303811800525,0.0569646420731775,0,0.0104310177876972,0.0433000774955021,0,0.052481527731713,0,0,0,0,0,0,0,0,-0.0278798156641976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117555963122019,0,0,0,0.213004213122524,0,0,0,0
X601988.CH.EQUITY,-0.0113886444080322,0,0,0,0.530935485251816,0,0,0,0,0,0,0,0,0,0.109257219233099,0,0,0,0,-0.123806804765944,0,-0.120716613529281,0,0,0.215048677053425,0,0,0,0,-0.354403500674673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1097296251548,0,0,0.0325841745296869,0,0,0
X600036.CH.EQUITY,0,0.0299876412204706,0,0,0,0,0,0,0,0.672715771923772,0,0,0,0,0,0,0,0,0,0.203707632247306,0,0,0,0,0,0,0,0.0621665757264224,-0.0347062294764059,0,0,0,0,-0.181127054631304,0,0,0,0,-0.000278873435020918,0,0,0,0,0,0,0,0,0,0,0,0,0.0744151673181587
X1299.HK.EQUITY,0,0,0,0,0.149267855744682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154679352745572,0,0,0,0,0,0,0.254290675208489,0.00303829025914285,0,0,0,0.132919729062734,0,0,0.0426961557056392,0,0,0,0,0,0,0,0,-0.0976302064362427,-0.0329501689339821,0,0,0,0,0,0,0,-0.0415900526959435
X601628.CH.EQUITY,0,0.161819764373525,0.0236530125990297,0.0556087230208642,0,0,0,0,0,0,0,0,0,0.164812586494233,0,-0.0873155909238942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567865606533471,0,0,0.25175061850852,0.197905286948694,0,0.034945010499967,0,0,0,0.233213192285471,0.134321495049818,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0523490199315501,0.0327836990786846,0,0,0.604909582998584,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.226778212162095,0,0,0,0,0,0.238585357100809,0,0,0,0,0,0,0,0,0,-0.0920876596890866,0,0,0,-0.000341587374606291,0,0,0,0.0752374316209639,0,-0.247794433419062,0,0,-0.0271551428755965,0,-0.035612463211858,-0.146492329222961
