,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.586382206729334,0,0.0163135118881595,0,0.0301417970042935,0,0,0,0,0,0.100993960029616,0,0,0,0,0,0.0915000986786488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06452323290266,0,0,0.0611505312495804,0,0,0,-0.0456852354480361,0,0.0257542273581173,0,-0.00746143186416248,0.00291985365470576
X601318.CH.EQUITY,0,0,0,0,0,0,0.151648368961879,0,0.0900960757862753,0,0,0,0,0,0,0,0.0700441184312279,-0.00955310344458832,0.248056634952987,0,0,0,0,0,0,0,0,0,0,0,-0.0144064524932614,0,0,0.0469971564318868,0,0,0,0,1.73472347597681e-18,0.182934377657128,0,0.0437581259498794,0,0,0,0,0,0.144407512758696,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.353106316027034,0,0.279442249015198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239334787800872,0,0,0,0,0.168434532294613,0,0,0,0.0107904420670859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297974794947021
X601288.CH.EQUITY,0.0653895829926984,0,0.241741009867758,0,0,0,0,0,0,0.15972363023177,0,0,0,0,0,0,0,-0.0139168434540254,0.12800909204804,0,0,0,0,0,0.154317199007064,0.0436722211768989,0,0,0,0.125681118602707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.270446186892654,0,0,0,0,0,0,0,0.230109668416475,0.00965262522563457,0,0,0,0,0,0,0,0,0,0,0,0,0.307476750988388,0,0,0,0,-0.0651390413668534,0,-0.0363851754399963,0,0,0,0,0.206899618592814,0,0,-0.0628432606145255,-0.353845725650029,0,0,0,0,-0.248675145047208,0
X601988.CH.EQUITY,0.100295307223286,0,0,0,0.0240211781182249,0,0,0,0,0,0,0,0.0327045693127509,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.601333769359486,0.0318228345711791,0,0,0,0,0,0.119374806111533,0,0,0,0,0,0,0,0,0,0.0660327013273112,0,0,0,0.00357208854925131,0,0,0,0,0,0.0960609342036134,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246652502334202,0,0,-0.0226521947184262,0,0,0,0,0,0,0.0726482352339955,0,-3.46944695195361e-18,0,0,0,0.716344734064329,-0.00811966097333335,0,0,0.0267704618546253,0.09615594319184,0,0,0,0,0,0,0,0,0,0,-0.00128363399191786,0,0.0667981655177935,0,0.0531894099351554,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.167531974855003,0,0,0,0,0,0.301293506065635,0,0,0.093212282562494,0.20124381884908,0,0,0.110161550815573,-0.0843559096809988,0,0,0,0,0,0,0.137264491337947,0,0,0.0338494152355986,0,-6.93889390390723e-18,0,0.122480995790088,0,0,0,0,0,0,0,0,0,0,0.0481131533517966,0,0,0,0,0,0.202708778056175
X601628.CH.EQUITY,0,0.215155143557593,0,0,0,0,0.0307854950582832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504335879263591,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.403582981757256,0.232087696738983,0,0,0,0.0294979772999489,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137058241827505,0,0,0,0.118447461573002,0.00562647679608851,0,0,0,0,0,0.261654560404952,0,0,0,0,0,0,0,0.23239996858789,0,0,0,0,0,0,0.0557900083738264,0,0,0,0,0,0,0,0,0.0149203078199458,0,0.203537638954816,0,0,0,0,0,0,0,0,0.0103103008273421,0,0,0
