,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.347788180511711,0.0821889013930435,0,0,0,0.128463840062682,0,0,0,0,0,0,0.263245597810595,0,0,0,-0.0310730704519771,0,0,0,0,0.0367148239216468,0,0,0,0.0763927175175997,0,0,0,0,0,0,0,0.0132104221194723,0,0,0,0,0,0,0,0,0,0,0.0199863933211174,0.0358244007985833,0,0,0,0
X601939.CH.EQUITY,0.041499424919575,0,0,0.0546124887657713,0,0,0,0,0,0,0,0.0473902921077733,0,0.193018167985195,0,0.405979499805802,0,0,0,0,0,0,0,0,0,0,0,0,0.000818031298879768,0,0,0,0,0.106886433657751,0,0,0,0,0,0,0,0,0,0,0,0,0.136898128283313,0,0,0,0,0,0
X601318.CH.EQUITY,0.0177545263416957,0,0,0,0,0,0.187283139055509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108891609891059,0,0,0,0,0,0,0,0,0.153821510720285,0,0.104311727383616,0.0181798576683118,0,0,0,0,0.106221727744446,0,0.256308362711705,0,0.0266486857412509,0,0,0,0,0,0,0,0,0,-0.0351335584690572
X601288.CH.EQUITY,0.376350207188046,0,0,0,0.402392550573676,0,0,0,0,0,0.0635898439519234,0,0,0,0,0.0034945080502089,0.0712780546078189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360230005524527,0,0,0,0,0,0,0,0,0,0,0,0.000154641128346183,0,0,0,0,0,0,0.023266281479849,0,0,0
X601988.CH.EQUITY,0,0,0,0.226772141801189,0,0,0,0,0,0,0.091912486976032,0,0,0.187728816039707,0,0,0,0,0,0,0.104246398431924,0,0,0,0,0.0232210882129971,0,0,0,0.0954528470255048,0,0,0,0,0.108265491628441,0,0,0.0936794987609284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.202229222234265,0,0,0,0,0,0,0.14749325018052,0,0,0,0,0.103652211606688,0.586660016014577,-0.328079506033018,0,0,0,0,0,0,0,0,0.219309439587462,0,0,0,0,0,0,0.453286738393707,0,0,0,0,0,0,-0.232417438935406,0,-0.167377970453663,-0.0136801358079104
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.145608203635456,0.174094501937851,0,0.00302053509442602,0,0,0,0,0,0,0,0.279520334489464,0,0,0.266599267558403,0,0,0.217170720059169,0,0,0,0,0,0,0.143562216149794,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.118563563076853,0,0,0,0,0,0.112473524931811,0,0,0,-0.142164492114801,0,0,0,0,0,0,0,0,0,0,0,0.0825198095132995,0,0,0,0,0.103343625096234,0,-0.385115950361487,0,0,-0.107374559631555,0,0.305871764878632,-0.0776279666888983,-0.0785727213596918,0,0,0,1.23632812991463,0,0,0,0,0,-0.0555840913526372
