,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.360922464739613,0,0.310465647100657,0,0,0,0,0,0.0477126984471662,0,0,0,0,0.0513321650387467,0,0,0,0,-0.0444525984237605,0,0,0,0,0,0,0,0.0441580822861012,0,0,0,0,0,0,0,0,0,0,0,0,0.0902065691353396,0,0,0,0.0582162931872769,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0,0
X601939.CH.EQUITY,0,0,0,0.34043460914017,0,0.0711684458753624,0,0,0,0,0,0,0.434304459822083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0544526588438868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.405645845891018,0,0,0,0,0.274324720312343,0,0,0,0,0,0,0,0,0.0312240482656942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176947085066909,0,0,0.0280925380299768,6.93889390390723e-18,0,0,0.0397881176307345,0.0590765081786365,0,0,-0.0366124193921815
X5.HK.EQUITY,0,0,0,0.00856379907888642,0,0,0,0.00852616883204017,0.203436463931786,0,0,0,0,0,0.0483602133487131,0,0,0,0.467561237052476,0.065911947061633,0,0,0.018254638567814,0,0,0,0,0.111526850284154,0.115942250871705,0,0,0,0,0,0,-0.144614082713144,0,0,0,0,0,0,0,0,0,0,0,0,0.073935973155066,0,0,0,-0.0406377284664971
X601988.CH.EQUITY,0.386438997949468,0,0,0.00301695954378075,0,0,0,0,0,0,0.0657514408861003,0,0,0,0,0,0,0,0.0148618706906964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16211444375954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330790299453761,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.337453009813103,-0.0214371801652351,0,0,0,0,0,0,0,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0.0482522312500569,0,0,0,0.077204974316153,0,0,0,0,0,0.017677165724211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750579973739246,0,0,0,0.428388494977397,0,0,-2.77555756156289e-17,0.120447330036274,0.0536285152722225,0,0,0,0,0,0,0,-0.0349415668377719,0.40674231488711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.109725138791512,0,0,0,0.26440301528173,-0.176433925866365,0,0.184350217027827,-0.225255743928284,0,0,0,0,0,0,0,0,0.626447649305741,0,0,0,0,0,0,0.118872131341205,0,0,0,-0.00753859038133696,0,0,0,0,0,-1.1685547506374,0,0,0,-0.255733687146019,1.16832344239367,0,0,0,0,0,0,0
