,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.205533638452652,0,0.0734798083881953,0,0,0,0,0.282182873976952,0.0559671727886617,1.38777878078145e-17,0,-6.93889390390723e-18,0,0,0,0,0.168140686216581,0,0,0,0,-0.00416877812065452,0,0,0,0,0,0,0,0.124311281133822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370139962516032,0,0,0,0,0.0163833939780301,0,0
X601939.CH.EQUITY,0.458480204938007,0,0,0.0178265619468859,0,0,-0.0321506992386682,0,0,0,0.191728321198942,0,0.228238890136011,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861389345189792,0,0,0,0,0,0,0,0,0,0.000197521761021006,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0,0
X601288.CH.EQUITY,0.424697157583995,0,0.017788975895317,0,0.209123110944955,0,0,0,0,0,0,0,0.0163038073399034,0,0,0,0,0,0,0.0720511869292122,0.1194779746848,0.0417491264073014,0,0,0,0,0,0,0,0,0.0183768633063074,0,0,0,0,0,0,0,0,0,0.0307743537272252,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0586239567054561,0,0.228682610060711,0,0,0,0,0,0,0.162984628652734,0.223927054062898,0.125206768355119,0.0828205209156798,0,0,0.0248417651110056,0,0,0.0555760020277099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056509631491155,0,0,0,0,0,0,0,0,0,0,-0.0942142347682728,0,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0,0
X5.HK.EQUITY,0,-0.255958600477211,0,0,0,0,0,0,0,0,0,0,0,-0.0295155755090199,0,0,0,0,0,0,0,0,1.17100779192714,-0.765544510117431,0,0,0,0.495016936651498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402880646793273,0,0,0,0,0,0,0,0,0,-0.0719041818538388,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.147082164059747,-6.93889390390723e-18,0,0,0,0,0.0896155653116527,0,-6.93889390390723e-18,0.186060017449011,0.116843433812749,0,0,0,0.163600637055333,0,0,0,0.0394886939193496,0,0,0,0,0,0,0,0,0,0,0.0327969465473074,0,0,0,0,0,0,0,0,0,0.0505435087891979,0,0
X601658.CH.Equity,0,0,0,0.34918166569175,0,0,0,0.0706589696814061,0.0994625695923297,0,0,0,0,0,-0.34051176289272,0,0,0,0,0,0,0,0.0868559961362668,0,-6.93889390390723e-18,0,0,0,0,0.726234634551103,0,0,0,0,0,0,0,-0.0161114202166326,0,0,0,-0.122769147998703,0,0,0,0.475021367200573,0,0,0,-0.117744237691051,0,0,0
