,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.289229508978202,0,0.4449440514939,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.120961014623491,0,0,-0.0629457958858992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536762591049819,0,0.0312570414182611,0,0.0916370475035245,0,0
X601939.CH.EQUITY,0.359113522550207,0,0,0.288300418900225,0,0,-0.0972056768056438,0,0,0,0.00284131094493259,0,0.141254778046608,-0.0661319006901332,0,0,0,0,0,0,0,0,0,0,0,0.0319964405593895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200143215054994,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110835766354276,0,0,0,0,0,0,0,0,0,0,0.041335109919485,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.268114977626925,0,0,0,0,0,0.109811938408356,0,0,0.0705031702994072,0,0.132735805116417,0,0,0,0,0,0
X601288.CH.EQUITY,0.454248424742603,0,0,0,0.200302665444001,0,0,0,0,0,0,0,0.0262681667181811,0,0,0,0,0,0,0,0,0.168835246837251,0,0,0,0,0,0.018429168692877,0,0,0,0,0.0292369537238591,0,0,0,0,0,0,0.00676722102713847,0,0.0636514778512665,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.130295394471975,0,0.342257500837003,0,0,0,0,0,0.241561847895097,0,0,0,0,0,0,0,0.319816930401711,0,0,0,0,0,0,0,0,0,0,0,0.0344809884928921,0,0,0,0,0,0,-0.10219178344531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205619909764727
X600036.CH.EQUITY,0,0,0.0196970423990305,0,0,0,0,0,0,0,0,0.408319082047599,0,0,0,0,0,0,0,0,0,0,0.0524468409696975,0.013602203924828,0.124989805906682,0,0,0,0,0,0,0,0,0.0886589028732108,0,0,0,0,0,0,0.057228124076407,0,0,0,0,0,0,0,0.269072196896657,0,0,0,0
X1299.HK.EQUITY,0,0,0,-1.73472347597681e-18,0,0.117173462939294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047700258037652,0.205031021640718,0,0,0.0594965567289671,0,0,0.193975163636711,0,0,0,0,0,0,0,0,0,0,0,0,0.191298007799258,-6.93889390390723e-18,0,0,0,0
X5.HK.EQUITY,0,-0.253046092667654,0,0,0,0,0,0,0,0,0,0,0,-0.0291463023373458,0,0,0,0,0,0,0,0,1.16132860950341,-0.752846052274901,0,0,0.500795934022669,0,0,0,0,0,0,0,0,0,0,0,0,0.404116497392735,0,0,0,0,0,0,0,0,0,0,0,-0.0715771047121869,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0974190080815773,0,0,0,0,0,0,0.0857402558170341,0.195814608947181,0,0.0923283175789783,0,0,0,0.264775617615928,0,0,0.050457794336775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548665125106158,0,0
X601658.CH.Equity,0,0,0,0.514499066313925,0,0,0,0,0,0,0,0,0,0,-0.25955735100034,0,0,0,0,0,0,0,0.107742662564651,0,0.143444292562161,0,0,0,0.733238644768704,-0.0671253658669247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837399754223332,0,0,0,0
