,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.14587994376955,0,0.0819460093572989,0,0,0,0,0,0,0.359898244648682,0.0939804443984807,0,0,0,-0.131290530586921,0,0,0,0,0,0,0,0,0,0,0,0.0789203323827686,0,0,0,0.213305612067925,0,0,0,0,0,0,0,0,0,0,0.0829634516964951,0,0,0.0571407712279676,0,0,0,0,0,0.0448397403884994
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.156262020095209,0.0975772096504323,0,0.0247804218301554,-0.168113928022933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176478012629079,0,0,0,0,0,-0.17911555635484,0,0.36311503305235,0.15946798426394,0.0518940510226626,0,0,0,0,0.172233729028211,0,0,0,0
X601939.CH.EQUITY,0.480876425092458,0,0,0,0,0.177276766491476,0,0,0,0,0,0,0,0.0587699845271302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372928515325896,-0.118425541959413,0,0.0491238229398948,0,0,0,-0.0460975587181846,0,0,0,0,0,0
X601288.CH.EQUITY,0.547336370984558,0.0311751378722943,0.156447088891965,0,0.0650237688044756,0.149645857172261,0,0,0.0270784447695522,0,0,0,0,-0.156223517176208,0,0,0,0,0,0,0,-0.0437500384694441,0,0,0,0,0.00628442536324911,0,0,0,0,0,0,0.1336630635731,0,0,0,0,0.0269566582103927,0,0,0,0,0,0,0,0,0,0.257766755799807,0,0,0
X5.HK.EQUITY,0,-0.07213369697634,0.132401436446611,0.0583588980682995,0,0.105004729743369,0,-0.149500388553813,0,0,0,0.28576679720076,0,0,0,0,0,0,0.681581845810009,0,0,0,0,0.041387757257079,0,0,-0.146459071397902,0,0,0,0,0,0,0,0.0048177969864604,0,0,0,0,0.0342972480487713,0,0,0,0,0,0.0885350312879583,0,0,0,0,0,0
X601988.CH.EQUITY,0.196446818254688,0,0.0854141981525288,0.0214746211096878,0,0,0,0,0.0312406582136627,0.0771568699760347,0,0,-0.328885456476362,0,0,0,0,0,0,0,0.510483198422483,0.0688068206161921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115986139527502,0,0,0,0,0,0,0,0,0,0.0301277462719645
X600036.CH.EQUITY,0,0.00707309275454127,0,0,0,0,0,0.111980981439177,0,2.16840434497101e-19,0,0,0,0.273353076231392,0,0.174122244673058,0,0,0.0869918003584633,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.123239273402552,-0.00200187834535142,0,0,0,0,0,0,0,0,0.0983880294630518,0,0,0,0.128117088184988,0,0,0.0196202969181157,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0162526945416384,0.0159312570667013,0,0,0.207192624987139,0,0,0,-0.150422011381554,0,0,0.312517517021632,0,0.259217424969525,0,0,0.0507509238211808,0,0,0,0,0.118887493443516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316341390051303,0,0.1262108552346,0,0,-0.0236740131825262,0,0,0
X601628.CH.EQUITY,0.310880648543561,0.288214801651253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603009781794667,0,0,0,1.73472347597681e-18,0,0,0,0,0.0462681584730067,-6.7762635780344e-21,0,0,0,-0.0827580952117111,0,0.11308207702113,0,0,0,0,0,0,0,0,0,0,0,0.0681361218636269,0,-0.205699346788111,0,0.00107957178475152,0,0.215899012887894
X601166.CH.EQUITY,0.000757352724260087,0,0,0,0,0,0.543937181733594,0,0,0,0,0,0,0,0,0.10181669792918,0,0,0,0.11802055265318,0,0,0.0404123726093434,0,0,0,0,0.0364756518414564,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.163514446034268,0,0,0,0,0,0,0,0
