,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.484859652109102,0.0899705018310891,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0816415467247687,0.0668163728826345,0,0,0,0,-0.143780273750271,0,0,0,0,0,0,0,0,0.0247460863291315,0,0,0,0,0,0,0.0485242832802564,0,0,0,0,0,0,0,0,0,0,0.100363875479911,0.18241540370927,0.039225730147176,0,0,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0,0,0
X601939.CH.EQUITY,0.331717553727262,0,0,0,0,0,0,0,0,0,0,0,0,0.456196060277997,0,0,0,0,0.148641678346676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104744550201844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347944711183684,0,0.0171185600756277,0,0.506041206550028,0,0,0,0,0,0.0105361255547401,-6.93889390390723e-18,0,0,0,0.0488298985634968,0,-0.0318680225420752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000435858790473313,0,0,0,0,0,0,0,0.0857306385470978,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.109226160847236,0,0,0,0,0,0,0,0.49997187430732,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0208102293353835,0,0.00744547388374221,0,0,0,0,0,0,0,0,0,0.104776025750442,0,0,0,0,0,0.112228888478782,0,0,-6.93889390390723e-18,0,0.0312789938439281,0,3.46944695195361e-18,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.300593715339824,0,0,0.0609576073847794,0,0,0,0,0.310751623858167,0,0,0,0.56131623862543,0.1954641029416,-0.606575060184911,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.312193168721857,-0.0977763194234381
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.121523594096062,0.0260958756741865,0,0,0,0.0888964245626966,0.0843149655328912,0,0,1.38777878078145e-17,0,0,0,0.0707855884000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313030449958875,0,0,0,0
X601628.CH.EQUITY,0,0,0.264630786106568,0.0322125769505214,0.226387414957783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539740797576579,0,0,0.132113448008818,0,0,0,0,0,0,0,0.110452479019794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.265902341646069,0,0,-0.0725800929550686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140598407638154,-1.38777878078145e-17,0.395214586713462,-0.360681356437438,-0.0738970988252744,0,0,0,0.841281132256085,0,-0.0553331371108628,0,0,0,0
