,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601939.CH.EQUITY,-0.0307322726568909,0.0279186117907271,0,0,0.0566321514410986,0,0,0.0319777149477909,0,0.791715068267981,0,0,0,0,0,0,0,0.0964467172588701,0,0,0,0,0.0986762734974063,-0.0948549512368792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126088845317101,0,0.0457885007696966,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.912230582716453,0.030595195626855,0,0,0,0,0,0,0,0.0962533118249706,0,0,-0.013943250549184,0,0,0,0,0,0,0,0,0,0,0,-0.328517596766586,0,0.149846386615353,0,0.143611194690435,0,0,0.135773443920994,0,0.0894071767051695,0,0,0,0,-0.200343585694268,0,0,0,0,-0.0621684846384573,0
X601998.CH.EQUITY,0,0,0,0.246127131324082,0,0,0,0.399765446403193,0,0,0,0.1638812501165,0,0,0.141987891119427,0,0,0,0,0,0,0,0,-0.054688993099447,0,0.161573754549963,0,0,0,0,0,0.00853860299708752,0,0,0,0,-0.175705096339368,0,0,-0.00830263886814273,0.0256493648897426,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0
X601658.CH.Equity,0.121627234080583,0,0,0,0,0,0,0,0,0.219275715730713,0,0,0,0,0,0,0,0,0,0,0,0,-0.014609149063101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863631558094506,0.213706705270375,3.46944695195361e-18,0,0,0,0,0,0
X601916.CH.Equity,0.0432944985815694,0,0,0,0,0,0,0,0,0.647283640733964,0,0,0,0,0.057457756347071,0,0,0,0,0.0640309689102539,-0.11723374055309,0,0,0,6.93889390390723e-18,0,0.114098382642725,0,0,0,0,0,0,0,0,0,0,0,0.105778226781154,0,0.18044079307352,0,0,0,0,0.0533638384083381,-0.225957351361195,0,-0.0646083440471425,0,-0.213535998755667
X11.HK.EQUITY,0,0.105903594282041,-0.112315006956504,0,0,0,0,0,0,0,0,-0.103265664933948,0,0,0,0,0,0,0,0.261584936773848,0.304214204879089,0,0.051680580741364,-0.0478016115800174,0,0,0,0,0,0,0,0,0.051975248817228,0,0,0,0,0,0,0.0920215241717543,-0.0993318631710099,0,0,0.0711452263146706,0.040738336691968,0,0.192945450366055,0,0,0,0
X2388.HK.EQUITY,0,0.0320619270062672,0,0,0.0431317272952738,0.058344036179368,0,0,0,0,0,0,0,0,0,0,0,0,0.4593725437952,0,0,0,0,0,0,0,0,0,0,0.0784529122742916,0,0,0,0,0.153749651473547,0,-0.0142504023094619,0.0460732137262178,0,0,0,0,0,0,0,-0.170248309927537,0.373556791458419,0,0,0.102810011840541,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.176308151684585,0,0,0,0.115589435373264,0,0,0,0,-0.12456430310968,0.644929285299397,0.031077060012482,0,0,0,0.127159334631062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0882776249298072,0,0.164134342479891,0,0,0,0,-0.0948892997252376,0,0,0,0.0648447921009852,0.177001488585309
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0286477674370466,0,0,0,0,0,0,0,0,0,0,0.0869088648455137,0.281134941699508,-0.312071643156212,0,0,0,0,0,0,0.900997203220309,0,-0.0991916145727818,0,0,0,0,0,0,0,0,-0.138254565530628,0,-0.00677594689400672,0,0,0,-1.0842021724855e-19,0.357936449189907,0
X2886.TT.EQUITY,-0.0663285172050645,0,0,0.084916537149636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275424548384813,0,0,0,0,0,0,0,0,0,0,-0.124079776289263,0,-0.120930953888776,0,0,0,0.0681020480966839,0,0,0,0,0.296622999165087,0,0,0.0621837151810123,0.0547750937235914,0.337257089748634,0.113092198442565,0
X2891.TT.EQUITY,0,0,-0.00642047488699437,0,0.358173240062693,0,0,-0.187967090037426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584871463106215,0,0,0,-0.0492036520558392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0.00514002019920128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23571332225826,0,0,-0.0104309880152972,0,0,0,0,0,0,0,0,0.285117369462718,0,0,0,0.00138190198633872,0.29119257739608,0,0,0.020395163369864,0,0,0,0,0.132002865052608,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0.225709457671847,-0.0904764249364366,0,0,0,0,0.00639023837290171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312290017544519,0,0,0.0438051234370711,0.0323855720793446,0.0734547037900357,0,0.0234862485392982,0.351444255243276,0,0,-0.0482801047065525,0,0.0346093734891513,0,0.422163244966091,0,0,0,0,0,0,0,-0.0655303160186862
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.217092442815436,0,0,0,0.0707343192339961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900987901139453,0.283638395316358,0.147126220392203,0.149782020863984,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.00778243398155464,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0256099008286692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327447245229494,0,0,0.0363132188377758,0,0,0,0.0810682954984613,0,0,0,0,0,0,0.0893438415520064,0.145608495005028,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0375368449175435
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0740663048134997,0,0,0,0,0,0,0,-0.0109429522570938,0,0,0,0.0116434625623677,0,0,0,0.0680319509339904,0.0514825657416697,0,0,0,0,0.240387586944836,0.0988954654325536,0,0.33025847331339,0,0,0,0.00351748959518115,0,0,0,0.0557121880735808,0,0,0.0135220390657241,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159943061589079,0,0,0.0176392986300958,0,0,0,0,0,0,0,0,0.0755550278684062,0,0,0,0.0369919934838881,0.45228976470552,0,0.150266141065789,0,0,0,0,0,0.0828326457545583,0,0.00441498697700617,0,0,0,0,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0402989576011146,0,0,0,0,0,0,0,0,0,0.0290991578350086,0,0,0.192316531047295,0.0503375255364733,0,0,0.0425159532347283,0,0,0,0,0.060999835162973,0.272071363331645,0.164178332545882,0,0.0274100161661731,0.0607288042267284,0,0,0,0,0,0,0.0449362952126749,0,0,0.0443105387248543,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.173140313586902,0,0,0,0,0,0,0,0,0.614444789842966,-0.286861950199356,0,0,0.0226204010351358,0,0,0,0,0,0,0.121464311227303,0,0.157109465213582,0,0.00191866835575551,0,0,0.118192358735403,0,0,0,0,-0.195113706430947,0,0.0353955365940623,0,-0.133047844303703,0,0
X601066.CH.EQUITY,0,-0.0558089653177723,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0729128510361226,0,0,0,0,0,0,0.183147257607184,0.454974475339475,0,0,0,0,0.216310303825488,0,0,0,0,0,0,0,0,0,0,-0.0385229819296864,0,0,0,0.00952619177881537,0,0
X601211.CH.EQUITY,0,0,0.159144739983018,0,0,0,0,0,0,0,0,0,0,0,0,0.112870898023573,0,0,0,0,0.0501803421998178,0,0,0,0,0,0.0660437642984682,0,0.0587344462231071,0,0,0,0,0,0,0.406624327321282,0,0,0,0,0.0343281903935834,0,0,0,0,0,0,0,0,0.00812601840356927,0
X601236.CH.EQUITY,0,-0.132659012646748,0,0,0,0,0,0,0,0,0,0,0.0282681644538806,0,0,0,0,0,0,0.102340241140284,0,0,0,-0.0135566008968495,0.23375226794257,0,0.27653661396877,0,0,0,3.46944695195361e-18,-0.0868234701604236,0.251530672697647,0,0,0.144925375773978,-0.14447028115163,0,0,0.262615288317619,0,0,0,0,0,0,0,0,0,0,0.0217344298696876
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0.0388173842260012,0,0,0,0,0,0,0,0,-0.00102408625342627,0,0,0,0,0.0227340171672487,0,0,0.221341671170325,0,0,0,0.420959615379755,0.0357575763422225,0,0,0.281048604121995,0,0,-0.050599705813773,0,0,0,-0.0510460353265569,0,0.0324894583472817,0,0,0,0.0904288928401256,0,0,0,0
X601788.CH.EQUITY,0,0.0267796456065689,0,0,0,0,0,0,0,0,0.0471087801748656,0,0,0.0216030421935366,0,0,0,0,0,0,0,0,0,0,0,0.0201018967118551,0,0,0.0334576047854343,0,0,0,0,0,0,0,0,0.19045642260129,0,0,0,0,0.182949372442778,0,0,0,0,0,0,0,-0.0231627273100841
X601881.CH.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.03567796430304,0,0,0.160187687612871,0,0,0.0654079525936799,0.0316352241124472,0,0,0,0,0,0.457937935208141,0,0,0,0,0.0602507922038577,0,0,0.0137787279297271,0,0,0.0978634193220476,0,0,-0.0274184398135062,0,0,0,0,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.121270795838576,0,0,-0.388272108493709,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.137789833548021,0,0,0,0,-1.73472347597681e-18,0.100661052580184,0,0,0,0,-0.0165752587471942,0,0,0.181846668412,0,0,0,0,0,0,0
X601696.CH.Equity,0,0,0,0,0.0632456357003057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249499272302902,0,0,-0.10090267060308,0,0.0043253572427822,0,0.0963718560466862,0,0,0.168341582680682,0.116414601609017,0,0,0.239767631577363,0,0,0.0760197312656074,0,0,0,0.304091593782231,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.0631593222916425,0,0,0,0,0,-0.274738847135399,0,0,0,0,0,0,0,0,0,0,0.194472508328777,0,0.0364653910711288,0,0,0,0,0,0.258714925190833,0,0,0,0.0281636755098565,0.0604845398573165,0.100771253072032,-0.196476349545247,0,0.252263607591905,0,0,-0.206420255084874,0,0.177555000518335,0,0,0,0,0,0,0,0.147996903052533,-0.186548527703
X601318.CH.EQUITY,0,0,0,0,0,0.170044239367137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610632712730685,0,0,0,0.0454431563354847,0,0,0,0,0,0,0,0,0.0498434194318902,0.0550138921823279,0,0,0.230697530138065,0.264018205600593,0,0,0,0,0.154050772234503,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0249324606463197,0.228850345100247,0,0,0,0,0,0.0397392618658979,0,0,-0.0320905934440969,0,0,0,-0.0239110909614524,0,0.138971358249128,0.230467395810444,0,0,0,0,0,0,0,0,0,0.222661553042205,-0.0151400585157253,0,0,-0.0932173231020751,0,0,0,0,0.169915492276076,0,0,0,0,0,0.0701671794114252
X601336.CH.EQUITY,0.222011598536717,0.0116188875178451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040096273234908,0.0724331893791467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146784633193119,0,0,0.110254689149088,0.296222760246504,-1.73472347597681e-18,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177149892392423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120043135883706,-0.049993688575017,0.191495998407447,0.428779188853125,0,0.394729795202465,0,0,0,0,0.209993547873774,0,0.0587614189622482
X601628.CH.EQUITY,0,0,0,0,0.0715458823447258,0.23926258044613,0,0,0,0,0,0,0,5.42114437739405e-05,0,0,0,0,0.0365728539901229,0.0520551728960417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150041126521223,0,0.107477060145286,0,-0.100135086883678,0.202720217447628,0,0.110448014411814,0,0,0.00914551380399766,0,0,0,0
X1299.HK.EQUITY,0.093610063528312,0,0,0,0,0,0,0,-0.0539420763336639,0,0,0,0,0,0,0,0,0,0.152563025075201,0.282112072745588,0,0,0.193861703434514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305986162801106,0.208971525450985,0,0,0,0,0.0186335269221546,0,0.203844698178709,0,0,0.0298747408929262
X2881.TT.EQUITY,0,-0.0288016278139345,0,0,0,0,0,0,0,0,0,0.0993984704730294,0,0,0,0,0,0,0,-0.172493638639618,0,0,0,0.178085317157802,0,0,0,0,0,0,0,0,0,0,-0.0289163232605756,0,0.0441998963823574,0,-0.0728092865057536,0,0,0,0,0,0,0,0.158901369392779,0,0.825641778447402,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762755687190159,0,0,0,0,0,0,0,0.202379942915376,0,0,0,0.00607624584490543,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0101280304113974,0,0,0,0,0,0,0,0,-0.0223908533080195,0.165419309357866,0,-0.217223324972578,0.90821810170041,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0154037275933824,0,0,0,0,0,0,0,0.164394199954946,0,0.328275496922411,-0.013948241326985,0,0,0,0,0,0,0,0,0,0,0.0618851014424773,0,0,0,0,0.0895070493969781,0.0687065761913642,0,0,0,0,0,0.0366819396810361,0,0,0,0
macro_return_add,0,-0.239146580383656,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.227879521603615,0,-0.0623967543933975,0,0,0,0,0,0,0.163824294618268,0,-0.163048332529717,0,0,0,0,0,0.0690917768065302,-0.103197379326657,0,0.47729305884698,0,0,0,0,0,0,0,0,0,0,-0.0558677241355262,0,0,0,0,0
