,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0.0308045237571127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457146666673266,0.0471188242940475,-8.67361737988404e-19,0,-0.138496015513756,0,0,0.799822224302315,0,0,0,0,-0.0168965584698084,0,0.0543904130699297,0.0210913641778,0,0,0,-0.181691040968473,0,0,0,0,0.0578433544515477,0.106684973145641
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131633899808724,0,-0.0219539727659496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646803635780209,0,0,0.0194826849613016,0,0,0,-0.0557975551998636,0
X601319.CH.EQUITY,0,0,0.199736309035366,0,0.23872127068766,0,0,0,0.177098226814547,0,0,0,0,0,0,0,0,0,0,0,0.0403622009042251,0,0.0422190522308809,0,0,0,0,0,0,0,0,0,0.0446019263046641,0,0,0.22137135192055,0,0,0,0,0,0,0.134234309838967,0,0,0.317578147479114,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0.0872757632031651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745773215000086,0.0460411972288373,0,0,0,0,0,0,-0.180976247355315,0,0,0,0.181945001852879,0,0,0,0,0.332869662541253,0.546999362661959,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.0901005280158131,0,0,0,0,0,0,0,0,0.000344753764149747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246182854641947,0,0,0,0.000353587243067947,0.0231664438937612,0,0,0,0,-0.00510758208508041,0.101957392650682,0,-0.0191449601134505,0.184668011293054,0,0.530183540243525,0,0,0,0,0,0,0.115790178652612,0,0
X601628.CH.EQUITY,0,0,0.145607565035832,0,0,0.0441951495494576,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0944222069834396,0,0.0356853846185713,0,0,0,-0.0171515397267783,0,0,0,0,0,0.0991897830227724,0,-0.0300643652159364,0,0,0,0,0,0,0,-0.108738172567655,0,0,0,0.687502424734962,0,0,0,0,0,0,0,0.0163140944761639,0.0306431225575497
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0728981318779853,0,0,-0.246390491666693,0.0688482872668877,0.562841767142438,0,0,0,0,0,0,0,0.0827962483489048,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0308464905436884,0.287006303326618,0,0,0,0,0,0,0,0,0,0,0,0,0.0777066491813109
X2881.TT.EQUITY,0,0,0,0.0844383524235586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660229821148424,0,0,0,0,0,0,0,0,0,0,0.0224113621574332,0,0,0,0,0.177065684283923,0,0,0,0.000486312380403024,0,0.642540784642075,0.0696591237541837,0,0.0368107554629951,0
X2882.TT.EQUITY,0.101106498174278,0,0,0,0.107204415955584,0,0.0358506791750815,0,0,0,0.0549762235479205,0,0,0,0,0,0,0,0,0,0,-0.169804687515424,0,0,-0.132055338619261,0,0.194238975206479,0.16360066302649,0.143659372876132,0,0,0,0,0,0,0,0,0,0.0141500672972847,0,0.029155053855594,0,0,0,0,0.566452359117236,0,0,0,0,0
X2883.TT.EQUITY,0,0,0,0.254034664441182,0,0,0,0,0,0,0,0,0,0,0,-0.297091534184634,0,-3.46944695195361e-18,0,0,0,0,0,0,0.173930605842668,0,0,0,-0.0084952645192008,0,0.453723684419145,0,0,0,0,-0.081930900297534,0,0,0,0,0,0,0,0,0.0581838346389823,0.0531032989177568,0.217009770305884,0,0.118062265816341,0,0
X2888.TT.EQUITY,0,-0.338625220266962,-0.0944024600771135,0,0,0,0,-0.0910970939967482,0,0,0,0,0,0,0,0,0,0.0797706745651713,0,0,0.55044652439907,0,0.033199050217142,0,0,0,0,0,0.179452841710896,0,0.0370594031473132,0.119607952948986,0.185064949143631,0,0,0,0,0,-0.0418338190875196,0,0,0,0,0,0,0.0237994919136147,0.273207931508679,0.0924026363565786,0,-0.198023818390989,0
X267.HK.EQUITY,0,-0.17058701503975,0,0,0,0,0.0416877108324673,0,0,0,0.235140579709758,0,0.567760064175627,0,0,-0.186420041258663,0,0,0,0,0,0,0,0.0730378208393242,0.0541982533827611,-0.152796231781847,-0.228839319475978,0.030373224665079,0.0803529076023959,0,0,0,0,0,0,0,0,0,0,-0.0136114916592739,-0.0090668538073252,0,0,0,0,0,0,0,0,0,0
macro_return_add,0,-0.0848695058996097,0,0.191913918802918,0,-0.328342074411284,0,0,0,0,0,0,0,0,0,0,-0.0952256374134231,0,0,0,0,-0.210033871032476,0,0,0,0,-0.184742069779808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566480418655482,0.0994836700779806,0.163351288620028,0,0,0.00276160435327951,0,0
