,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.1496886131026,0,0,0,0,0,0,0,0,0.375848519108203,0,0,0,0,0,0,0,-0.112568057050482,0.117759192071095,-0.0864729099017415,0,0,0,0,0,0,0,0,-0.217344542753294,0,0,0.201217715451453,0,0,-0.0951664629946849,0,0,0,0.37493458398525,0.252408719383999,-0.0723611789104784
X2884.TT.EQUITY,0,0,0,-0.000944814261114057,0,0.169077679328348,0,0,0,0,-0.0340951236758651,0,0,0,0,-0.0430097530936151,0,0,0,0,0,0,0,0,0.308633655720386,0,0,0.145792096628421,0,0,0,0.0499162799308592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216985918090474,0.131398959302551,0,0
X2886.TT.EQUITY,0.111777836335184,0,0,0,0,0.334863619367728,-0.161867302870082,0,0,0,0,0,0,0,0,0,0,0,0,0.200353078079771,0,0,0,0,0.130226600884775,0,0,0,0,0,-0.476840156961625,0,0.00547069036187612,0.479086878750209,0,0,0,0,0,0,0.120235482800068,0,0,0,0,0,0,0,0,0,-0.014921041208544
X2891.TT.EQUITY,0,0,0.0841852757787825,0,0,0.0742140904063569,0,0,0,0,0,0,0,0,0,0,0,0,0.00898225921350461,0.109783801839706,0,0,0.183082333596035,0.227498860614941,0,0,0,0,0,0,0,-0.0349864036769226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229670855041206,0.0250682213848808,0.0415245867260696,0
X000166.CH.EQUITY,0,0,0,0.0720887727716874,0,0,0,0,0,0.0853006192185263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074409802164426,0,0,0.174145279452319,0,0,0,0.197409489112898,0,0,0.168338394629596,1.38777878078145e-17,0.363889400786267,0,0,0,0,0,0,0.170898114062702,0,0,0,-0.000420723907878048
X000776.CH.EQUITY,0,0,0.107980121281575,0,0,0,0,0,0.0532514648511456,0.103715297408003,0,0.0475190328558776,0,0,0,0,0,0,0.051269441631975,0,0,-0.00550068457770924,0,0,0,0.274825359443954,0,0,0,0.0771127678193528,0.291952520709155,0,0,0,0.0715831735399991,0,0,0.0662955328029994,0,0,-0.015943163427221,0,0,0,0,0,0,0,-0.0478913384959525,0,0
X002736.CH.EQUITY,0,0.0234461122673134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403454407275966,-0.0745870257167967,0,0,0.0287448265630517,0,0.116114728758207,0.275143112758931,0,0,0,0,0,0.0812732031090629,0,0.198083212519217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749089443682968,0,0,0,0,0,0,0,0,0,0,0,-0.0364626369455782,-3.46944695195361e-18,0,-0.0416327034330767,0,0,0.00343578281702462,0,0,0,0,0.0934664203790016,0,0.22531408255334,0,0.51497251779633,0,0.0651677224588805,0,0,0,0.0469681283157183,0,-0.00728752289648529,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101507081761462,0,0,0,0,0,0,0.118818437573465,0.0240906328356246,0,0.0287873468381319,0.00939836259872515,0.0316938539242798,0.511249931845945,0,0,0,0.0775076319640765,0.00463645293387022,0.165249886251088,0,0,0.091586261775376,0,0,0,-0.028117101338542,0,0,0,-0.0919847219706636
X600837.CH.EQUITY,-0.0202681306694127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568806801270485,0,0,0,0,0,0,0,0,0,0,-0.0909077208376137,0.071114332183725,0.20492002055763,0,0.239084849975776,0,0,0,0.37552962458188,0,0,0,0,0,0,0,0,0.0400198252935946,0.0377520446152379,0,0,0.00293825261214269,0,-0.0168991587038617
