Dates,REIT INDEX,SPX INDEX,USGG3M INDEX,VIX INDEX,USGG3M10YR,MOODCBAA10YRSPD
2019-01-03,1686.54,2447.89,2.3993,25.45,0.1542,2.4865
2019-01-04,1706.96,2531.94,2.4065,21.38,0.2612,2.4523
2019-01-07,1722.38,2549.69,2.4038,21.4,0.2922,2.424
2019-01-08,1757.33,2574.41,2.4381,20.47,0.2899,2.392
2019-01-09,1753.69,2584.96,2.4354,19.98,0.2746,2.42
2019-01-10,1778.76,2596.64,2.4224,19.5,0.3197,2.4179
2019-01-11,1783.3,2596.26,2.4142,18.19,0.2865,2.4293
2019-01-14,1776.02,2582.61,2.4115,19.07,0.2909,2.4676
2019-01-15,1793.55,2610.3,2.4227,18.6,0.2885,2.4688
2019-01-16,1806.56,2616.1,2.4071,19.04,0.3147,2.4582
2019-01-17,1814.76,2635.96,2.3967,18.06,0.3537,2.4296
2019-01-18,1819.41,2670.71,2.3935,17.8,0.3907,2.3858
2019-01-21,1819.41,2670.71,2.3935,17.8,0.3458,2.3808
2019-01-22,1815.12,2632.9,2.3934,20.8,0.344,2.3891
2019-01-23,1816.67,2638.7,2.3969,19.52,0.3626,2.3743
2019-01-24,1821.97,2642.33,2.3531,18.89,0.3853,2.3415
2019-01-25,1845.07,2664.76,2.3732,17.42,0.3633,2.366
2019-01-28,1863.21,2643.85,2.3807,18.87,0.3025,2.3702
2019-01-29,1878.74,2640,2.4073,19.13,0.2652,2.3925
2019-01-30,1893.6,2681.05,2.4123,17.66,0.2454,2.3807
2019-01-31,1911.23,2704.1,2.3839,16.57,0.2982,2.3258
2019-02-01,1898.66,2706.53,2.386,16.14,0.3454,2.3065
2019-02-04,1913.58,2724.87,2.3781,15.73,0.2936,2.2817
2019-02-05,1924.23,2737.7,2.4047,15.57,0.2823,2.2854
2019-02-06,1911.34,2731.61,2.4123,15.38,0.2605,2.3028
2019-02-07,1928.17,2706.05,2.3967,16.37,0.2223,2.2961
2019-02-08,1928.6,2707.88,2.4116,15.72,0.2293,2.2964
2019-02-11,1933.87,2709.8,2.4243,15.97,0.2624,2.2923
2019-02-12,1917.76,2744.73,2.4253,15.43,0.2744,2.2779
2019-02-13,1928.12,2753.03,2.4277,15.65,0.2338,2.3064
2019-02-14,1934.45,2745.73,2.4198,16.22,0.2434,2.2774
2019-02-15,1946.13,2775.6,2.4192,14.91,0.2149,2.2961
2019-02-18,1946.13,2775.6,2.4192,14.91,0.2093,2.2353
2019-02-19,1945.86,2779.76,2.419,14.88,0.2485,2.2286
2019-02-20,1933.77,2784.7,2.4354,14.02,0.2094,2.2482
2019-02-21,1935.4,2774.88,2.4429,14.46,0.2229,2.2374
2019-02-22,1946.64,2792.67,2.4424,13.51,0.1976,2.2443
2019-02-25,1932.11,2796.11,2.4397,14.85,0.2471,2.2575
2019-02-26,1926.41,2793.9,2.4381,15.17,0.2824,2.235
2019-02-27,1917.06,2792.38,2.4354,14.7,0.3235,2.2269
2019-02-28,1922.05,2784.49,2.4326,14.78,0.298,2.2177
2019-03-01,1916.44,2803.69,2.4296,13.57,0.2839,2.2231
2019-03-04,1925.06,2792.81,2.4243,14.63,0.2426,2.2466
2019-03-05,1930.33,2789.65,2.433,14.74,0.1938,2.2507
2019-03-06,1922.68,2771.45,2.4508,15.74,0.1887,2.2615
2019-03-07,1918.88,2748.93,2.4455,16.59,0.2124,2.2707
2019-03-08,1920.53,2743.07,2.4398,16.05,0.1608,2.2585
2019-03-11,1949.49,2783.3,2.4269,14.33,0.1834,2.2487
2019-03-12,1958.6,2791.52,2.4407,13.77,0.1951,2.2697
2019-03-13,1967.45,2810.92,2.4379,13.41,0.1524,2.2829
2019-03-14,1972.08,2808.48,2.4352,13.5,0.1713,2.2667
2019-03-15,1964.4,2822.48,2.4347,12.88,0.1691,2.2677
2019-03-18,1954.1,2832.94,2.432,13.1,0.073,2.3037
2019-03-19,1948.24,2832.57,2.4432,13.56,0.0786,2.2831
2019-03-20,1956.15,2824.23,2.4533,13.91,-0.0034,2.301
2019-03-21,1991.38,2854.88,2.4583,13.63,-0.0439,2.3117
2019-03-22,1978.88,2800.71,2.4424,16.48,-0.0254,2.287
2019-03-25,1980.15,2798.36,2.4422,16.33,-0.0535,2.3035
2019-03-26,1996.88,2818.46,2.4484,14.68,-0.0201,2.2654
2019-03-27,1991.43,2805.37,2.42,15.15,0.0241,2.265
2019-03-28,2010.84,2815.44,2.4147,14.43,0.1228,2.2291
