,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.114628745061819,0.0679996891839815,0,0,0,0.0440193276222104,0.342129865762922,0,0,0,0,0,0,0,0,0,0,0,0,0.0227196205178542,0,0.0245933795922432,0,0,0,0,0,0,0,0,0,0.0323263042448641,0,0,0,0.0255331553797702,0,0,0,0,0.157849919773001,0.0859013437132872,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.163180739732456,0,0,0.143257741620285,0,0.238662716000872,0,0,0,0,0,0,0,0,0,0,0.0404271021891932,0,0,0,0.0603422187425177,0,0,0,0,-0.0345875258868888,2.16840434497101e-19,-0.0522035911667716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207245216874187,0,0.00336772657950664,0.143228597635616,0,0.00583757016306971
X002958.CH.EQUITY,0,0.0352780912159339,0,0,0,0,0,0,0,0.133890659387221,0,0,0,0,0,0,0,0.35588152318893,0,0,0,0,0,0.0365949801370749,0,0,0,0,0,9.26833046091923e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.134322345620045,0.0852450092077593,0,0,0,0,0.093923116313698,-0.0548494410868409,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0298801145067434,0,0,0,0,0,0,0.62112190670219,0,0,0.0122210094506873,-0.0442442130668876,0.0331617976424031,0.169318427250909,0.11949467063496,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.055805548390789,0,0,0,0,0,0,0,0.126636807158749,0,0,0.116525216395521
X600015.CH.EQUITY,0,0,0,0.141164384219967,0,0,0,0,0,0,0,0,0.0687508678334426,0,0,0,0,0,0,0,0,0,0.101095932088407,0,0,0,0.67049567600823,0,0,0.0063796164641083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764967532782221,0,0,0,-0.0742263087408838,-0.071431920738782
X600016.CH.EQUITY,0.0482164675394246,0,0.147004481501852,0,0.300584771287139,0,0,0,0,0.0845298116668559,0,0,0,0,0,0,0,0.280697206123827,0,0.0421569206291228,0,0,0,0,0,0.0658683479167043,0,0,0,0,0,0,0,0,0,0,0,0.169388950345195,0,0,0,0,0,0,0,0,0,0,-0.00357288373847353,0,-0.0118445462323635
X600036.CH.EQUITY,0.351150825136685,0.138681119382427,0,3.46944695195361e-18,0,0.000990022216170158,0,0,0,0.113766792545402,0,0.143973970980923,-0.109693122649767,0,0,0,0,0,0.0467709966852039,0,0,0,0,0,0,0,0,0,0.187931202336756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713308775639356,-4.33680868994202e-19
X600919.CH.EQUITY,0,0.046309549142389,0,0,0.309709990655689,0,0,0,0.519055135482042,0,0.0369551127591891,0,0,0,0,0.0619217885421914,0.0266939421169177,0,-0.0327935273174352,0,0.112696593238442,0,0,0,0,0,0,-0.0546421193733399,0,-0.107950622400111,0,0,0,0,0,0,0,0,0,0,0.0701042208641919,0,-0.153205302926669,0,-0.0731476021347077,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.0624297642049442,0,0,0,0,0,0.377997046043258,0,0,0,0,0,0,0.0481102713364653,0,0,0,-0.0483035586011067,0.447680864584356,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0196430789322462,0,0.171842019933437,0,0,0,0,0,-0.0901090029810541,0,0,0,0.131999536483826,0,0,0,0,0,0,0,0,0.219768164988363
X600928.CH.EQUITY,0,-0.0466253749832721,0.168285334420327,0,0,0,0,0,0,0,0,0,0.0203252929715406,0,0,0,0.119189351602637,0.144196961767444,0.130908200990357,0,0.011253119427864,-0.0886354769297749,0.43433831440685,0,0,0,0,0,0,-0.029978001192738,0.0746563504761494,0,0,0,0,0,0,0,0,0,0.0218010571217059,0,-4.33680868994202e-19,0,0,0,-0.0268616223944101,0,0,0,0
