,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2823.TT.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.190841200807798,0,0.165668663791758,0,0.125917406031627,0,0.311828260939976,0,0,0,0.0381475656851092,0,0.0895286279978636,0,0.0695591859678759,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.168651647698619,0,0,0,0,0.114983057329508,0,0,0,0,0,0,0,-0.190049327788967,0,0,0,0,0,0,-0.0673085280198299
X002142.CH.EQUITY,0,0,0,0,0,0.252075089809901,0,0.49091784318394,0,0.00478767102085376,0.125951077351821,0,-0.224175523021286,0,0,0,0,-0.213515764962386,0.251653973401502,0,0,0,0,0,0,0.0557385831501252,0,0,0,0,0,0,0,0.125602253753495,0,0,-0.103158718683501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.195137386251542,0,0.112394106537409,0.154081112544099,0,0,0,0,0,0,0,0,0,0,0,0.346674877618605,0,0,-0.0113002207776399,-0.104094971040448,0,0,0,0,0,0.0508589685422501,0,0.230650093392891,-0.0355312521790034,0,0,0,0,0,0,0,0,0,0.00622729814786,0,-0.00705154732955842,0,0,0,0,0
X600015.CH.EQUITY,0.196521336092043,0,0,0,0,0,0,0,0,0,0.347814622653124,0.122947843418496,0,0,0,0,0,0.138796638006735,-0.00626373288810249,0,0,0.0315221739477807,0,-0.0445752931287216,3.46944695195361e-18,0,-0.12228844293641,0,0,0,0,0,0,0,0,0.030353246869656,0,0,0,0,0,0,-0.00729448518963467,0,0,0,0,0,0,0,0.0673228129585523
X600016.CH.EQUITY,0,0.348424006309837,0.119074302266799,0,0,0,-0.063945190007116,0,0,0,0,0,0,0,0,0,0.0328938925727485,0,0,-0.265185828086167,0,0.0760892894662852,0,0,0.829742420543694,0,0,0,0,0,0,0,0,-0.106947315342263,0,0,0,0,0.202128314734111,0,0,0,0,0,0,0,-0.203523777088805,0,0,0,0.0929330361411412
X600036.CH.EQUITY,0,0.178156570809439,0.0688400790312985,0,0,0,0,0,0.044402432825878,0.148879931550292,0,0,0,0,0,0,0.196172913592976,0.025722024754025,0,0,0,4.33680868994202e-19,0,0,0.0309945166921928,0.0154802060453219,0,0,0,0,0,0,0,0,0.0404971609180309,0,0,0,0,0,0,0,0,0,0.237387543675512,0,0,0,0,0,-0.0344348830906565
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.225926642265781,0,0,0.0570993096253795,0.141051997079752,0,0,0,0,0,0,0.0589995188313267,0,0.224657445489084,0,0,0,0,0,-0.126846067708235,0,0,0,0,0,0,0,0,-0.0133010229806154,0,0,0,0,0,0,0,0.0402855500638652,0,0,0,0,0,0,-0.030669696526337
X600926.CH.EQUITY,0.166057622089878,0.183306379157455,0,0,0,0,0.0706022363832109,0,0,0,-0.0719665827110346,0,0,0,0,0.411899373489782,0,0,-0.0565721289105079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00890457621457932,0,0,0,0,0.0780083233248102,0,0,-0.115315644150412,0,0,0
X601009.CH.EQUITY,0,0.292693568177508,0,-0.157035119074562,0,0,0,0,0,0.0437500342808421,0,0.224767296321277,0,0.0956476704147045,0,-0.0226867214767051,0,-0.0496987584418864,0,0,0.425622860154243,0,0.0146873744183784,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.10449711843481,0,0,0,0,-0.0207745477799666,0,0,0,-0.0751847989549883,0,0,0,0,0
X601166.CH.EQUITY,0.286215340970681,0,0,0,0,0.545219542094579,0,0,0,0,-3.46944695195361e-18,0.208886348570227,0,0,0,0,0,0,0,0,0,0,0.0890943538795178,0,0,0,0,-0.0527699098278374,0,0,0,0,0,0,0,0,-0.178461041716206,0,0,0,0,0,0,0,0,0,-0.0400915390292563,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.00348803303470877,0.190932666870663,0,0,0.109352448592016,0,0,0,0,0,0,0,0,0,0.124948918566945,0,0.204313482421981,0,0.137391835641163,0,0,0,0,0,0,0,0.219048339274666,0,0,0,0,-0.016388228812102,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.026896967618298,0.0876864825442275,0,0,0,0,0.182152179008808,0.0550648977439507,0.0127303372300154,0,0,0.0977552879569208,0,0,0.211963815209399,0,0,0,0.0882564673275996,0.0570459291163612,0.215694031243817,0,0,0,0.0114143401659638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0373210148370894,0,0,0,0,0,0.183802867839767,0,0,0,0,0,0.752809039556501,0,0,0,0,0.112073433634639,0,0,0,0.0254673166672314,0,0,0,0,0,0,0,0,0,0,0.162542225719562,0,0,0,0,0,0,0,0,-0.121679410773035,-0.202192330476928,-0.03263437383665,0,0,0,0,0.00128196104179409
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0881192556323622,0,0,0.107165125596042,0.0663157808694671,0,0,0,0,0,0,0.270807472323981,6.93889390390723e-18,0.195028001371057,0,0,0,0.0257638919871643,0,0,0,0,0,0,0,0,0,0,0,0.0194123063446781,0,0,0,0,0,0,0.121044815664269,0,0,0,-0.00313472070545286,0,0
