,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0811727271068379,0,0,0,0.149090358614285,0,0,0,0,0,0,0,0,0,0.021564349782592,0.170615948806763,0,0,0,-2.77555756156289e-17,0.0760915349725708,0,0,0.0410768923669722,0.0858233595297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283832376276805,0,0,0.13791646472561,0,0,0,0,0,-0.0950840688137653
X002142.CH.EQUITY,0.108963050992496,0,0,0,0,0.895896690891328,-0.116384340961823,0,0,0.118396241104997,0,-0.355407218383949,0,0,0,0,0.073823772673945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218952900763695,0,0,0,0,0,0,-0.0342025685415387,0.19066288455454,6.93889390390723e-18,0,0,0,0,0,-0.0109910468314185,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.112417307047269,0,0.146990575581356,0,0,0.266239135838483,0.10624341029406,0,0.140162209665548,0,0.0686995076436642,0,0,0,0,0,0.0777731262070053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000908222104337829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.334397897291369,0,0.0774745555632712,0,0.157905408321418,0,0,0,0,0,0,0,0,0,0,0.100711983810172,0.0631406029485936,0.237771315523488,0,0,0,0,0,0,0,0,0,-0.131681639204855,0,0,0,-0.477059285726965,0,0,0,0,0,0.111476523663916,0,0,0,0,0,0.134106350412242,-0.0158104216449732
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.241610179102787,0.0784620016600677,0.46978818182277,0.0801438752139263,0,0,0,0.137322397731987,0.113189862058127,0,0,0.019970267214343,0,0,0,0,0,0,0.10183218376248,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0328026895453856,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0513235407951004,0.256579354292952,0,0,0,0,0,0.229998975600068,0,0,0,0,0,0,0.110656135502354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144039594046068,0,0,0,0,0.0560406916498115,0.237835993626414,0.0881781306989716,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.748916120994909,0,0,0,0,0,0.154261217965927,0,0,-0.0542683114687801,0,0,0,-0.00683386501684823,0.0662990993895647,0,0,0,0,0,0,0,0,-0.033318779022315,0,0,0,0,0,0,-0.0148889555430792,0,0,0,-3.46944695195361e-18,2.16840434497101e-19,0,-0.0320889047615142,0,0,0,0,0,0,0,0,-0.0749670176362985,0.0039982210136624
X601166.CH.EQUITY,0.123444483413405,0.0124623441110628,0.454202170450132,0,0,0,0,0,0,0,0,0,0,0,0.177062068038211,0.0195435814204998,0,0.0211863501397561,0,-0.0015795507943271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108818159083208,0,0,0,0.00150060928394478,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.188113352607313,0.156770645314772,0.610043370310902,0.090116249027822,0,0,0,0,-0.131779767473647,0,0,0,0,0,0,0,0,0.0680969391202761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258401282112638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.298292485310604,0,0,0.210543249337457,0,0.110771823520482,0,0,0,0,-0.0774328374659314,0,0,0,0,0,0,0,0,0,-0.10802105595028,0,0,0,0.207856877126824,0,0,0,0,0,0,0,0,0,0,0,-0.0813579248725388,0,0,-0.170679896927768,-8.67361737988404e-19,0.157404150774935,0,0.130325789348116,-3.46944695195361e-18,0,0,0,-0.255036382463238,-0.273792803670463
X601288.CH.EQUITY,0,0,0.0954598008358726,0,0.121652167151936,0,0,0,0,-0.0665113873799109,0,0.149158257450827,0,0,0.268364074417909,0.275778897359914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821079337761351,0,0,0,0,0,0,0.0523610643963784,0.0213458806591964,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0825358151575018,1.73472347597681e-18,0,0,0.0966846520675161,0.0386491644163427,0.252766414251366,0,0.282154020820802,0,0,0,0.209587468513078,0,0,0,1.0842021724855e-19,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0784146899785145,0,0,0,0,0.0437367414853801,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279891678281253,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381743241470573,0,0,0.0929562131126843,0,0,0,0.125774944801746,0,0,0,0,0,-0.109487411479951,0,0,0,0,0,0,0,-1.03279684344934,0.01187419973075,0,0,0,0,0,0,0,0,0.3906643070952,0,0.0491542918457713,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323637293860877,0,0,0,-0.0503433166981837,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196946932814179,0,0,0.178931009935394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.0273485090952889,0,0,0,0,0.149093686880192,0.133529716390401,0,0.374861579763363,0.166043907562114,0,0.0927968276292977,0,0,0.0253804904128172,0,0,0,0,0,-0.0414101889079478,0,-0.116134804490244,0,0,0,0,0,0,0,0,0,0,0.00402090681838822,0,0,0,0.0927328857481341,0,0,0,0,0,0,0,0,0,0,-0.0898286733836737
