,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,0,0,0,0,0.0413490020626262,0,0,0,-0.0276661930287987,0,0,0,0,0.290684515439567,0,0.19186912343589,0,0,0,-0.188131439981469,0,0,0,0,0,-0.0847285312738218,0.178735415949555,0,0,0,0,0,0,0,0.0240967808159358,0.326830463040606,0,0,0,0,0,0,0,0.102703532007644,-0.0978335321286903,0,0,-0.138219994062621,0,0
X601288.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.113152185146819,0.108400185848097,0,0,0.50531536943323,0,0.159660688734335,0,0,0,-0.0421317974679034,0,0,0,0.0426605799673254,0,0,0,0,0.185963273892969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015235865712824,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.334145838155582,0,0.0235006508558719,0.0542812388260139,0,0,0.000529909292906711,0.138123315519435,0,0,0,0,0,-1.38777878078145e-17,0.0933426603243512,0.182627043484657,0,0,0,0.156768095296334,0,0,0,0,0,0,0,0,0,0.105067302563189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106954143007309,0
X601398.CH.EQUITY,0,0.0648241891168897,0.341707058107329,0,0,0,0,0.186445796163182,0,0,0,0.0360075173316219,0.164243586578497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453664581792775,0.102480254600979,0,0,-0.149845890637838,0,0,0,-0.0490929987780443,0.154985614892848,0
X601818.CH.EQUITY,0.10246220353808,0,0,0.365890088224203,0,0,0,0,0,0,0,0,0,0,0,-0.114629450833774,0,0.180607547054812,0,0.121370360642722,0,0,0,0,0,-0.0490102118153515,0,0,0,-0.0818278349027174,0,0,0,0,0,0,0,0,0,0,0,0,0.167716205921113,0,0,0,0,-0.10795804116657,0,0
X601939.CH.EQUITY,0.0602054494415525,0,0,0,0,0,0,0,0,0.0472194932880732,0.375412781751763,0.00564974428848044,0,0.486132137003827,0,0,0.17663412026035,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484992741777254,-0.120346353126435,0,0
X601988.CH.EQUITY,0,0,0,0,0.0947380218834286,0,0,0,0.194040798595982,0,0,0.243788199861043,0.0618762320376198,0.0283450431809919,0,0.189595233717449,0,0,0,0,0,0,0,0,0,0,-0.170729698038603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751234007530468,0,0,0,0.107735318708002,0
X601998.CH.EQUITY,-3.46944695195361e-18,0,0,0.307361865718194,0.451806941313612,0,0.0141394025361946,0,0,0,0.025700685316137,0,0,0,0,0.0200425755670915,0,0,0.0572911118737575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241935110727725,0,0,0,0,0,0,0,0,0,0,0.0276364111429943,1.73472347597681e-18,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,-0.115238003631083,0,-0.0815113198725751,0,0,0,0.2326765005258,0,0,0,0,0,-0.176855632899884,-0.0222346854315466,-0.109998325846384,0,0,0,0.316201976086653,0,0,0,0.140779965588551,0,0.007478892125647,0,0,-0.331202997105805,0,0,-0.285527361691177,0,0,0,0,0.23670911399861,0,0,-0.656166954875992
X601077.CH.Equity,0,0,0.0582273359746041,0,0,0.0583300972622441,-0.129309689877134,0,-0.0656166979306655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181017958944039,0,0,0,0.225007638913494,0,0,0,0,0.188967080536584,0,0,0,0,0,0,0,0,0,-0.4190215557901,2.16840434497101e-19,0,0.0716222967946238,0.129462246747725,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.132484134808957,0,0,0,-0.0185436736080121,0,0,0,0,0,0,0.59708278284589,0.0736287199428854,0,0,0,0.100551786087655,0,0,0.00231690944532774,0,0.109620519483275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727793382069691,0,-0.118554214509271,0,0.142967266271001
