,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.609377247251903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0713714457359166,-0.18495262733847,0,0,0,0,0,0,0,0,0,0,-0.0089200210048858,0,0,0,0,0,0,0.196320624907734,-0.14747600901275,0,0,-0.187993051752155,0,0.0398537660144191,0.352149801188903
X601328.CH.EQUITY,0,0,0,0.0944579956353025,0,0.434396212744765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792712416033152,-0.021168039120539,0,0,0,0,0,0,0,0,-0.046703231783946,0,0,0,0,-0.125111830715241,0,0.172231539450507,0,0,0,0,0,0,0,0.238615863317923,0.0647076906996113,-0.0077951633841709,0.183568395828102
X601398.CH.EQUITY,0,0,0,0,-0.00391661068407362,0,0,-0.084216661478963,0,0,0.816379831451983,0,0,0,-0.103959611684189,0,0,-0.26078590368742,0,0,0,0,0,-0.0540416798409506,0,-0.00865338010193729,0,0,0,0,0,0,0,0,-0.307502983683544,0,0,0,0,0,0.276513104472462,0,0,0,0,0,0.209777681606576,0.191934447793594,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.276513084729388,0,0,0,0.00831169146091205,0,0.515248525855513,0,0,0,0,0.0121901675732421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111861637942234,0,0,0,0.189553772189603,0,0,0,0,0,0,0,0,0,0,0,0.0565457753671585,0
X601939.CH.EQUITY,0,0.434668264255319,0,0,0,0,0,0.0916822158233839,0,0,0.0470385046335712,0,0,0.371435478091825,0,0,0,0,0,0,0,0,0.0578456087333008,0,0,0,0,0,0,0,0,0,0,0,0,-0.330613102800705,0,0.1951854882668,0.137578893482716,0,0,0,0,0,0,0,0,0,0,-0.0182385121070874,-0.0638784455594622
X601988.CH.EQUITY,0.314550773644995,0,0,0.223432461691473,0,0,0,0,0,0,0,0.0357350567322324,0,0,0,0,0,0,0,0,0.207498094662576,0,0,0,0.322460565213613,0.0105919328950433,0,0,0,0,0,0,0,0,-0.0648654176197214,0,0,0,0,0,0,0,0,0,0,0,-0.0795940020383255,0,-4.33680868994202e-19,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.227892903212862,0.221322854731263,0,0,0,0,0,0,0,0,0,0,-0.00810936078960295,0,0,0,0,0.146025272768278,0,0,0,0,0,0,0,0,0,0,0,0.27392443644011,0,0.239738090345479,0,0,0,0,0,-0.0151615087215846,0,0,0,-0.322402031647648
X11.HK.EQUITY,0,0,0.0479579155742721,0,0,0,0,0,0.19442117459023,0,0,0,0,0.0167047724256688,0,0,0.136407364133098,0,0,0.216599273806785,0.234284416536762,0.168690423282104,0,-0.0322232249342646,0,0,0,0,0,0,0,0,0,0,-0.04898040628846,0,0,0,0,0,0,0,0.0757552808901826,0,0,0,0,0,0,0.0790040689751468,0.0491154297089944
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0779974914975051,0,0,0,0,0,0,0,0,0,0.495146282558357,0,0,0,0,0.0231915040767818,0.304915889753312,0,0,0,0,0.0762314913562946,0,0,0,0,0,0,0,0,0.0928237447062896,0,0,0,0,0.057882625752632,0,-0.0638697761216663,0,0.125751720300037,0,0.127418555967345,0
X5.HK.EQUITY,0.13122570571261,0,0,0,0,0,0,0,0,0.311129926727393,0,0,0,-0.0944919514703239,0,0,0.000649108208043245,0,0,0,0,0,0.0920610776405353,0.0209459886579364,0.0527215408702126,0.146898302404005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952613976074884,0.393094360398444,0
X2884.TT.EQUITY,0,-0.0351486596051076,-0.014985930636047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119382747389083,0,0,0,0.432520541320206,0,0.113662700609345,0.391835946431935,0,0,0,0,0,0,0,0,0.0886161257937949,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.066220246980894
X2886.TT.EQUITY,0,0.0695037449231206,-0.0837375276264188,-0.0992604500707031,0,0,0,0,0,0,0,0,0,-0.308074891479477,0,0,0,0,0.0756248304520815,0,0,0,0,0,0.787619029922391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11977592809935,0,0,0,0.165516137517698,0,0,0,0,0
X2891.TT.EQUITY,0.5847721870294,0,0.0252727466391792,0,0,0,0.0745886690838488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744204309868575,0,0,0,0,0,0,0,0,-1.14122055386128,0,0,0,0,-0.0244720191740872,-0.0817308665731934,0,0,0.272301177071937,0,0.03711434879478,0,0,0,0,0,0,0.173740182818258,0,6.93889390390723e-18,0
X2892.TT.EQUITY,-0.0803778779177919,0,0,0,-0.0210847961410423,0,-0.0272293119421094,-0.0486152592792739,0,0.128652773879624,-0.0317513840955948,-0.175710261600151,0,0.0190110846680315,0,0,0.0533311351135423,0,0,0,0.163212221261221,0.282271848893728,0.597637890831189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790781719891742,0,0,0,0.136413117534795,0,0,0,0,0,0.0584365624577136,0,0.0645159570766315,0
X5880.TT.EQUITY,0,0,0.135879655651789,0,0,0,0,0,0.111558473648142,0,0,0,0.0768501207880784,-0.0544132158234482,0,0,0.0476998921553859,-0.0713914372002994,0,-0.0532037531917617,0,0.197211722330501,0.477851080594704,0,0,0,0,0,0,0,0,0,0,0,0.0488406080148606,0,0,0,0,0,-0.241273358371595,0,0,0,0,0,0,0,0,0.227068090777034,-0.100593239660677
X000166.CH.EQUITY,0,0,0.0216007502703664,0,0.0084966770984615,0,0,0,0.019186521111754,0,0,0.000153635961963297,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.284408702230167,0,0.149379046327307,0,0,0.219408591348432,0.160169497296399,0,0,0,0,0,0,0.0715713412652201,0,0.0402715970731984,0.020096871082802,0,0,0,0,-0.0347818087407881,0,0
X000776.CH.EQUITY,0,0,0,0.00903712230519726,0,0,0,0,0,0,0,0,0,0,0,-0.12399783687136,0.0617870899736836,0,0,0,0,0,0,0,0,0,0.173206395645501,0,0,0.181513984734053,0,0,0,0,-0.0435384688107785,0.1934935713995,0.45962209785593,0,0.0502255278941062,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.104592250069358
X002736.CH.EQUITY,0,0,0,0,0,0,0.115470875718316,0,0.0573543621095849,0,0,0,0,0,0,0.0310563809831647,0.0527496443373323,0.0866226492928499,0,0,0,0,0,0,0,0,0,0,0,0,0.421898037452075,0,0.174770567954637,0,0,0,0,0,0,0,0,0,0,0,0.052455982993102,0,0,0.0392991159366297,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539427480984507,0,0.152252722820121,0,-0.0600076720070352,-0.151209613598159,0,0,0,0.0350855760043548,0,0,0,0,0.323444284466928,0,0,0,0,0,0.0786169824355642,0,0,0.129374528535231,0,0,0,0.0427533366724068,0,0,0,-0.0936980190342026,0,0
X600030.CH.EQUITY,0.0691379735803436,0,0,0,0,0,0,0,0,0,0,0,0.00741552751406471,0.0399827483652714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265484836784439,0,0.357853225229013,0,0.130062752367155,0,0.232716142887879,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546450905053405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227635912922518,0.148505137502636,0.0878685678270653,0,0,0,0.0853614633191599,0,0,0.164109345261636,-0.0340196694298158,0,0,0,0,0.178663400644866,0,0,0,0,0,0,0.00354925990485233
X600958.CH.EQUITY,0,0.0481021433037534,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.104027657506502,0,0,0,0,0,0,0,0,0,0,0.223880615280749,0,0.00626093389724408,0.335036018151749,0,0,0,0,0,0,0.175021820794718,0.0511861697702341,0,0,0,0.00725520738636933,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0.124801166996744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101455453324539,0.226241120341211,0.0138243094354848,0.0873853760100408,0,0.0259654427622919,0,0.0738791156144777,0.406144648543069,0,0,0,0,0,0,0,0,0,0.00199247133533097,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,-0.0587208450664166,0,0,0,0.0129032054142614,0,0,0,-0.121774533902468,0.300134349267784,0,0,0,0,0,-0.351446945230693,0.131733259730147,0,0,0,0,0,0,0,0,0,0,0,0.132217680391681,0,0,0,0.0193311604383648,0,0,0,0,0,0,0,-0.214771709826678,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.0139892321499996,0,0,0,0,0,0,0,0,0.0114598494471926,0,0,0,0,0,0.0411510534771065,0,0,0,0,0.0119866390160663,0,1.73472347597681e-18,0.268032292623563,0,0,0,0,0.0427486158898564,0.253767252859677,0,0,0,0.262468236614959,0,0,0,0.0640900054493003,0,0,0,0,0,0.0223195214165639,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.104503474476699,0,-0.0704391096277613,0.0506113149797563,1.73472347597681e-18,-0.154765250687679,0,0,0,0.118513698273365,0,0,0,0,0,0,0.000926502078637158,0.167791391308222,0.26280726450299,0,0.0701332024617208,0,0,0,0,0,0,0,0.399652708931373,0,0,0,0,0,0,0.0389771292653839,-0.0982920606193014,-0.0366435150187652,0,0,-0.0553917072209583,-0.0983295834627267
X601881.CH.EQUITY,0,0,0,0,0.0631244065048441,0,0,0.0151991715019582,0,0,0,0,0,-0.0354931953101131,0.123983768619589,0,0,0,0,0.155777668761488,0,0,0,0,0,0,0,0.390593204148546,-0.142511086359624,0,0,0.300862240158696,0.15782636035725,0,0,0,0,0,0,0,0,0,0,0,-0.0364862487937661,-0.0730562339788502,-0.0841175144784173,0,0,-0.120899831929326,0
X388.HK.EQUITY,0,0,0,0,0,0,-0.0847772257827551,0,0,0,0,0,0.00569074293931784,0,0,0,0,0.0877047812754718,0.071433193079245,0.177750469611848,0.123855220360619,0,0,0.0919525355775566,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.122496490462145,0,0,0,0,0,0.157854333046997,0,0.346352173471825,0,0,0.122430963027197,0,0,0.0327417785456496
X601318.CH.EQUITY,0.113799768044454,0,0,0,0,0,0.0249113580171134,0.0306932003045741,0,0,0,0,0.0271225712265837,0,0,0,0,0,0,0,0,0.00662148630169459,0,0.0319303205604461,0,0.156203468396612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438853156773172,0.05379779199211,0.0697789148735441,0.0156770796689853,0,0.0766943612766209,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381299918719191,0,0,0,0,0,0,0,0,-0.0574063938728421,0,0,-0.0410283285800369,0,0.114725952754587,0,0,0,0,0,0,0,0,0,0,0,0,0.0387839674889878,0,0.402083372022722,0.196040349597094,0,0,0,-0.0197326587535236,0,0,-0.0874892204212966,0
X601336.CH.EQUITY,0,0.108448385811363,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,-0.227894307322119,0,0,0,0,0,-0.0692337164720505,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.138478395914554,0,0,0.1661598765919,0.00753791063274629,0.174593522930652,0,0,0.467148812533669,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.0239538527875669,0,0.00724472744940549,0.0243461281943144,-0.0697836907543017,0,0,0,0,0,0,0,0,0,-0.12050708344827,0.0474270956023345,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136057293340266,0,0,0,0.581658909178607,0,0,0.0312797183060737,-0.0554432386759041,0,0,0
X601628.CH.EQUITY,0.0455715629449529,0,0,0,0,0,0,0,0,0,-0.00632584339765867,0.094198957277809,0,0,0,0.04092943765661,0,0,0,0,0,0,-0.0742541216526028,0.0958967613348078,0,0,0,0.0136550378922521,0.00840148713207991,0,0,0.202175365222517,0,0,0,0,0,0,0,0.120797322092605,0,0.0468681701405834,0.40191210172286,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0163636848417488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213877096839685,0,0,0,0,0,-0.0639660581145846,0,0,0.288725167018432,0,0,0,0,0,0,0,0.00265760860632766,0,0.09015917926725,0.0540303456196239,0,0,0,0.109309162132095,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0.199629385079512,-0.131165107311553,0,0,0,0.0486555146073791,-0.204242669709087,0,-0.0911232759265513,0.223123944405087,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054204907820045,0,0,0,0,0,0,0,0,0.522789422098679,0,0,0,0,0,0,-0.276187955720612,-0.0369327952575224
X2882.TT.EQUITY,0,0,0,0,0,0,0.0314795709581039,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0989905691814664,0,0,0,0,0,0.0173045910191881,0,0,0,0,0,0,0,0,0.0414313878205288,0,0.28899189625369,-0.0953925275684231,0,0.0455273408624407,0,0,0,-0.124520446876978,0.0724339371552563,0,0,0.0174925710977033,0,0
X267.HK.EQUITY,0,0,0,-0.207500510123275,0,0,0.139723920817078,0,0,0,0.0431355243619106,0,0.1398114687834,0,-0.095037716775416,0,0,0,0,0.477181798159886,0,0,0.0224182140062237,-0.0257028070814515,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.272541695541094,0,0,0,0,0,0,0,0,0,0,0,-0.00366316268308739,0,0,0,0.0292498710225434
MKRturn,0,-0.0774225249776801,0,0,0.619071904690641,0,0,0,0,0,0,0,0,0,0,0,0.062462992318169,0,0,0,0.0281902740324492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824535866394026,0,0,0,0,-0.150924683503374,0,0.224343626967849,0,0,-0.0786510394117307,-0.111675890227177
TED,0,-0.0241831573725784,0,0,0,0,0,0,0,0,0,0,0,0,0.0661133103016944,0,0,0,0,0,0.0100769759805936,0,0,-0.0643666406134683,0,0.023630971890347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.298524424500115,0,0,-0.0500931816493441,0,0.214578130434254,0,0,-0.115027915777429
RealEstateDiff,0,0,0,-0.250448859606144,0,-0.0583423598700039,0.256994372735941,-0.0696302204648605,0,0,0.347959361044595,0.0540606921398544,0,0,0,-0.130970499209027,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0944514056269397,0,0,0,0,0,0,0,0,0,0.124293963033581,0,0,-0.0820422611324133,0,0,0,0,0,0,-0.0200333886212318,0,0
