,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601818.CH.EQUITY,0,0,0.0520422959948039,0,0,0,0,0,0,0.0895839802230562,0.060963036914464,0,0,0,0,0.0270001322308838,0,0,0.24849737387358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107425991341105,0,0,0,0.00772334394071979,0,0,0,0,0,0.058835778120605,0,0,0,0,0.139366009902533,0,0,0
X601939.CH.EQUITY,3.46944695195361e-18,0,8.67361737988404e-19,0,0.0126525592383576,0,0,0,0,0.0441681608393889,0.729451081756416,0,0,0,0,0.0044678949295128,0,0,0.156320879218534,0,0.0490296245558745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047779108270765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441407626037437,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,1.01552474860901,0,0.0304767981841667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0683775671913238,0,0,0,0,0,-0.0228830948885729,0,0,0.0620786740752263,0,0,0,0.0746640679146279
X601998.CH.EQUITY,0,-0.0229421238762363,0.0238772653173785,2.16840434497101e-19,0,0,0.0130362692657708,0,0.534145061292219,0,0,0,0.25756378447703,0,0,0,0,0,0,0,0,0,0,0.00415451111781244,0,0,0.149258792145625,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00118227874685126,0,0.119712265031756,0,0,0,0,0,0,0,-0.072463974098448,0,0
X601658.CH.Equity,0.214027736485936,0,0,0,0,0,0,0,0,0.00505942915079406,0.25590251624068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659633577831461,0.133598012166924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033429235582454,0.0816353858147008,0,0,0,0,0,0,0,0.0553966209983754,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.659871166842329,0,0,0,0,0.0180131584801814,0,0,0,0,0,0,0,0,0,0.133684662005759,0,0.156187729742765,0,0,0,0,0,0,0,0,0,0,0.141158622482076,0,0,0,0,0,0,0,-0.0949332286456161,0,-0.098583053408597,0,0,0.0568800503663632,-0.0999450498167737
X11.HK.EQUITY,0,0.0582329901613336,-0.0303313711459675,0,0,0,0,0,0,0,0,0,-0.0506683479397811,-0.0748583469969618,0,0,0,0,0,0,0.343779675157351,0.329876290100398,0,0,0,0,0,0,0,0,0.13218167997661,0,0,0,0,0,0,0,0,0.0817912626223291,-0.133709233350641,0,0,0,0,0,0.0919561022205857,0,0,0,0.0385482109849824,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493225970023502,0,0,0,-0.113796649414088,-0.0596702475195375,0.224530742239407,0,0,0,-0.117236638576585,0,0,0,0,0,0,-0.145266533720415,0,0,0,0,0,0,0,0,0,0.423558636684107,0,0,0.183215079518734,-0.0801975153640307,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.0131697851859538,0,0,0,0,0,0,0,0,0,0,0,-0.123561675439583,0.483656335732044,0.276034298324372,0,0,0,0,0,0,0,0,0,-0.0297002489613352,0,0,0,0,0,0,0,-0.0714938797487249,-0.0416805527066223,0,0,0,0,0,-0.0149776222262704,0,0.0231398477537933,0.0406551489213672,0,0.114059465622411,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0807861367473308,-0.149655965027842,0,-0.153912903097994,0,0,0,1.02655459587684,0,-0.236416273684866,0,0,-0.194153768424905,0,0,0,0,0,-0.0207319805057568,0,-0.123429762417326,0,0.124805947013347,0,0,0.4124361663861,0,0.149192078577701,0.0438991163406036
