,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.14772239226904,0.247033611001978,0,0,0.240741083998633,0,0,0,0,0,0,0,0,0.162143923876999,0,0,0,0,0.0380174335281131,0,0,0,0,-0.0280482322130739,0,0,0,0,0,0,0,0,0,0,0.0778176831608264,0,0,0,0,0.106515512389472,0,0.0636671957792814,0,0,-0.0154240304256095,0,0,0,0,0,0.0759548766374425,0
X002142.CH.EQUITY,0,0,0,0,0,0.362469832854091,0,0.237331485733654,0,0,0,0,0,0,0,0,0,-0.050167082291212,0,0,0,0,0,-0.0543127814717558,0,0,0,-0.154375262896921,-0.116252765424133,0,0,0,0,0,0,-0.111460594337846,-0.0359513001945603,0,0,0,0.0550532325311129,0.356697856226039,0,0.297914945581372,0,0,0,0,-0.082490894221694,0,-0.0898784566193072,-0.0503582870971784,0
X600000.CH.EQUITY,0.162127166980328,0,0,0,0,0.0697251199323166,0,-6.93889390390723e-18,0,0.132671830785027,0,0,0.419214783514722,0,0,0,0,0,0,0,0,0,0.0399005878021823,0,0.0303195165536443,0,0,0.087248634939878,0,0,0,0,0,0,0,0.115825875110481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.138522517163843,0,0.0451147760875479,0,0.0428074553742694,0.109874181855197,0,0,0,0,0,0,0.113893839506982,0,0,0.0223887764685605,0,0,0,0.0438260332666956,0,0,0,0,0,0,0,0.18176899602388,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.239213308540807,0,0,0,0.0359136009032737,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0700670955770147,0,0,0,0,0,0.471245079698503,0,0,0,0,0,0,0.0922736325071445,0,0,0,0,0,0,0,0,0,0.144796450243914,0,0,0,0,0,0,0,0.130351557588725,0,0,0,0,0,0,0,0,0,0,0,0.0979165701973977,0,0,0
X600036.CH.EQUITY,0.56521424520847,0,0,0,0,0,0,0,0.0147196982950564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418066100714279,0,0,-0.0604499423577959,0,0,0,0,0,0,0,0.048105559162754,0,0.0986371303937071,0,0,0,0,0,0,0,0.179013020283357,0,0,0,0,-0.0286769720749036,-1.73472347597681e-18
X600919.CH.EQUITY,0,0,-3.46944695195361e-18,0,0.125548720773092,0,0,0,0,0,0,0,0.39738471093504,0,0,0.249931610131739,0,0,0,0,0,0,0,0,0,0,0,0,0.101396329971208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.195648375353559,0,0,0,0,0.103363023378241,0.00739575694994143,0.000231276708425997,0.17333800724957,0,0,0.175657610086446,0.160280548529265,0,0,0,0,0.0406611749345141,0.013378255074453,0,0,0,0,0,0,0,0,0.104170610336607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.329182891833773,0,0.350070812971769,0,0,0,0,0,0,0.142471593083779,0.067314200711004,0,0,0,0,0,0,0,0,0,0,0,0,0.0492328093149774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558811585665734,0,0,0
X601169.CH.EQUITY,0.0102304303770838,0,0.137139560170561,0.102561234375328,0,0,0,0,0,0,0,0,0.348968429535792,0.141769754853258,0,0,0,0,0,0.00702638602655011,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.146140622521689,0,0,0,0.0857866584870435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0.190502104834034,0,0,0,0,0,0,0,0.232551611186983,0,0,0,0,0,0,0.137605674611987,0,0,-0.181071967592078,0,0,0,0,0,0,0.502409006199885,0,0,0.0101378553617404,9.59071955299959e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121520079703076,0.0444772782169383
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.218183021448302,0,0,0.369976003906397,0,0.0426526036119935,0.24461998012705,0,0,0,0,0,0,0,0,0,0.0519092629620734,0.0197377236068886,0,0,0,0,0,0,0,0,0,0,0,0,0.0448211582637733,0,0,0,0,0,0,0,0,0,0,-0.0258199121323883,0
X601328.CH.EQUITY,0,0,0.632065007053561,0,0,0,0,0,0,0,0.112893546855307,0,0,0,0,0.0201728453082156,0,0.087234740617628,0,0,0,0,0,0,0,0,0,0.0727571002741297,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0737264902264173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
