,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0559310953433068,0.12207942628013,0.100174907880994,0,0,0.515859847169143,0,0,0,0,0.00347996448242641,0,0,0,0,0,0,0,0,0,0,0,0,0.0551093919632084,0,0,0.0228145062505503,-0.131760673787946,0,0,0,0,0,-0.0670995641725967,0,0,0,0,0,0,0,-8.67361737988404e-19,0.30659808763312,0,0,0,0,0,0,0,-0.0250703943505627,0
X002142.CH.EQUITY,0.207036987628303,0,0,0,0.212864509913836,0,0.28120320842534,0,0,0,0.160799918797711,0,0,0.0157157653540615,0,0,0,0,0,0.106906213654122,0,0,0,0,0.107382792919658,0,0,0,0.0175765107612627,-0.244896080047095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869350970681824,0,0.0974358264375264,0,0.283065774877827,0.0223027147827608,0,0,0
X002958.CH.EQUITY,0,0,0,0,0,0,0,0.0563845415994849,-0.00359895629042689,0.334995906416229,0,0,0,0.278647530001744,0,0,0,0.00717826176946485,0,0,0,0,0.0638685475638872,0,0,0,0,0.130230719313413,-0.071784501602805,0,0,0,0,0,0,0.251599189919089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366790132307771,0
X600000.CH.EQUITY,0.0405927608847858,0,0,0,0,0,0,0,0.249299534597783,0,0,0,0.0648862418891696,0,0,0,0,0,0,0,0,0,0,0,0,0.258395734852228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207336123911585,0,0,0,0
X600015.CH.EQUITY,0.270997123055844,0.00250070239016374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-8.67361737988404e-19,0,0,0,0,0,0,0.202433412188337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239414635413146,0.146280432547934,0,0,0,0,0,0,0.0222681800605251,0
X600016.CH.EQUITY,-0.0641003280187781,0,0,0,0.0760819213037159,0,0,0.290556187307104,0,0,0,0,0.105870125838129,0,0,0,0,0,0,0.00457545844587965,0,0,0,0,0,0,0,0,0,0,0.255375937844252,0,0.0389308029004019,0,0,-0.685495040938973,0,0.726867036167874,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.0639218901191917,0
X600036.CH.EQUITY,0.123736120474109,0.24079502351239,0,0,0.169924311253915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124797188597612,0.105317938848295,0.0071131302861669,0,0,0,0,0,0,0,0,0,0,0,0.187941203747891,0,0,0,0,0.00433718538241924,0,0,0,0,0,0,0,-0.0211064433559559,0
X600919.CH.EQUITY,0,0,0,0.0068712523145706,0,0.0139702396655437,0,0,0.262668912742281,0,0,0,0,0,0,0,0,0.348844601607954,0,0.149893833178497,0,0,0.167257757600224,0,0,0,0,0,0,0,0,0.00869750827352544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0900745080818674
X600926.CH.EQUITY,0.244119563654685,0,0,0,0,0,0,0.0650368577330103,0,0,0,0.451481824580956,0,0,0,0,0,0,0,0.239755690087636,0,0,0.00893804929032344,0.0878656412126195,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132768462591749,-0.131349043584444,0,-0.01176011006657,0.161894267037772
X600928.CH.EQUITY,0,0,0.168743315996908,0,0.0460669379407386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295763205197876,0,0,0.0935043928650637,0,0,0,0,0,0.140569714977207,0,0,0,0,0,0.0189759215848957,0,0.0910461918830542,0,0,-0.0426606525241295,0,0,0,0,0,0,0.110436256329793,0,0,0
