,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.474229896955435,0,0,0,0.313407102959377,0,0,0.0246618020452289,0.0658519647362377,0,0.0995266193157048,0.101475034103549,0,0,0,0,0,0,0,-0.0315903754186086,0,0,0,0,0,0,0,0,0,0,0,-0.0146510761157944,0,0,0,0.134472941504145,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.061205749202351,0,-0.210681222348045
X002142.CH.EQUITY,0,0,0,0,0,0.703268047434288,0,0,0,0,0,0,0,0,0,0,0,0.149032630175014,0,-4.33680868994202e-19,0,0,0,0,0.130877198933464,0,0,0.0986273034092619,0,0,0,0,0,0,0,0,0.0114846534632228,0,0,0,0,0,0,0,0,0,-0.21328804911046,0,0,-0.260121942501632,0.0781520030358422,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.397874542086248,0,-0.0412011780354201,0,0,0,0,0,0.530585363188927,0,0,0,0,0,0.24970025367728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189113334423718,0,0,-0.0898423387305766,0,0,0,0.0498549600487256,0,-0.0088677741675344,0.0433311458065957,0,0
X600015.CH.EQUITY,0,0,0.0452076926869117,0,0,0.242197489207359,0,0,0,0.0863225686958461,0,0,0,0,0.00213718880789485,0,0,0.0941284213416789,0.0857693249017593,0.225724328275709,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0489530935618943,0,0,0,0,0,0,0,0,0.0114179000507813,0,0,0.0114400463478376,0.0382412921912178,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0741727262956793,0,0,0.0580643255821473,0.0527278395820904,0,0,0,0,0,0.316174859192196,0.15048765061166,0,0,0,0,0,0,0,0,0,0,0,0,-0.069973274646156,0,0,0,0,0,0,0,0,0,0,0,0.216916230637145,0,0,0,0,0,0.0316659220976852,0,0,0
X600036.CH.EQUITY,0.214396371544008,0.151010031752178,0.0933514941045252,0,0,0,0.123279141393942,0,0.0436422220525251,0,0,0.0157418926789718,0,0,0,0,0,0.0610525161370728,0,0,0.0566459789616284,0.0341653966496877,0,0,-0.0331376779721748,0,0,0,0,0,0,0,0,0,0,-0.0525568573271711,0,0,0,0,0,0.260001091225972,0,0,0,0.0516784872031568,0,0,0.014813763093129,0.0647643343253455,0,0,0
X600919.CH.EQUITY,-0.0586140691711325,0,0,0,0,0.270193386789668,0,0.0388177873966572,0.0170856259955934,0,0,0.438449828965981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299825596509155,0,0,0,0,0,-0.0246961196656488,0,0,0,0,0,0,0,0.32070619953802,0,0,-0.0268398094945537,0,-0.0452923358808497,0,0.142133454237082,-0.0986851600930254
X600926.CH.EQUITY,0,0,0,0,0,0,0.136243033540863,0,0,0,0,0,0.321551620703527,0,0,0,0,0.0567593817658524,0,0,0,0,0,0,0,0,0,0,0,0,0.0903919078147224,0,0,0.184393377707749,0,0.0219266162042286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.446762855315062,0.0561621011579297,0,0,-0.0763462843174835,0,0,0,-2.16840434497101e-19,0,0,0,0.0525905068844183,0,0.314032731388967,0,0.0107726040203775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222808221225725,0,0.00703411041414615,0,0.154762868006005,0,0,0,0,0.191308508213115,0,0,0
X601166.CH.EQUITY,0.0646234705485113,0,0.0688782173568272,0,0.0246823752005867,0,0,0.123512819311657,0,0,0,0.0159617482945833,3.46944695195361e-18,0,-1.38777878078145e-17,0.251467100680905,0,0,0,0.0437796108152502,0,0,0,0,0,0,0.193680740008095,0,0,0,0,0,0.0169096283626407,0,0,0,0,0,0,0,0,0,0,0,0.0314784326447601,0,0,0,0.0394935959260621,0,0,0,0
