,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.236598114290805,0,0,0,0,0,0,0.141651156075466,0,0,0,0,0,0,0,0,0.10444662604519,0,0.112667390024865,0,0,0,-0.109373888032947,0,0,0,0,0,0,0,0,0,0,0.0923770670062835,0.363753025295624,0,-0.279535159058479,0.0336340211597358,0,0,0,0,0.0261812871849556,0,0,0,0,0.0469986193510658,0,0,-0.254204333963948
X002142.CH.EQUITY,0.185292204561263,0,0,0,0,0.121357376382691,0,0.0173773032110364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10519384646267,0,0,0,-4.33680868994202e-19,0.172603872071327,0,0,0,0,0,0,0,0,0,0,0.133037016286199,0,0,0,0,0,0,-0.0100476973628545,-0.165839694055815,-0.177477109847148
X600000.CH.EQUITY,0.0733784698594956,0,0,0,0,0.161474258890949,0,0,0,0,0,0,0.358868716302109,0,0.167086489332777,0,0.108980275355336,0,0,0.0179659211144665,0,0,0,0,0,0.19426986083138,0,0,0,0,0,0,0,0,0.0485410232299423,0,0,0,0,-0.0135175474549745,0,0,0,-0.0151352872663105,0,-0.0533358381542854,0,0,0,0,0,0.0513886723936853
X600015.CH.EQUITY,0,0,0,0,6.93889390390723e-18,0,0.123425730298714,0,0,0.126519917528899,-1.73472347597681e-18,0,0,0,0.306621930724705,0,0,0.0169748120136488,0.0165731832358727,0,0,0,0.00332062390846756,0,0,0,0,0,0.0137321562266969,0,0,0.13490837010813,0,0,0,0.0559583179060295,0,0,0,0,0,0,0.119274804972467,0,0,0,0.0346078708027254,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0273568017775622,0,0,0,0,0,0.0508235433362645,0,0.200413804405683,0,0.234454193606964,0,0,0,0,0,0,0,0,0,0,0,0,0.0232632474332256,0,0.154008088919051,0,0,0,0,0,0,0.328469016765236,0,0,0,0.0853876830783268,-0.0110679969662054,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.050658818309678,0.203131781316105,0.0624524151338129,0,0,0,0,0,0.281789647685761,0,0,0,0,0,0,0,0,0,0,0.107155939674033,0,0.0964911851672368,0,-0.111884640006698,0,0,0,0,0,0,0,0,0,0,0.0104224452766511,0,0.215280978157887,0,0,0,0,0,0.00896341704968724,0,0,6.93889390390723e-18,0,3.46944695195361e-18,0,0.0946645082956118,0,0
X600919.CH.EQUITY,0,0.126779005150639,0,0,0,0,0,0,0.13637639823525,0,0.0725842252399288,0,0,0,0,0.106262420571696,0,0.00149203196686014,0,0,0,0,0,0,0,0.0446553056053612,0,0,0,0.242155018830576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.143696375109956,0,0,0.473644582983027,0,0,0,0,0,0,0.0502014241299112,0.135591887403342,0,0.018382202366859,0,0,0,0,0,0,0.0883322131101695,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325186169530752,0,0,0,0,-0.13544434495785
X601166.CH.EQUITY,0,0,0,0,0,0.320210378963011,0,0.166604477590383,0,0.12301718736599,0,0,0,0,0.0475264725818904,0.0438499538333144,8.67361737988404e-19,0.0855677841955716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111325831615665,0,0,0,0,0.204199136695115,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0103571950559746,0.315202581721612,0.437202223913342,0,0,0,0,0,0,0,0,0.26497911163614,0,0,0,-3.3881317890172e-21,0,0,0,0,0,0,0,0.01117901608588,0,-0.103084804146701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452686660457571,0,0,0,0,0,0,0,0,0,0,0
