,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X600030.CH.EQUITY,0,0,0,0,0.135720101817577,0,0,0,0,0.0263022669116688,0,0,0,0,0.0214933489342003,0.180247604468947,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.547471199349502,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0232492993188056,0,0,0.0423387600788046,1.38777878078145e-17,0,0,0,0.0384835942004647
X601166.CH.EQUITY,0,0.0259141639349985,3.46944695195361e-18,0,0,0.529436949402619,0,0,0,0,0.0586872301337597,0,0,0.107737879789377,0,0,0.0331688193686901,0,0,0,0,0,0.0483395549450522,0.0702853281955135,0.0718584495173944,0,-1.73472347597681e-18,0,0,0,0,0,0.0392087709998415,0,0,0.00974496769935286,0,0,0,0,0,0,0,-0.0303596948599488,0,0,0,0,0.0394556994203988,0,0,0
X600000.CH.EQUITY,0,0,0,0.0299162216319971,0,0,0.0972964033210032,0.0176062035164263,0,0,0,0,0.423943020548884,0,0.172021535076423,0,0,0,0,0,0,0,0,0,0.0559145813286762,0,0,0,0.00472425387112505,0.0510232697238934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.108747942863981,0,0,0,0,0,0,0,0,0,0.0859230042142872,0,0,0,0,0,0,0,0,0.330130725387431,0,0,0,0,0,0,0,0.0129438075392951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145285974748865,0,0,0,0.0489953530262975,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.105752722986209,0,0,0,0,0,0,0.66157720390926,0,0,0,0,0,0,0,-0.0140793985679318,0,0,0,0,0,0,0,0.140023818028996,0,0,0,0,-0.0323068143231755,0,0.168689492444084,0,0,0.0241481971896077,0,0,0,0,0.026839512639981,0.030818227297616,0,0,-1.73472347597681e-18,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0970475434826961,0,0.0168613189196704,0,0,0,0,0,0,0,0.000490049906898906,0,0,0,0,0.20425273998533,0,0,0,0.0334818945043054,0,0,0,0,0,0,0,0.0355715524115823,0.036601734549302,0.114906670760959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058707473503177,0,0.0460676554896635,0,0,0
X601319.CH.EQUITY,0,0,0,0.232547364754012,0,0,0,0,-0.0148654714771582,-0.0575234599781066,0,0,0,0,0,0,0,0,0,0.323165186183754,0,0,-0.061227969518831,0.0123898936497482,0,0,0,0,0,0,0,0,0,0.0465947882847115,0,0,0,0,0,0,0.0464269458498357,0,0,0,0,0,0,0.351257131767444,0,-0.06154165250036,-0.0195965138139172,-0.0781941784238628
X000001.CH.EQUITY,0,0.109802066314448,0,0,0,0.0992184897963222,0.126802088473162,0,0.0473189240152264,0,0,0,0,0,0,0,0,0,0,0.076718636030178,0.12344665239826,0,0,0.0446050971898369,0,-3.46944695195361e-18,0,0,0,0,0,0,0.175137498705891,0,0,0.130365012898345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.747547457125235,0,0.0118678841909341,0,0,0.0418400150787324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103770476019317,0.0141512396425857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547269881640124,0,0,0,0,0,0,0.0853919855606281,-0.0714812582722817,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.173967942776026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970179348810379,0,0.108498059458209,0.188565217384374,0,0,0.0815539587691531,0,-0.128156923681025,0,0.129562477358551,0,0,0,0.315796159319208,0,0,0,0.166454217252303,0,0,0,0,0.0849948646472347,0
