,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.282530633897274,0.043279197610555,0.0108644153138218,0,0,0.431383206531395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102306090418171,0,0,0,0.0488209398675012,0,0,0,0.0184707579292029,0,0,0,0,0,0,0.0747075067946916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.201244857420634,0,0,0,0,0,0.203805860606394,0,0,0,0.0480872452915612,0,0.0930102311391289,0,0,0.0656796836025277,0,0.0319824922164441,0,0,0,0,0,0,0,0,0.149790296524376,0,0,0.00819742882058655,0,0,0,0.132689519189638,0,0.0366629306197996,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724635550610946,0
X601939.CH.EQUITY,0.491975906426838,0.14782809169618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087194976977676,0,0,0,0,-0.120802144848281,0.0415610383327456,0,0,0,0,0,0.222727992315961,0,-0.0317556044830647,0,0.196789702276444,0,0,0,0,0,-0.0949700034243376,0,0,0,0,0,0,0,0,0,0,0.115808364567355,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00912212944746605,0.563909760842407,0,-0.0896016852031752,0,0.0450933150432181,0,0,0,0,0,0,0,0,0,0.0846014104471855,0.0808708882000278,0.0758253864134529,0,0,0,0,0.107807882452294,0,0,0,0.0565800781289437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619962066661445,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.168655922310991,0,0.147096528658215,0,0,0,-0.0735140971843284,0.161419112032404,0,0,0.0544253220956499,0,0,0,0,0,0,0.0573320021711711,0,0,0,0.0272008476599225,0,0.0999102521523543,0,0,0,0,0,0,0,0,0,0,0,0.0749668313709327,0,0,0,0,0,0,0,0,0.360510035398191,0.0118560521100619,0.0329486457720494
X1299.HK.EQUITY,0,0,-0.235049520447825,0,0,0,0,0,0,0.129627638769662,0,0,0,0,0,0,0,0,0,0,0,0,0.0206682800937495,0.103390636440602,0,0,0,0,0,0,0,0,0.203597823721086,0,0,0,0,0.0111332843916247,0.174876668142095,0,0.0344775445440235,0.102263112464334,0.31463169203809,0,0,0,0.279439384475213,0,0,0,0,0
X601628.CH.EQUITY,0.0490516225264163,0,0,0,0,0.00137157694903858,0,0,0,0,0,0,-0.0288456849779931,0,0,-0.114920653068484,0,0,0,0,0,0.0804650704535051,0,0,0,0,-0.115108112182601,0,0,0,0,1.73472347597681e-18,0,-1.73472347597681e-18,0.534114692948619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456236577664755
X601988.CH.EQUITY,0.0969161352306026,0,0.0901488382585666,0.337465841654795,0,0,0,0,0,0,0,0,0.24327733112644,0,0,0,0.0966410875902859,0,0,0,0,0,0.0388103616497852,0.0207880133757007,0,0,0,0,0,0.128438854579186,0,0,0,0,0,0,0,0,0,0,0,0,0.0107094028278719,-1.73472347597681e-18,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.293889875123127,0,0,0,0,0,0,0,0,0,0,0,-0.171520187554985,0,0,0,0,0,0,0,0,0,0.288355796246292,0,0.139712893715542,0,0.0468862388946797,0,0,0,0,0.0246853862841622,0,0,0,0,0,0,0,0.237329658778422,0,0.149881897849983,0,0,0,0,0.0910965389212881,0,0,0,-0.0226448475058364
X388.HK.EQUITY,0,0,0,0,-0.274359884240559,0.277385987629094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933971127539172,0.405956550772259,0,0,0,0,0,0.0221152119937778,0,0,-0.0114936208008903,0,-0.186242982024324,0,0,0,0,0,0.128404344415922,0.107294293734832,0,0,0,0,0,0,0.0813293775776077,0,0,0,-0.00989942723661973,0
