,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.134387063953773,0.0260539494933125,0,0,0,0,0,0,0.0713288394770218,0,0,0,0,0,0,0,0,-0.0641426270260358,-0.185981947702255,0,0.0215796894174472,0,-0.1973321475505,0,0,0,0,0,0.627968178603194,0,0.178549208309389,0,0,0,0,-0.00977859804304605,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.119002488286391,0,0.168297561401482,0.0154177070482341,0,0,0,0,0.0505904980356215,0,0,0,0,0,0.00779105211439745,0.0872525012293766,0,0,0,0,0,0.0682859398661637,0,0.0424003319776079,0,0,0,0,0,0.293909086892603,0,0,0,0,0,0,0.0405525638175995,0,0,0.0158442928535789,0,0,0,0,0
X601939.CH.EQUITY,0.198409754027841,0,0,0,0,0,0,0,0,0.119310638733529,0,0,0,0,0,0,0,0.0941079031713298,0,0,0,0,0,0,0,0,0,0,0,0.0860259324697951,0,0,0,-0.130312910947259,0,0,0,0,0.468055922301302,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.411540555522097,0.248549440626491,0,0.656088822478872,0,0,0,0,0.390467928481472,-0.136259350562248,0,0,0,0,0,0,0,-0.307326066449097,0,0,0,0,0,0,-0.702966976076113,0,0,0,0,0,0,-0.245448629663057,0,0,0.28384249731725,0,0,0,0,0,0.231702339272023,0,-0.231901910475504,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449331768063801,0,0,0,0.502021950908157,0,0,0,0,0.0596261516721152,0.000848157958999049,0,0,-0.066667494894935,0,0,-0.221107206446524,0,0,0,0,0,0,0,0,0,-0.165688854191612,0,0.10823082493895,0,0,0,0,0,-0.110616422738298,0,0
X601988.CH.EQUITY,-0.0742704479803645,0,0,0,0.382990735602275,0,0,0,0,0,0,0,0,0,0,0.0824227375901478,0,0,0,0,0,0.477696153562501,0,0,-0.0928380765834602,0,0.0579328132301744,0,0,-0.327640746166907,0,0,0,0,0,0,0,0,0,0,0.0204356652248652,0,0,0.0310853902911493,0,0,0,0,0,-0.0497933118887275,0
X600036.CH.EQUITY,-0.0324952193110419,0.656768777520405,-0.03844551035392,0,0,0,0,0,-0.102977095594158,0.3800561701818,0,0.223003419674704,0,0,0,0,0.0666087671223222,0.0255263126591717,0,0,-0.198000941842802,-0.190581075004863,0,0,0.157164460142318,0,0,0,0.0991864978402885,0,0.17418707759307,0,0,-0.239443849211206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0601276540239237,0,0,0.175228650079607,0.00441415744171069,0,0,0,0,0,-0.0236382796011339,0,3.46944695195361e-18,0.00622716185469274,0.094439398054568,0,0,0,0,0,0,0,0,0,0.22025468158043,0,0,0,0.00849938875976222,0,0,0.156105185567711,0,0,0,0,0,0,-0.00429932793351113,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0413040476702315,0,0,0,0,0,0,0,0.0798228885238899,0,0,0.382305035137271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221343132173296,0,0,0,0,0.219418774292218,0,0.0997127203972277,0.0379727095311791,-0.0238841926674843,0,0,0,0,0,0,0,0,0,0,-0.15622378226342
X601328.CH.EQUITY,0,0,0.0227636729326733,0,0,0,0.079989027797217,0,0,0,0,0.333560401902664,0,0,0,0,0,0,0,0,0,0,0,0,0.253721139369964,0.100013551092331,-2.16840434497101e-19,0,0.0531027277651569,0,0,0,0,0,0,0,-0.222290723477985,0,0,0,0,0,-0.0810109448254867,0,0.150361715583365,0,0,0,0,0,-0.37163053419268
