,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.119243025121689,0,0.0724511726609452,0,0.0240276289067542,0,-0.0167634140272413,0,0,0,0.394722772377289,0,0,0,-0.0925527491988492,0,0,0,0,0,0,0,0,0,0,0,0,0.212719498432035,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.229488030640889,0,-2.16840434497101e-19,0,0,0.0179884758862042,0,-2.16840434497101e-19,0,0.0544513539409405,0,0,0,0.128947211162967
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0,0
X601939.CH.EQUITY,0.185706112463255,-0.00276139139891343,0,0.282078258525664,0,0.124639138375229,0,-0.0626469725196325,0,0,0,0,0,0,0.0962103727799362,0,0,-0.0215526304518752,0,0,0,0.0940276705988748,0,0,0,-0.102283503936746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471312827675914,0,-0.0182214947165243,3.46944695195361e-18,0,0,0,0,0,0,0.0202356297233796,0,0
X601288.CH.EQUITY,0.305959575407725,0,0.198818980976884,0,0,0.20677719499599,0,0,0.115669753474959,0,0,0,0,0.0394349383730465,-0.0216803765605864,-0.147004448066971,0.0750403232241191,0,0,0,0,0,0,0,0,0,0.0233358675251735,0,0,0,0.00330414337024353,0,0,0,0,0,0,0,0,0.131451088422854,0,0,0,0,0,0,0,0,0.181263382790453,0,0,-0.0660556190050501
X5.HK.EQUITY,0,-0.124778674710579,0.0277217964376205,0.285651759535605,0,0,0,-0.248043459551729,0,0,0,0,0.146137701684961,0,0,0,0,0,0,0,0.53982443854882,0,0,0,0,0.30219470914375,-0.0109763608313636,0,0,0,0,0,0,0.0223820625590429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200676501114472,-0.071798263276096,0,0,0
X601988.CH.EQUITY,0.207486664662369,0,0.236953432188025,0.030130766642223,0,0,0,0,0.0775329387544335,0,0.0783633752780521,0,0,-0.275504775904177,0,0,0,0,0,0,0,0,0.0545422537937936,0,0.211219571748408,0,0.143417244788854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132294590078316,0,0,0,0,0,0,0,0,0.0752715525579395
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.097030768841925,0,0,0,0,0.051843799551904,0,0.301766576597461,0.244938200143687,0,0,0,0,0.0977595506372034,0,4.33680868994202e-19,0,0,0,0,0.00901877852244854,0,0,0,0.0603890772682392,0,0,0,0,0,0,0,0,0,0,0,0.0228235654074036,0,0,0.0912083015443065,0,0,0,-0.0012704417840879,-0.0343945646991436
X1299.HK.EQUITY,0,0,0,0,0,-0.0341747805161555,0.0696057469233026,0,0,0,0.140515533040148,0,0,0,-0.146559934293854,0,6.93889390390723e-18,0,0.376511139267166,0,0.254056563349556,0,0.0430198493760921,0,0,0,0.104999252925197,0,0,0,-0.00407044902776753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.275265982111218,0.269645308468016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055414711532683,-0.0268791588609574,0.042681795188115,0,0,0,0,0.0240939105329733,0,0.0218589486856535,0,0.0414241736855903,0,0,0,0,0,0,0,-0.240327503225101,0,0,0,0,0.17214458468754,0,0,0,0.142258563195209,0,-0.105685201920792,0,0.149898990072011
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504643994756334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
