,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.4209878643823,0,0,0.366106696757894,0,0,0,0.220091609394987,0,0,0,0,-0.0605299611758887,0,-0.078415016765528,0.0576036156670416,0,-0.00489107921621154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221164038836851,0,0,0,0,0,0,0,0,0,-0.0924598587418633,0,-0.0244646051671313,-0.258875984439002,0,-0.0415110525514332
X601318.CH.EQUITY,0,0,0,0,0,0,0.135464837153106,0.0870001564501401,0.068122187299834,0,0.0955231625400142,0,0,0.119709396596294,0,0,0.232189210052369,0,0,-0.202141133541442,0,0,0.0651108475907191,0,0,0,0,0,0,0,0,0,0,0.00618571880713898,0,2.16840434497101e-19,0,0,0,0.344809122124805,-0.0449130792346859,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.14008234091111,0,0,0,0,0,0,0,0,0.0767657831622012,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.132700219673775,0,0,0,0,0.417366250052012,0,0,0,0,0,0,0,0.0609172136630321,0.0873680910484955,0,0,0,0.0153052811335392,0,0,0,0,0.00931735956605337,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0585798599432631,0.0453577826581551,-1.73472347597681e-18,0,0,0.0908149777130928,0,0,0,0.0961818679726578,0,0,0,0,0,0,0,0,0,0,0.093364788057123,0,0,0,0,0.0614891759109938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174445780410106,0,0,0,0.288488700630479,0,0,0,0.00793944412932892,0,0,0
X5.HK.EQUITY,0,-0.0947224315309079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164699212548695,0,0.0257729846205166,0.161380287491837,0,0,0,0.586704437527386,0,0,0,0,-0.100522430608189,-0.190786290957503,0,0,0,-0.00514036174407996,0,0,0,0,0,0,0,0,0.0526978185762318,0,0,0,0,0,-0.204275022636106,0,-0.141077290958303,0
X601988.CH.EQUITY,0.223330075693459,0,0,0.371543420545987,0,0,0,0,0,0.0835284907479893,0.138219820514044,-0.0495302805635302,0,0,0,0,-0.0264094395662507,0,0,0,0,0,0,0,0,0,0.165824837906764,0,0,0,0,0,0,0.0291211285589902,0,0,0,0.0072606580923326,0,0.048336453368375,0,0,0,-6.93889390390723e-18,0,0.0198798009229475,0,0,0,-0.059370583694886,0.115189744896705
X600036.CH.EQUITY,-0.00301973020817897,0.364201328642515,0,0,0,0,0,0,0,0,0,0.171882288566544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844567392445741,0.0801226395281591,0,0.0203054868458901,-0.133180452218223,0,0,0,0,0.209133077557589,0,0,0,0,0,0,0,0,0,-0.184241028116456,0
X1299.HK.EQUITY,0,0.0232695046872484,0,0,0,0,0,0,0,0,0,0,0,-0.083546083786839,-3.46944695195361e-18,0,0,0.296923235189341,0,0.145242654703185,0.302998752050291,0,0,0.21569659042827,0,0,0,0.0387724665215751,0,0,0,0,0,0,0,0,0,0,-0.126636028101414,0,0,0,0,0,0,0,0,0,0,0,-0.188122208356244
X601628.CH.EQUITY,0,0.19404044754429,0,0,0,0,0,0,0,0,0.0305650822654007,0,0,0,0,0,0.207021985893588,0,0,0,0.0449348549914854,0,0,0.141327577237761,0,0,0,0,-0.0356839631398376,0,0,0,0,0,0,0,0,0.165257640560858,0,0.145755951229412,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0411293007175025,0,0.0760710521260153,0.102472505942285,0,0.226453949315605,0,0,0,0,0,0,0,0,0,0,0,0,0.0758195588498553,0,0,0.19041313194651,0,0,0.0583885409838648,0,0,0.0246018795730925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103217573895133,0,0.022546231639038,0.0957712365550898,0,0.104664158725407,0,0,-0.0175804470457004,0
