,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.285901645570296,0.13764592914443,0,0.309228420352624,0,-0.138893286006419,0,0,0,0,0,0,0,0,0,0.0246632453531033,0,0,0,0,0,0,0,0,0,0.144394811509964,-0.11306713555054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603209219547399,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149355063184584,0,0,0.277571087730124,0,0,0,0,0,0.0364686709985319,0,0,0,0,0,0,0,0,0,0,0.084570996120861,0,0,0,0,0,0,-0.158778116666851,0.321621837545361,0,0,0.11626328058442,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476956854670272,0,0,0,0.104190062385919,0.0376093036719126,0,0.0742967268179456,0,0,0,0,0,0.168406882517185,0,0,0,0,0,0.0149334794623401,0.131564946743417,0.0209471444694772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316363148618934,0,0,0,-3.46944695195361e-18,0,0,-0.163226666344424,0,0,-0.0266154903782347,0,0
X601288.CH.EQUITY,0.371547033736882,0,0.125631770953177,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499105641883181,0,0,0,0,0,0,0,0,0,0,0,0,0.0185150513210941,0,-0.0537381261199019,0,0.056525976493474,0.0473439580175525,0.0553754289812189,0,0,0.309367525201521,0,0,0,0,0,0.165769201698137,0,-0.0443095285815214
X5.HK.EQUITY,0,-0.223302656515243,0,0,0,0,0,0,-0.375662481722117,0,0.207593794398309,0,0,0,0,0,0,0.0261356996491581,0,0.0237847549464424,0,0.658772517148145,0,0,0,0,-0.0178380712425236,0,0,0,0,0,0,0,0,0,0,0,0.0508163441630617,0,0.0804216393912578,0,0,0,0,0,0,0,3.46944695195361e-18,-0.359116754008559,0
X601988.CH.EQUITY,4.33680868994202e-19,0,0.127575766909342,0.254251837920994,0,0,0,0,0,0.179994219423314,0.284938412884428,0,0,0,0,-0.125339086845241,0,0,0,0,0,0,0.248647084585894,0,0,0.026681390398987,0,-0.185069754734818,0,0,0,0,-0.00812732400030181,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0061545332221587,0,0,0.00331978025604594,0,0,0.150509714134327
X600036.CH.EQUITY,-0.109468142526516,0.273796886201922,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.200477502150106,0.0175182626873411,0,0,0,0.0941488468036242,0,0,0.190311339230191,0,0,0,-0.0401007940149269,0,0,0,-0.0661454672119063,0,0.349331298645331,0,0,0,0,0,0,0,0.042607189009432,0.00827760711053139,0,0,0,0,0,0.0988225147812557,0.0599839555505598,0,0,0
X601628.CH.EQUITY,0,0.0653153280348633,0,0.589457468638797,0,0,0,0,0,0,0,0,0.0816630630768587,0,0,0,0,-0.037062207158602,0,0,0,0,0,0.0405980412413369,0,0.0477409328863793,0,0,0,0,0,-0.0744720789901447,0,0.146763636818596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839201826136883
X1299.HK.EQUITY,0,0,0,0,0,0,0.0391625630839911,0,0,0,0,0,0,-0.0557963768513671,0,0,0,0.0447022638762066,0.169712277798891,0,0.0580294794063678,0,0,0.238022847635616,0,0,0,0,0.358280624948537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534259821783156,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.214573244750635,0.0523029180660257,0,0,0,0,0,0,0,0.266621008587476,0,0,0,0,0,0,0,0,0,0,0.185302558251845,0,0,0,0,0,0.379460527523151,0,0.119685826335848,0,0,0,0,0,0,0,0,-0.0916102952958176,0,0,0,0,-0.0455455467583396,-0.00500896375720143,0,-0.158580904755315
