,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.235776634474853,0,0,0.0872923185023017,0,0.241269366950759,0,0,0,0,1.38777878078145e-17,0.128007849779558,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0383361839062176,0,0,0,0,0.0942258616346415,0,0,0,0,0,0.0226141585053471,0,0,0,0,0,0,0.107213565671966,0,0,0,0,0,0
X601318.CH.EQUITY,0.143101584604425,0,0,0,0,0,0,0,0.176315010203305,0,0,0,0,0,0,0,0.347440720587851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124943349553711,0,0,0,0.0338356137680797,-8.67361737988404e-19,0,0,0,0,0,0.107726882193636,0,0,0,0,0,0.0698498658123623,0,0,0
X601939.CH.EQUITY,0.06078158057464,0,0,0.26866933104662,0,0.0503212219041089,0,0,0,0,0,0,0,0.422961679548576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437500454734864,0,0.0660229644190525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299794891072377,0,0.102311103921871,0,0,0.352279462389023,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0250579610388977,0,0,0,0,0,0,0.00568247576538602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462274895605771,0,0,0,0.0596857996388484,0,0,0,0.106435334828415,0.00772433924845746,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0453304223849523,0,0,0,0,0,0,0,0,0,0.0775723669074283,0.0443645939586386,0,0,0.686281028866026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.223677272770241,0,0.0103448489517312,0,0,0,0,0,0,0,0,0.19574940752241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168223231621274,0,0,0,0,0,0.05490996836897,0,0,0,0,0,0,0,0,0.286655182047774,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605912,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481285,0.0153258113010975,0,0.106723170762226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378698609449863,0,0,0.170819460870425,0.013331517430995,0.0714926139448341,0,0,0,0,0,0,0,0,0.272652180930679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.640186521532961,0,0,0,0,0,0.215128343168563,0,0,-0.59648628807303,0,0,0,0,0,0,0,0.471920186603109,0,0,0,-0.00234865254312918,0,0,0.224481776565324,0,0,0,0,0.0391944625492314,0,0,0,0,0.423722029854221,-0.294651532369277,0,0,0,0.750198610931053,0,0,0,-0.0513845867851518,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71285875907415,0,0,0,0,0,0,0,0,0,0.140636041690923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967873586189165,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0624399084813324,0,0.185180502246978,0,0,0,0,0,0,0,0,0,0.290641325495157,0,0,0,0,0,0,0,0.00202885934630357,0.0298256653628541,0,0,0,0.26438095108519,0,0,0,0.00846362971588206,0,0,0,0,0,0,0,0,0,0.0279485976590695,0,0.123410165925534,0,0,0,0,0,0
X000002.CH.EQUITY,0.149601829870642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225283848459656,0,0.0486267827604093,0,0,0,0,0,0,0,0,0,0,0.0258001651674622,0.50158105363157,0.0133982420704987,0,0,0,0,0,0.221785528325628,0,0,0,0,0,0,0,0,-0.152493807486375,0,0,0,0,0
X600000.CH.EQUITY,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0395649026279785,0,0.376141645963601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569122590805702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344826960649188,0,0,0,0.108407752776496,0.0650281743283561,0.0551470061669636,0,0
