,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0.20608206924829,0,0,0,0.0365349957308507,0.654649346064516,3.16617913993875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913342577874745,0.0764801636071465,0,0,0,0,0,0,0.114498131834754,0,0,0,0,-0.142193864536576,0,0,-0.214127133348882,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152471514351334,0,0.0833843449036425,0,0,0,0,0.199101487321915,0.0256529785280289,0,3.46944695195361e-18,0,0,0,0,0.0676759111112157,0,0,0,0,0,0,0.0521181575369457,0,0,0,0,0,0,0,0,0,0,0.440788620251428,-0.0783710554293438,0.00766521295344894,0,0,0,0.0514939212913165,0,0,0,0,0
X601939.CH.EQUITY,0.201613135729856,0,0,0,0,0,0,0,0,0.00664759880528436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430200471053013,0,0,0,0,0,0,0,0.11485006831387,0,-0.0495262648265413,0,0,0,0,0
X601288.CH.EQUITY,0,0.0305170801523711,0,0,0.0847450541940021,0,0,0,0.0383870778170913,0,0.0769597070463495,0,0.0383446833118374,0,0,0,0,0,0,0.00582815741194114,0,-0.0733650443536875,0.376751112227237,0,0,0,0.0865320363550096,0,0,0,0,0,-0.0439173593397733,0,0,0,0,0,0,0.186205598949703,0,0,0,0,0,0,0,0.0984552065945312,0,0,0
X5.HK.EQUITY,-0.02782677770418,-0.151294017040678,0,0,0,0,0,0,0,0,0,0,0,0,0.0390125489246104,0,0,0.0757833567516642,0,0,0.317659922732754,-0.0764402926844564,0,0.540559606800088,0,-0.0752458060983086,0,0,-0.0406672566292317,0,0,0,-0.0442323506422241,0,0,0,0,0,0,0,0,0.157647486540875,0,0,0,0,0,-0.178312661722144,0,-0.201677815221786,0
X601988.CH.EQUITY,0.253800357370465,0,0,0.507073461839763,0,0,0,0,0,0.089275297354707,0,0,0.10190479980784,0,-0.0210130320414554,0,0,0,0,0,0,0,0.0401430537059398,0,0,0,-0.101468452731641,0.0587331695722929,0.01843791142901,0,0,0,0,0,0,0.0765108765873883,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.0135668671787361,0.0601710212113648
X600036.CH.EQUITY,0,0.654133022653054,0.0435187150241976,0,0,0,0,0,-0.0510532067090503,0,0,0,-0.112914291184042,0,0,0,0,0,0.180603991123101,0,0,0,0,0,0,0,0,0,0.0592706139953394,0,0,0,0,0,0,0,0,0,0,0,0,0.2661703623416,0,0,0,0,0.014412573187836,0,-0.115848285922437,0,0.140628647500115
X1299.HK.EQUITY,0,0,0.00504063436878658,0,0,0,0,0,0,-0.0457803654206551,0,0,0,-0.136766200634732,0,0,0,0.0300152412019014,0.0550904691999452,0.192670483401187,0,0.406124853791171,0,0.182687379314993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21203845153825
X601628.CH.EQUITY,0,0.141672231623287,0,0,0.0446220153285373,0,0,0,0,0.0369833413193276,0,0,0,0,0,0,0.238749524236235,0,0,0.0581624908939562,0,0.0963805191048266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162331892581346,0,0.101421965274056,0,0,0,0,0,0,0,0,0,0,-0.00611664007724263
X601166.CH.EQUITY,0,0,0,0.0359615841119029,0,0.280204512493802,0,0,0,0,0,0,0,0,0,0,0.32269901386355,0,0,0,0,0,0,0,0,0,0,0.244333082230987,0,0,0,0,-0.058381503969269,0,0,0.310180002321948,0,0,0,0,0,0,0,-0.0469735191049203,0,0,0,0,0,0,-0.151115188555841
X601328.CH.EQUITY,0.12021437126179,0,0.0145597234934143,0.147608965124963,0.0350577525959198,0.197558489235092,0,0,0,0,0,0,0,0,0,0,0,0,0.0189895516690148,0,0.0365115717039353,0,0.165784555570688,0,0.0398560613574808,0.0517081201693751,0,0,0,0,0,0,0,0,0,0,0,0,0.0102424038682999,0,0,0,0,0,0.10229134070227,0,0.12482908620936,0,0,-0.0413147981073436,0
X600000.CH.EQUITY,0,0.0727264932719985,0,0,0,0,0.232837123475618,0,0,0,0,0,0,0,0,0,0,0,-0.0764142289277876,0,0,0,0.210704924896575,0,0,0.128639393367784,0,0,-0.00711578564007174,0,0,0,0,0,0,0,0,0,0.144747018229431,-0.012440451356664,0,0.0148563119092836,0,0,0,0,0.162230669605015,0,0,0,0.0268211830443516
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.176844794737008,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0718778725667206,0,0.147821845782252,0,0,0.0908949079075916,0,0,-0.0349165657932123,0,0.0742815193546621,0,0,0,0.0539194962119574,0,0,0,0,0,0,0,0,0,0.328054544488808,0.164312070679729,0,0,0,0,-0.0266766314355161
