,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.243673912204308,0,0.178337942614151,0,0,0,0,0,0,0.198891171544473,0,0,0,0,0,0,0,0,0,0,0,0.0492006603939273,0,0,0,0,0,0,0.129535501515116,0,0,0,0,0,0,0,0,0,0,-0.0640410285199262,0.0398889606308375,0,0,0,0,0,0,0.0232931713362738,-0.0109026092926972,-0.209678379058971,0
X601939.CH.EQUITY,0.484198975226537,0,0,0.249459269367358,0,0,0,0,0,0,0.0209548955712524,0,0,0.0395944399829766,-0.163428360129364,0,0,0,0,0,0,0,0,0,0,0.176344694134142,0,0,0,0,0,0,0,0,0,0,0,-0.0140244803813263,0,0,0,0,0,0,0,0,0,0.0418144604922719,0.0686738368023699,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296422556847942,0.0946912124080791,0,0,0.174282319818471,0,0,0,0,0,0,0,0,0.185000886886888,0,0,0,0,0.0447798800150184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119227699168325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.48442430453221,0,0,0,0,0,0.307108922445864,0,0,0,0,0.0862378167262052,0.19023646889587,0,0.0401626439683643,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0494688525062869,0,0,0,0,0,0,0,0,0,0,-0.536184577026446,0,0,0,0,0,0,0,0,0.0890400187614314,0,0,0,0,0.223469442387833
X600036.CH.EQUITY,0,0.0497047716503486,0,0,0,0,0,0,0,0,0,0,0.169956172820897,0,0,0,0,0.028682014001294,0,0,0,0,0.207905610310973,0.0133436512065582,0,0,0,0,0,0,0,0,0.357869400760859,0,0,0,0,0,0,0,0,0.11210910782606,0,0.142529174187034,0,0,0,0.00285832698992732,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.116661580339058,0,0,0,0,0,0,0,0,0,0,0.268101184014554,0.137838804260713,0,0,0,0,0,0,0,0,0.0381493966416457,0,0,0,0,0,0,0,0,0.255006144644225,0,0,0,0,0,0.198068991847278,0,0,-0.0639290521757324,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.0832456749685836,0,0,0,0,0,0,-0.0971880741487597,0,0.189831898262113,0,0,-0.209074884319595,0.125361566632034,0,0,0.230009156144259,0,0,0,0,0,0,0,0,0.106524915103061,0,0,0,0,0,0.477424066158293,0,0.163455992118552,0,-0.171490242628501,-0.145741120457268,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
