,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.232866162312997,0,0.129566974189031,0,0,0,0,0.25201443016844,0.061851078884124,0,0.132412822874493,0,0,0,0,0,0,0.0959781666610803,0,0,0,-0.0775852585434841,0,0,0,0,0,0,0,0.00233789730787354,0,0,0,0,0.0731077154019708,0,0,0,0,0,0,0,0,0,0.0180457832236245,0.0265596440335035,0,0,0,0,0
X601939.CH.EQUITY,0.457681179749116,0,0,0.0182072485537035,0,0,-0.0318896167266081,0,0,0,0.192629272473867,0,0.226714854471327,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852249530921552,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0481442064181158,0,0,0,0,0,0,0,0.25844907149789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204051232043489,0,0,0,0,0,0,0,0.0620227935644613,-6.93889390390723e-18,0.0429541085380557,0,0,0.206542388454345,0,0,0,0,0
X601288.CH.EQUITY,0.472524091698403,0.0317350610306433,0,0,0.171285725156148,0,0,0,0,0,0,0,0.0721839065224938,0,0,0,0,0,0,0,0.0673187710356792,0.0535889959100492,0,0,0,0,0,0,0,0,0.0365602518739476,0,0,0,0,0,0,0,0,0,0,0.0465807791334646,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0808392218098592,0,0.25539245850754,0,0,0,-0.0520170865366987,0,0.0147496788116782,0,0,-1.38777878078145e-17,0.0996469312670097,0,0,0.149739048891301,0,0.196164267354179,-1.38777878078145e-17,0,0,0,0,0,0.325010245656332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143947524297086,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0217004927686636,0,0,0,0,0,0,0,0,0.415787387798557,0,0,0,0,0,0,0,0,0,0,0.0541268768839023,0.125025997639801,0,0,0,0,0,0,0,0,0,0,0,0,0.0850053623497114,0,0,0.0599456293014874,0,0,0,0,0,0,0,0,0,0.26975884155883,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113917535178264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535725376463684,0,0,0.200474036796035,0,0.0540238558997268,0,0,0.193865248362339,0,0,0,0,0,0,0,0,0.00135893816383665,0,0,0,0.190132764641602,0,0,0,0
X5.HK.EQUITY,0,-0.256043101592183,0,0,0,0,0,0,0,0,0,0,0,-0.0294866068994378,0,0,0,0,0,0,0,0,1.17102927503676,-3.46944695195361e-18,-0.765211618104692,0,0,0.49513515261413,0,0,0,0,0,0,0,0,0,0,0,0,0.402803389915169,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0719674388534628,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.209972026999665,0,0,0,0,0,0,0.0506102140856841,0,0.297730578935102,0,0,0,0,0.132206998893276,0,0,0,0.0800944279896163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371570561827856,0
X601658.CH.Equity,0,0,0,0.56837645940946,0,0,0,0.00409143282448169,0,0,0,0,0,0,-0.374059183022053,0,0,0,0,0,0,0,0.104639670113957,0.0349278980560566,0,0,0,-0.00928380921765075,0,0.947871093729694,0,0,0,0,0,0,0,0,0,0,-0.113119547385761,0,0,0,0,0,0,0,0,-0.130294464832152,0,0
