,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.32643626016651,0,0.133715779980506,0,0,-0.0138871014999907,0,0,0,0,0,0,0.104915909986995,0.167035494503036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140831140779613,0,0,0.0675641105694003,0,0,-0.0308502066511544,0,0.04162824693534,0,0.0525114816347102,-0.018991222154344,0,0,0,0.0807736263142571,-0.0653482771636812
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,-0.0160481180590985,0,0,0,0,0.175398244802725,0,0,0,3.46944695195361e-18,0.355607602415307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179364593886923,0,0.0921748638674386,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.144514566960501
X601939.CH.EQUITY,0.00789367353305292,0,0,0,0.695781237914609,0,0,0,0,0.0421543759107249,0.210604630059447,0,0,-0.0311452436277661,0,0.0488640232897576,0,0.0622396003673023,0,0,0,0,0,0.0151306918632137,0,0,-1.73472347597681e-18,0,0.0187178820007355,0,0,0,0,0,0,0,0,0,0,0,0.0478494165985111,0,0,0,0,0,0,0,0,0,0,-0.0505262540999297
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.158982937213524,0,0.0678954320842532,0,0,0,0,0,0,0.333304814569885,0,0,0.196863961033333,0,0.0892734816557814,0,0,-0.00412597700023605,0,0,0,0,0,0.163123493196523,0.0339963127853921,0.0755109915568391,0,0,0,0,0,0,0,0,0,0,0,0.15056166811314,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.922046172162581,0,0,0,0,-0.0562097633564212,0,0.0223987094714147,0.116374242579969,0,0,0,0,0,0,0,0,0,0,0.00822607897566507,0,0,0,0,0,0,0,0.0261912922153995,0,0,0,0,0,0,0,0,-0.0237226477522096,0,0,0.0119657521965393,-0.0670531827085722,0,0,0,0,0,0,0,0.0172936151485006,0
X600036.CH.EQUITY,0,0.228066857431973,0.0740172246268275,0,0.159018818728378,0,0,0.0961261488668679,0,0,0,0,0,0,0.255796726690446,0,0,0.0865655355157485,0,0,0,0,0,0,0,0.203707078807708,0,0,0.0558058014978936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0922987789669528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00546848522171305,0,0.0410719880954708,0,0,0,0,0,0,0,0,0.10390947422379,0,-0.0533932934509128,0,0,0,0,0,0,0,0,0,-0.0619754669802569,0,0,0,-0.139648252430222,0.89344679152697,0,0.0230648115790317,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0954632257103621,0,0,0,0,0,0,0,0,0,0,0,0,0.285463241606663,0,0,0.178491433884216,0,0,0,-0.105303767021822,0,0.0848866501213855,0,0,0,0,0.120238530959428,0.0226320377868339,0,0,0,0.104851608016481,0,0.120692786627663,-0.0403354435063676,0,0,0,0,0,-0.0102194059070901,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.225303147964903,0,0,0,0,0,-0.0474486342761538,0,0,0,0,0,0,0,0.0826504878835861,0.345555117810969,0,0.126028790758442,0,0,0,0,-0.0545499729129602,0,0,0.0917834609669232,0,0,-0.048658265351968,0.147211776338072,0,0.31355769228077,0.0339130822812884,0,0,0,0,0.0682588226208682,0,0
X388.HK.EQUITY,0,0.0977875794637813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161194256946506,0,0,0,0.103676164662358,0,0.0552874552523313,0,0,0,0,0,0,0.110922100822216,0,0,0.0965898930579419,0,0,0,0.178408134696749,0.117160068513639,0.210225504756499,0,0,0,-0.260618584179103,0,0,0,0.302064483478477,-1.38777878078145e-17,0,0,0,0.032191709718658
X601658.CH.Equity,0.128732656062245,0,0.259645854855165,0,0.0624068260251416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154372660476009,0,0.233396452157345,0,0,0,0,0,0,0,0,0.0417052309478076,0,-0.0498312059714345,0,0,0,0.0723632423177324,0,0,0,0.0750715821047462,0,0
