,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.213476729147526,0,0,0,0,0,0,-0.0562928042974321,0.165943303970826,0,0,0,0,0,0,0,0,0,0,0,0,-0.20993898519734,0,0,0,0,-0.170278452662305,0,0,0,0,-0.237405134406155,0,0,0.0560523028797813,0,0.734066449305506,0,0.330765583228922,0,0,0,0,0,0,-0.0182620176523086,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0525100592862195,0,0.0705285406541396,0,0,0,0,0.07459983968554,0,0,0,0,0,0,0,0,0,0.194045498606095,0,0,0,0,0,0,0,0,0.0287171703487786,0,0,0,0,0.310947521091166,0,0,-0.0125627193618949,0,0.198639365268219,0,0,0,0,0,0,0,-0.0537802884432574
X601939.CH.EQUITY,0.323671914006497,0,0,0,0,0,0,0,0,0.0151918119651409,0,0,0,0,0,0,0,0.131743173365224,0,0,0,0,0.0246581747252914,0,0.0224249884714571,0,0,0,0.138657666099582,0.0996784187267582,0,0,-3.46944695195361e-18,0,-0.174247492872522,-0.0172599052014352,0,0,0.444481956481654,0,0,0,0,0,0,0,0,0,0,0,0.108938085054186
X601288.CH.EQUITY,0,0,0,0,0,0.000151897204350555,0,-0.197385281669357,0.112027617859408,0.00655338160504266,0.371293519802286,0.128237409530577,0,0,0.145860498929237,0,0,0,0,0,-0.0751259295266794,0,0,0,0,0,0,0,0,0,-0.553966277081616,0,0,0,0,0,0,0,0,0,0,0.137219110474024,0,0,0,0,0.26643175555551,0,0,-0.114746454776631,0
X5.HK.EQUITY,-0.154884507352405,-0.104885778004018,0,0,0,-0.0463770618362616,0,0,0,0,0,0,0,0,0,0.304265317852338,0,0,0,0.29437131781062,0.0470901506332466,0,0,0,0.417774337699243,0,0,0,0,0,0,0,-0.0247989701448465,0,0,0,0,0,0,0,-0.172813043191682,0,0.183114947270297,0,0,0,-0.0188795999415337,0,0,0,0
X601988.CH.EQUITY,0.0401191282491833,0,0.0919643475313101,0.3321139016212,0,0,0.0472408182401856,0,0,0,0.181259347005257,0,0,0,0,0,0.114707340693136,0.11060401713408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128943480416045,0,0,0,0,0.143124702686798,0.172003553165269,0,0,0,0,-0.0320876047586911,0
X600036.CH.EQUITY,0,0.242178258731199,-0.0113778478416956,0,0,0,0,0,-0.110796128598598,0.0614754197123888,0,0,0.534842706991648,0,0,0,0,0.0198793113716889,0,0,0.294764233388246,0,-0.105981093168204,0,0,0,0,0.0976419043937467,0,0,0,0,0.328903556759751,0,-0.155755629729621,0,0,0,0,0,0,0,0.107030230796676,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.092374836366254,0.013939155034368,0,0,0,0,0,0.0248222933111639,0,0,0,0,0.144019181177048,0.222464830674625,0,0,0,0,0,0,0,0,0,0,0.0237275645715544,-0.00253297526947491,0,0,0.0207273546374208,0,0.304967472581412,0,0,0,0,0,0,0,-0.104681810178402,0,0,0,0,0,0,0.077799150387566,0,0,0,0
X601628.CH.EQUITY,0,0.0323395285957611,0.00606218432615781,0.0454365573876002,0,0,0,0,0,0,0.0157668095256729,0,0,0.326608522149556,0,0,0,0,0,0,0,0,0.0763759726268676,0.00739272294417542,0,0,0,0,0,0,0,0,-0.0460569564610711,0,0,0,0.0556373495233049,0.23034354752614,0,0,0,0,0,0,0,0.131483755567107,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.299862699493026,0,0,0,0,0,0.191356751583392,0,0,0,0,0,0,0,0.254993580761458,0,0.0542239751478103,0,0,0.0881825634040962,0,0,0,0,0,0,0,-0.172544430786965,0,0,0,0,0,0,0,0,0,0.0875351743108426,8.67361737988404e-19,0,0,0,0,0,-0.230118609130329
