,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.216793322201256,0.0229858933431023,0,0,0.401129675330919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972319938689,0,0.056059918410277,0,0,0.0445136477870904,0,0,0.0640946714583618,0.0251563656587022,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838709690241923,0.0497440545689084,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0518176710559677,0,0,0.234020485313161,0,0,0,0.263189747203577,0,0,0.0479434912431025,0.026417845488417,0,0,0.193886483476636,0,0.0230093014645107,0,0,0,0,0.0413094059832448,0,0,0,0,0.093468488967921,0,0,0,0,0.200693023937146,0.0146366921159607,0,0,0,0,0,-0.0529311908294492,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.14858699160332,0,0,0,0,0,0,0.0973250856068088,0,0.0346632518623417,0,0,0,0,0,0,0,0,0,0.0583011526999435,0.26360208346313,0,0,0.0605212118151035,0,0,0,0,0,0,0,0,-0.134405012972057,0,0,0.0706810887618846,0,-0.0613029191327749,0,0,0,0,0,0,0.189034476825195,-0.0222430146210566,0
X601939.CH.EQUITY,0.623270060484832,0.0188872714304871,0,0,0,0,0,0,0.104841813695952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184377054582991,0,0,0,0,0,0,0,0,0.148486222423075,0,0,0,0,0,0,0,0,0,0,0,0.129073408986311,0,0
X601288.CH.EQUITY,0,0,0,0.106960117619916,0,0,0,0.401381653352562,0,0,0.0530202186889239,4.33680868994202e-19,0,0,0,0,0,0,0.0877952865944359,0,0,0,0,0,0.119005164430111,0,0,0,0.0204915146536043,0,0,0,0.119072804429196,0,0,-0.0104680992998347,0,0,0,0,0,0,0,0.0640793668786089,0,0,0.0112582851832784,0,0,0,0,-0.0619180115868288
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0584020675344252,0.0490890965383974,0.26431606399223,0,0,0,0,0,0.0718474585474648,0,0,0,-0.0224982058631092,0.0280951476455886,0,0,0,0,0,0,0.12328389331668,0,0,0,0,0.0793248788192539,-1.0842021724855e-19,0,0,0,0.129673451336904,0,0,0.260038438007696,0,0.187367931637262,0,0,0,0,0.215285930912133,0,0,-0.106058810700023,-0.0767455178128646
X601628.CH.EQUITY,0,0,-0.141296844731956,0,0,0,0,0,0,0.0958607234655857,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0492788238186418,0.0977896573945188,0,0,0,-0.0421982737384222,0,-0.0823695609979341,0,0,0.368278443654649,0,0,-0.000527718780289725,0.3667052681137,0,0,0,0,0.0456852440458223,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.185378530378686,0,0,0,0.341850618291175,0,0,0,0,0,0,0.0675083042492692,-0.026684484664372,0,0,0,0,0.171925365444626,0,0,0,0,0,0,0.0927271842718505,0,0,0,0,0,0,0,-0.198641847050546,0,0,0,0,0,0,0,0.0601079605497478,0,0,-0.00741763066120437,0,0.0743150758731825,0,0,0.0352968793164065,0,0,-0.048414386926011
X5.HK.EQUITY,0,0.246215433220569,0,0.0800098716530253,0,0,0,0,0,-0.14139955627264,0.0113339766931684,0.0486538459302369,0,0,0,0,0,0,0,0,0,0,0,0.203839140637771,0,0,0,0.110607593078533,0,0,0,0,0,0,0,0,0,0.26144345952122,0,0,0,0.0500224539708712,0,0,0,0,0,0,0,0,-0.0447210146817558,0
X388.HK.EQUITY,0,0,0,4.33680868994202e-19,0,0.0712499274768458,0,0,0,0,0,0,0,0,-0.0424955767715347,-0.0995603296969646,0.353648893389063,0,0,0,0,0,0,-0.0504452131999711,0,0,0,0,0,0,0,0,-0.198247755092974,-0.0647844341984979,0,-0.164104596578524,0,0,0.167931696504282,0,0,0,0.0547723729755507,0,0.0682977205429267,0,0.134944317303772,0,0,0,-0.515499348257476,0
X601166.CH.EQUITY,0,0,0,0.120625914367145,0,0,0,0,0,-0.163946878873869,0,0,0.445385738445764,0,0,0,0,0,0,0,-0.0917276816093697,0,0,0,0,0,-0.0167777463252969,0,0.0492948149239206,0,0.0935857742374786,0.165681985071971,0,0,0,0,0,0,0.0117535741379859,0,0,0,0,0,0,0,0.0539978168599103,0,0,0,0,0
X601658.CH.Equity,0,0,-0.0298733320836661,0,0,0,0.153164430978922,0.414313089794592,0.0203529569285085,0,0,0,0,0,0,0.348361715989153,0,0,0,-0.150661662426869,0.00803440121698829,0,0,0,0.123881633934878,0,-0.203537824527121,0,0.0356767473137758,0,0,0,0,0,0,-0.122466207994719,0,0.0243172997582491,0,0,0.082551269128795,0,0,0,0,0,0,0,0,-0.00984523347747002,-0.1542928331966,0
