,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.266290924113655,0,0.338940040773954,0,0,0.0751797006193626,0,0.146475611488943,0,0,0,0,0,0,0,0,0.0273084626598208,0,0,0,-0.0835766097572671,0,0,0,0,0.0331070859351267,0,0,0,0,0,0,0,0,0,0.111401103655314,0,0,0,0,0,0,0,0,0,0,0,0.0606667632002511,0,0,0
X601939.CH.EQUITY,0.383071286288942,0,0,0,0,0,0,0,0,0,0,0.0212742165374057,0.503469916061218,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,-0.0504123973612692,0,0,0,0,0,0,0,0,0.0523687512093024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0220890394294496,0,0,0,0,0.334656368937522,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0896277667418718,0,0.0233699629246877,0,0,0,0,0.391642922354514,0,0,0,0,0.0185710056880348,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.385850532922166,0.0305999955422383,0,0,0.35802667370819,0,0,0,0,0,0.0987787188560553,-1.73472347597681e-18,0,0,0,0,0.0534017689016328,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0193768388956296,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.034506836816533,0,0
X601988.CH.EQUITY,0,0,0,0.281352002922293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139262930749779,0,0.184209657694575,0,0,0,0,0,0,0,0,0,0.0261343151379681,0,0,0.0632843581966726,0,0,0,0,0,0,0,0,0,0,0,0.124639388353143,0,0.157149576822676,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0.301911100516238,0,0,0.0829030350043387,0,0,0,0,0.346549958463312,0,0,0.643224796876164,0,0.110803152168152,-0.530917830892313,0,0.0223972789955821,0,0.0649411737130836,0,0,0,0,0,0,0,0,0,0.108076369673186,0,0,0,0,0,0,0,0,-0.179305228177062,-0.0272219339334873
X600036.CH.EQUITY,0,0,0.0260764179684735,0,0,0.0511871377433464,0,0,0,0,0,0.368481268175082,0,0,0,0,0,0,0,0,0.0254399131639075,0,0,0,0,0,0.107222767392713,0,0,0,-1.73472347597681e-18,0,0,0,5.42101086242752e-20,0.147711739142606,0,0,0,0,0.0742016667835455,0,0,0,0,0,0,0,0,0.230631682375575,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.1772919290643,0.157909566456481,0,0,0,0,0,0,0,0,0.0307422036579608,0.147952722656098,0,0,0,0.173053672099728,0.252672828891883,0,0,0,0.114201823582017,0,0,0,0,0.0116561918095905,0,0,0,0,0,0,0,0.110175993948057,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0952365822898141,0.0307419628298773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470866876621773,0.0352795203450799,0,0,0,0,0,0,0.15464279335727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181581972288195,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.063462956015743,0,0,0,0,0,0,0.0395171779834151,0,-0.0971768744681509,-0.0750900599932126,0,0,0,0,0,0,0,0,0,0,0,0,0.0872218090171026,0,0,0,0,0,0,0,0,-0.478320248007509,0.396682178254973,0,-0.0456176658887528,0,0,1.13299461221213,0,0,0,0,0,0,-0.0770849967035552
