,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0886319324564808,0,0.415650949374339,0,0,0.0463303609561547,0,0.240246172379783,0,0,0.147159985706551,0,0,0,0,0,0.0265377430014797,0,0.00820463682273026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599646990287901,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601939.CH.EQUITY,0.393366073949865,0,0,0.121571507379012,0,0,0,-0.0675785907284554,0,0.0180295349202926,1.38777878078145e-17,0,0.400777779237869,-0.0409342746422813,0,0,0,0,0,0,0,0,0,0,0,-0.097824639569269,0,0,0,0,0,0,0.129499581531603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00523463313022432,0.0205406879101599
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0,0,0
X601288.CH.EQUITY,0.453242445881711,0.000563329166316457,0,0,0.405381283769475,0,0,0,0,-0.0200958329160696,0.0435328373500352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404432914614336,0,-0.0522161079346275,0,0,0,0,0,0,0,0.0673810742556486,0,0,0,0,0,0,0,0,0,0,-0.0283949330257452
X601988.CH.EQUITY,0,0,0,0.279219286594081,0,0,0,0,0,0.00143934217322738,0,0,0,0,0,0,0,0.136289632032427,0.135511856138973,0,0,0,0,0,0,0,0,0,0.00148028875602444,0.0668013511079091,0,0,0,0.0119322573737617,0,0,0.0472386265168549,0,0,0,0,0,0,0.165937038659367,0,0,0.147638833304715,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0548794190990502,0,0,0,0.139012801829047,0.241270543317897,0,0,0,0,0,0.617047007659262,0,0,0.0374506977596373,0,0,0.381341786137471,-0.45053915065437,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.0903823456347469,0.109008723132042,0,0,0,0,0,0,0,0,0,-0.0994471356861173,-0.0314101050484175
X600036.CH.EQUITY,0,0,0.00515496044359243,0,0,0,0,0,0,0,0,0.471261234238917,0,0,0,0,0,0,0,0,0,0,0,0.043899980484173,0,0.12776427676939,0,0,0.0293530175808135,0,0,0,0,0,0.106362042180613,0,0,0,0,0,0,0.0534464334689297,0,0,0,0,0,0,0,0.219906843290349,0,0.0253984197346406
X1299.HK.EQUITY,0.000848140086113758,0,0,0,0,0,0.104340410958196,0,0,0,0,0,0,0,0.107431337270933,0,0,0,0,0,0.228732517855605,0,0,0.099579231931872,0,0,0,0.103622290739258,0,0,0,0,0,0,0,0,0.179038334047393,0,0,0,0.185034761798557,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0342274595464852,0,0,0,0,0,0.166089966300371,0,0,0,0.219617476886185,0.291103821634729,0,0,0,0,0,0,0,0,0,0,0,0,0.056675751238361,0,0,0,0,0.0718387201524304,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.0299280940274668,0
X601658.CH.Equity,0,0,0,0,0.347988287481724,0,0,0,0,0,0,0,0,0,-0.101956992640092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831015870521794,0,0,0,0,0,0,0,0,0,0,-0.388429026808227,0,0,0,0,0,0.304662712604507,0,0,0,0,-0.120453312398622
X601328.CH.EQUITY,0,0,0,0.28483341193365,0,0,0,0,0,0,0,0,0.251028804211971,0,0,0,0,0,0.344537282595122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899263580811701,0,0.0473304234842127,0,0,0.00917855611458138,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00528805626019621,0,0.0651925435646774,0,0,0.161232719761479,0,0,0,1.0842021724855e-19,0,0.0708962922327054,0,0,-0.0151561948818284,0,0.00245574091706395,0,0,0,0,0,0,0,0,0,0,0,0,0.319134728514159,0,0,0,0,0,0,0,0.0751946230824937,0,0,0,0,0,0,0.245790746793918,0,0,0,0.0945244181553813,0,0
X600000.CH.EQUITY,0,0,0,0.0185098676365903,0,0,0,0,6.93889390390723e-18,0,0.385238204204782,0,0,0,0,0,0,0,0.197674226975359,0,0,0,0.152198364740353,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.118389355934531,0,0,0,0,0.118836364322799,6.93889390390723e-18,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.108975867887871,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.127627309595157,0,0,0,0,0.521946861260805,0,0,0,0.160956055170694,0,0,0.126813778036741,0.185904983798481,0,0,0,0,0,0,-0.0518205157654546,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.210534374696875,0,0,0,0,0.325842838901203,0,0,0.0212234369451208,0,0,0.0226927484707028,0,0,0.0999274551809374,0.133097851587429,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100004226013456,0,0,0,0,0,0,0,0,0,0,0
