,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.601951821985279,0,0.178390549451571,0.0613510355411146,0,0,-0.0732751310161473,0,0,0,0,0,0,0,0.0814493007375029,0,0,-0.0563825889548412,-0.00922639326263315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282487909261774,0,-0.0219957778605752,0,0,0,0.0571307729109528,-0.084697938067142
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.010867356313862,0,0,0,0,0,0.169032059288127,0,0,0,0.351701398762274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198508064253426,0,0.0468769930764566,0,0,0,0,0,0,0,0,0,0,0,0.00387388055039752,0,0.173847916391256
X601939.CH.EQUITY,0,0,0,0.701620616170002,0,0,0,0,0,0.0685505407987903,0,0.27772588319255,0,-0.0347153971996489,0,0.0344593229402599,0,8.67361737988404e-19,0,0,0,0,0.0356991227304469,0,0,0.0022392985818684,0,0,0,0.0032979174010129,0,0,0,0,0,0.0421913195230397,0,0,0,0,0,0,0,-0.0271464363225648,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.12942562969773,0,0.86568010454985,0,0,0,0,-0.0670217615204921,0,0,0,0,0,0,0,0,0.00492200045625478,0,0,0,0.0445377191929978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673334986155478,0,0,0,0,0,0,0,-0.12424994318401,0,0,0,0,0,0,0,0,-0.0693414394180952
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0898532906297254,0.179822169653305,0,0,0,0,0,0,0,0.0597034117145544,0,0,0,0.0927649175334334,0,0.0360527372159103,0,0,0,0,0,0,0.165793019300726,0,0,0.280120663393639,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0.0557739326612051,0,0,0,0
X600036.CH.EQUITY,0.241855138745668,0.0429046199652718,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0.187765653988845,0,0.0187805928749376,0,0,0,0,0,0,0,0,0,0,0,0.215059207213162,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.00823732963123431,0,0,0,-0.0666992624477741,0.0858798666258956,0,0,0,0,0,0,0,0,0,0.115527852185644,0,0,0,0,0.0261874919029898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887038244767986,0,0,0
X1299.HK.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.129946149734966,0,0,0,0.0323941215095893,-0.0572946082411209,0,0,0,0,0,-0.133256784658682,0.295178334587083,0,0,0,0,0,0,0.0482036453196641,0,-0.14030741536193,0,0,0,0,0,0.0690590931407623,0.0455303952230326,0,0,0.0731576527389299,0,0,0.255006681495412,-0.0253554306292323,0,-0.00240775789912109,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.17786681888027,0,0,0,0,0,-0.0240295229129911,0,0,0,0,0,0,0.0275800370395788,0.303403359107538,0,0,0,0.076430432176063,0,0,0,-0.183989644201234,0,0,0.0577853118757732,0,0,0.0770676552818702,0,0,0.32041510514856,0.110662972708896,0,0.0345608814905163,0,0,0.0321660307928857,0,0
X388.HK.EQUITY,0,0.00575749216313251,0,0,0.153164683475846,0,0,0.125954833520407,0,0,0,0,0,0,0,0.0308252731101606,0,0,0,0,0.096228177201918,0.385729225648129,0,0,0.120312239073836,0,0,0,0,0,0,0,0,0,0,0,0,0.115495437666102,0.195673375608853,0,0,0,-0.22184034902121,0,0,0,0,0,0,0,0,0.0711974973202577
X600030.CH.EQUITY,0,0,0,0,0.0196954995714145,0,0,0,0,0.0534354552745444,0,0,0,0.447464561186468,0,0,0.00400357936387518,0,0,0.0736603515932804,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.00748146919913409,0.0648571088485842,0,-1.0842021724855e-19,0,0,0,0.236233887182923,0,0,-0.0231428977878663,0,0,0,0,0,0.231708917376495,0,0,0,0
X601658.CH.Equity,0.130813902804282,0.0300356737289624,0.300468208404319,0.025490160605508,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.031484050282978,0,0,0,0,0,0,0,0.175021946531262,0,0,0,0,0,0.157824149442433,0,0,0.0296109707199309,0,0,0.0176906850836846,-0.046937313897181,0,0,0,0,0.0836819496112353,0,0,0,0.0773636140547695,0,0
X601166.CH.EQUITY,0,0,0,0.0485936565714325,0,0,0.12208695096706,0,0,0,0,0,0,0,0.0107004730656206,0.0713323587674754,0,0,0,0,0,0.091678285635677,0.0575190623875436,0.414243745261268,0,0,0,0,0,0,0,0,0,0.0158210472873128,0,0,0,0,0,0,0,0,0,0,0.0171490457273029,0,0,0,0.229592233893593,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.642605534560677,0,0,0,0.0332716405850471,0,0,0,0,0,0.00179395927153955,0,0,0,0,0,0,-0.0104183020914068,0,0,0,0,0,-0.0627299043780475,0.00404121560437297,0,0,0,0.163559729532723,0,0,0.0466179901211763,0,0.0169628452537845,0,0.00335047114979698,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.158656992916335,-0.211686576989315,0,0,0,0.381046006086867,1.73472347597681e-18,0,0,0.177677725684256,0.334275957033159,0,0,0,0,0,0,0.0293050897393703,0.0282584252799567,0,0,0,0,-0.0739104157836843,0,0.152011676772045,-0.0331932288103769,-0.222370453121792,0,-0.00686538527202888,0,0,0,0,0,0,0,0,0,0,0.063783179039336,0,0,0,0,0,0,0,0.0331083442621696
X000001.CH.EQUITY,0,0.0697131715060285,0,0,0,0.638891741591582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312023524407256,0,0,0,0,0.127868042031792,0,-0.15047235058924,0.0929666507651346,0,0,0,0.0671732289170768,0,0,0.0400849716507277,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0161829570922329,-0.182194182782713,0
X601328.CH.EQUITY,0.313139775995886,0,0.0483606078778031,0,0,0,0,0,0,0,0.0491948690572134,0,0,0,0,0,0,0.128777321561658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674972377409938,0,0,0,0,0,0.0468172610954453,0,0,0,0,0,0,0
