,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.314655512649797,0.240390854028034,0,0,0,-0.0959312686842957,0,0,0.126859138336748,0,0,-0.153992710132937,0,0,0,0,0.134437159347367,0,0,0.0903342151725445,0,0,0,0.11382134997614,0,0,-0.112695192354814,0,0.140332486587015,0,0,0,0,0,0,-0.0110554470608207,0,0,0,0,0.0131632349771452,0,0,0,0,-0.0908436198549466,0,0,-0.0153072277362918
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.204470012816388,0,0.290901790065465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00208962253543282,0.0607336026981271,0,0,-0.0123032760236148,0,0,0,0,-0.262028778436827,0.27241237682404,0,0.194219434417483,0,0,0,0,0,0.0650048468643302,0,0,0
X601939.CH.EQUITY,0.46024036783957,0,0,0.061562773123892,0.111377322961319,0,0,0.0319825488389897,0,0,0,0,0.156861507514826,0,0,0,0,0,0,0,0.139571132622609,0,0,0.0177641456247145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316389742939186,0,0,0,0,0.0140724670623052,0,-0.147395632115816,0,0,0,0,0
X601288.CH.EQUITY,0.392604069384141,0,0.206465552105019,0,0.151895392678863,0.0741238761989998,0,0.044521737140339,0,0,0,0,0,0,0.021367352977319,0,0,0,0,0,0,0,0,0,0,0,0,0.0733353702148338,0,0,0,0,0,0.0477159965451721,0,0,0,0.0588653417625826,0.164207773012831,0,0,0.0217955473267746,0,-1.38777878078145e-17,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.24327181017794,0,0.00363654726550344,0,0,0,-0.0443966945226726,-0.317815626809875,0,0.252861936227104,0,0,0,0.0569322463976295,0,0,0,0.147875360598346,0.0313643510323935,0,0,-0.0878857466657698,0.593428275196538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044820067511781,0,0.0867803015243019,0.0504250606559169,0,0,0,0,0,0,0,-0.31461025277237,0
X601988.CH.EQUITY,0.0817358767118069,0,0.184216001069708,0.144963863792576,0,0,0,0.0825761726145571,0,0.118535068895166,0.261333570131557,0,0,0,-0.319808218519254,0,0,0,0,0,0.0273569881966109,0,0,0,0,0,0,0.0758191670272629,0,0,0,0,0,0,0,0,0,0,0,0.00863279530378083,0.0402074617933588,-0.00503673472881875,0,0,0.136417817537343,0,0,0,0,0,0.0862124126881964
X600036.CH.EQUITY,0,0.275122655134774,0,0,0.0139574982064093,0,0,0,0,0,0,0,0.180739424402151,0,0,0,0,0.0870856268502115,0,0,0,0,0,0.120859524316416,0,0,0,-0.00850927371327717,0,-0.0179149285232834,0.254189270635378,0,0,0,0,0,0,0,0,0,0.0828319731629173,0,0,0,0,0,0.0812419270954897,0,0.132640780001425,0,0
X601628.CH.EQUITY,0,0,0,0.259640876315487,0,0,0,0,0.0881712659542197,0.0553620579888407,0,0,0,0.0244498206515336,0,0,0,0,0,0,0,0,0.0823722575291621,0,0,0,0,0,0,0,0,0,0,0.056733448131877,0,0,0,0,0,0,0.098878534158527,0,0,0,0,0,0,0,0.0762344804589691,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471276207987687,0,0,0,0,0.189803746596591,0,-0.0122887383255077,0.126879935145001,0,0.191296441764815,0,0,0,0,0.00978613892904928,0.3554558625015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667951644157645,0,0,0.015744962902338,0,0
X601166.CH.EQUITY,0,0,0.0149281311973923,0,0,0.128908867329209,0,0.091609554710544,0,0,0,0,0,0.160782029215101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457681340287323,0,0,0.184067606740388,0,0,0,0,0,0.0869437363417702,0,0,0,0,0,0,0,0,0,0,-0.0818973511966062
