,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.182877990997179,0.239945927329517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430030069658084,0,0.074092615770574,-0.416529629586428,0,0,0,0,0.685901876866091,0.133339284764948,0,-0.210524396947519,-0.0233473533030928,0,0.168813460245456,-0.0353072903678557,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.140124130057525,0,0.00795771652784499,0.00448824751704071,0,0,0,0,0.0485961447977009,0,0,0.168088512737049,0,0,0,0,0.0581072691151573,0,0,0,0,0,0.0636227931601769,0,0,0,0,0,0,0,0,0,0,0.575912705555721,0.0365685819555238,-0.0759017875356732,0,0,0,0,0,0,-0.0308534937931486,0,-0.0398050652965045
X601939.CH.EQUITY,0.230523418637912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125047027350917,0,0,0,0,0,0,0,0,0.0470437462938488,0,0,-0.00548342553724808,0,0.374469421223703,0,0,0,0,-0.0182071645073834,0,0.0732240690503682,0,0,0,0,0.0438368370683657,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.247217372267549,0,0,0.0265020141724555,0,0,-3.46944695195361e-18,0.0943986757058222,0,0,0,0,0,0,0.132500417245046,0,0,-0.0356403865776423,0,0,0,0,0.107922655741214,0,0,0,0,0,-0.0763122496704998,0,0.010878756810995,0,0,0,0.20045894077192,0,0,0,0.202216307243872,0,0,0,0,0.0924134937184747,0,-0.0333249553458366
X5.HK.EQUITY,-0.18703019137255,-0.0909498680016064,0,0.103499350608305,0,0,0,0,0,0,0,0,0,0,0.250329320696795,0,0.3352481453092,0,0,0,0,0.163458350856517,0,0,0.29271260781207,-0.0418510057704002,0,0,-0.184213685841381,0,0,0,0,-0.170343541570539,0,0,0,0,0,0,0.230812180499486,-0.181402116106451,0.025745405725526,0,0,-0.00845326122927216,0,0,-0.117004964349434,-0.0359982022876238,0
X601988.CH.EQUITY,0.238691169796698,0,0,0.572950734929092,0,0,0,0,0,0,0.119125285524827,0,0.141798729458945,0,-0.065732795130031,0,0.08319614844606,0,0.00917100985979728,0,0.0177459008783906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374443507566042
X600036.CH.EQUITY,0,0.719206244932323,0.0433479589552943,0,0,0,0,0,-0.173277294189203,0,0,0,-0.0980167143429484,0,0,0,0,0,0.121908478832937,0,0,0,0,0,0,0.0194213285263062,0,0,0.0469823110151052,0,0.0888942863120979,0,0,0,0,0,0,0,0,0,0.251485968464185,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296641479806578,-0.0971885279166561,0.0243739037394854,0.145033981436026,0,0,0.141473149928205,0,0,0.235121774751565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621380614103767
X601628.CH.EQUITY,0,0.104246466067269,0,0.121473188854708,1.73472347597681e-18,0,0,0,0,0,0,0,0.00389420647858914,0.240393848147434,0,0,0,0.0329554585655822,0,0,0,0,0.105336242164825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153910465894169,0,0.116547561225692,0,0,0,0,0,0,0,0,0,0,-0.0170934588015866
X601328.CH.EQUITY,0,0.0856943599320403,0.0994314007250314,0.366835869001991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886930790062761,0.045035873098846,0,0,0.0858453667830266,0,0,0,0.134529049614279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235006952187337,0,0,0,0,0,0,-0.0230658215511707,-0.187634570721152
