,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0993069408416807,0,-8.67361737988404e-19,0,0,0,-0.0651069958850447,0,0,0,0,0,0,0,0,0,0,-0.0902111039154626,0,0,0.680133459755695,-0.218005060904653,0,-0.0559463424905676,0,0,0.409856818170815,0,0,0,-0.0786220342920903,0,0,0,0,0,0,0,0,0,0.090485398365843,0,0,0,0,0,0,0.0677108955319067,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0214859981195872,-0.0222639644749476,0,0,0,0,0,0.156956117207222,0,0,0,0.418223924763218,0,0,0,0,0,0,0.031626461292699,0,0,0,0.0323076950108066,0,0,0,0.203997001193684,0,0.0508556878974548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166506702043822
X601939.CH.EQUITY,0,0.0609819081392144,0,0.773632669000655,0,0,0,0,0,0.0292802104734484,0.0793584770869514,0,-0.0239128453942885,0,0,0.0764165626853494,0,0,0,0,0,0.00302011826154697,0,0,0,0,0,0.0517680623507714,0,0,0,0,0,0,0.0501938187593858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.878663351969906,0,-0.0153850178890173,0,0,-0.0340986194037978,0,0,0,0,0,0,0,0,0.0167038312106535,0,0,0,0.00505880205335085,0,0,0.218022919689957,0,0.0583810690801999,0,0,0,0,0,0,0,0,0,0,0,0,-0.097041375551181,0,0,-0.149316954151021,0,0,0,0.0491959640330431,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0967649662001091,0.254228922823361,0,0.292654051980779,0,0,0,0,0,0,0.249557841536187,0,0,0,0,0,0,0,0,-0.0667747682634584,0,0,0,0,0,0,0.33960879403855,0,0,0,0,0,0,0,0,0,0,0.109760327965388,0,0,0,0,0.0468957482306928,0.0504001622716792
X600036.CH.EQUITY,0,0,0,0.353492589585849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174818145184463,0,0,0,0,0,0,0,0.188642396376124,0,0.028227302498389,0,0,0,0,0,0,0,0,0.0624988897235439,0,0,0,0,0,0,0,0.0692670744860427,0,0,0,0,0.0131838136092226,0,-0.00927104563155041
X601988.CH.EQUITY,0,0,0,0.0691366734560147,2.16840434497101e-19,0,0,0,-0.0269669521741733,-0.072927121886848,0,0,0,0,0,0,0,0,0,0,0.00121368874578666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131497408176068,-0.0624376851498409,0,0.98942683517109,0,0,0
X1299.HK.EQUITY,0,0.0373036161174536,0,0,0.104310021510417,0,0,0,0,0.097206792574159,0,0,0,0,0,0,0,0,0,0,0,0,0.320110407476029,0,0,0,0,0,0.0263122594652558,0,0,0,0,0,0,0,0.0826149653073055,0.0558316657460748,0,0,0,0,0.149829389659146,0,0,0,0,0.122907011121623,0,0,0,0.0283233776806814
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053425415349832,0,0,0,0,0,0,0,0,0.0693141086955453,0.562379707831976,0,-0.0343046911048951,0,0,0,0,0,0,0,0,0,0.0366063140940302,0,0,0.197688728796759,0.266011494965674,0.330544718682057,0,0,0,0.242086243737091,0.00896374460400671,0
X388.HK.EQUITY,-0.0390578118386674,0,0,0,0.171038886977327,0,0,0,0,0,0,0,0,0,0,0,0.0653478739227807,0,0,0,0.265364994641081,0,0.246364160761574,0,0.162974562940621,0,0,-0.0750834329780904,0,0,0,-0.0387063997668219,0,0,0,0,0.164428821071666,0,0,0,0,-0.0526259129480516,0,-0.177851825628669,0,0,0,0,0,0,0,0.325662050646834
