,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.447301462021036,0.128065213736415,0.0609432550813951,0,0,-0.0596047257834558,0,0,0,0,0,0,-8.67361737988404e-19,0,0.104191415924065,0,-0.0321644684843384,0,0,0,0,0.0743702180762689,0,0,0,0,0,0,0,0,0,0,0.0802627580805636,0,0,0,0,0.0244242280289057,0,0,0.352293763267115,0,0,-0.0321646981255318,0,0,0.0208646003365505,-0.102243977340869
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0112353371470817,0,0,0,0,0,0.169686136219888,0,3.46944695195361e-18,0,0.33477536979454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198261890559459,0,0,0.0495023512964639,0,0,0,0,0,0.00325685560653504,0,0,0,0,0,0,0,0.15736136847365
X601939.CH.EQUITY,0,0,0,0,0.665865689802677,0,0,0,0,0.00634435050919901,0,0.306119824445002,0,-0.0368079273897476,0.0442008205912035,0.0245249443522909,0,0,0.0232551330572421,0,0,0,0,0.0277976939459047,0,0.0460471916898094,0.0209414721283087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592048733589727,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159667509739917,0.108638122658654,0,0,0,0,0,0,0.319363946686059,0,0,0,0,0.140568041688501,0.0824949790875048,0,0,-0.0413067148490301,0,0,0,0.0221752650553365,0,0.0524136846476772,0.0941019432142784,0,0.143227321217544,0,0,0,0,0,0,0,0,0,0,0,0.136960786537265,0,0,0.00133636930857933,0
X601288.CH.EQUITY,0.17375226632254,0,0.810615416644116,0,0,0,0,-0.0831660889309737,0,0,0,0.050314572741703,0,0,0,0,0.0240004227398963,0,0,0,0.006140970330849,0,0,0,0,0,0,0,0,0.00911898389947127,0,0,0,0,0,0.0297741679405472,0,0,-0.0889024027720218,0,-0.148245657627368,0,0,0,0,0,0,0,0,0.0735198701779423,-0.00893035822602161,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0740585651889855,0,0,-0.0270138575262546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602523189312591,0,-0.00740044898675613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282832596615746,0,0,0,0,0,0,0,0.930135688711023,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.261301859630804,0,0,0,0.0915116654285896,0,0,0,0,0,0,0,0.236676173113812,0,0,0,0.086054219979645,0,0,0,-0.0464496534307747,0.0935132947303901,0,0,0,0,0,0.0370049398633502,0,0,0,0,0,0,0.113284937254187,0,0,0.0381784914990095,0,0,0,-0.0396107069014681,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.075923907803139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295674309914169,0.0648251922888344,0,0,0,0,0,-0.252984853602756,0,0,0,0,0,0,0.0697295038780201,0.341184882327909,0.104201020145615,0,0,0.0589190719318303,0,0,0,0
X388.HK.EQUITY,0,0.0294213733676811,0,0.147946767466107,0,0,0,0.133931731353465,0,0,0,0,0,0,0,0,0,0,0,0,0.0820140885604506,0.395018261796376,0.138619055769762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263067851429737,0.120423141065416,0.134173156550921,0,-0.185716447722306,0,0,0,0,0,0,0,0,0,0,0.068144133255612
