,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.113961568986001,0,0.0509589643456446,0,0,0,-0.0758090230741717,0,0,0,0.49756194485565,0,0,0,-0.074169936741222,0,0,0,0,0,0,0,0,0,0,0,0,0.0563011575016814,0,0,0,0,0,0,0,0.0889386785173181,0,0,0,0,0,0.218405212591606,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.152002902906936,0,0,0.148957203461716,0,0.0982874411305281,0,0.0847746356443141,-0.106858295017121,0.122018211433332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918040239211352,0,0,0,-0.20091328073733,0,0.146485306461153,0.138307737435849,0.0908115194196831,0,0,0,0,0.317188231592776,0,0,0
X601939.CH.EQUITY,0.292855172833771,0,0,0.312092823558454,0,0.132041347870296,0,-0.0433633036158062,0,0,0,0,0,0,0.104715718566868,0.0721964157521264,0,0,0,-0.0180310920026099,0,0.0538228725303878,0,0,0,-0.099022571602275,0,0,0,0,0,0,0,0,0,0,-0.10429473147931,0,0,0.348208832451238,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.378236136796889,0,0.181057381735485,0,0,0.197075707834958,0,0,0.0601163914750466,0,0,0,0,0.0229684874357334,0,-0.130983727764412,0.0581451781801843,0,0,0,0,0,-0.0414469707503332,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101972564731932,0,0,0,0.15534270711181,0,0,0,0,0,0,0,0,0,0.198246540653099,0,-0.0405687149111
X5.HK.EQUITY,0,-0.0759023342692351,0,0.319996945227656,0,0.0144745218033349,0,-0.287207147633521,0,0,0,0,0.120954135826472,0,0,0,0,0,0,0,0.541886764197742,0,0,0,0,0.320968842869074,0,0,0,0,0,0,0,0.0190840498189932,0,0,0,0,0,0,0,0,0,0,0,0,0.217031606791686,0,0,-0.10136896552845,0,0
X601988.CH.EQUITY,0.20173296650403,0,0.28916214557143,0,0,0,0,0,0.0475445147112133,0,0.118889520625872,0,0,-0.269191282310249,0,0,0,0,0,0,0,0,0.0350924977198815,0.17889126944012,0,0,0,0.13938116048545,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.101122582319515,0,0,0,0,0,0,0,0.0669943120690725
X600036.CH.EQUITY,0,0,0,0,0.111498830519908,-0.0533542584568275,0,0.260225860545056,0,-0.0428324097752941,0.0110342590203289,0,0.350664727199408,0,0.249426219275851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774587570935351,0,0,0,0,0.0851971001940308,0,0,0.13091530774115,0,0.0388630624508063,0,0,0,0,0,0,0,0,2.76531082620302e-05,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0675910722692398,0,0,0,0.0553652093148656,0,0,0,-0.110646104622226,0,0,0,0.361980904294609,0,0.261581975741056,-0.00247844418187635,0,0,0,0,0,0.164387127329399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648535890864608
X601628.CH.EQUITY,0.188108289628928,0.174497216545036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571347992071019,0.0534627687013674,0,0,0,0,0,0,0,-0.0385661224225512,0,0,0,0,0,0.0886094415010468,0,0,0,0.00213725212276154,0,-0.097341390784872,0,0,0.158862555638868
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440363959881184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
