,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.24513356327833,0,0.253456884396445,0,0,0,0,0,0,0,0.0467521859528987,0.247386233506381,0,0,0,0,0.0614508596894705,0,0,-0.139733932047366,0,0,0,0,0,-0.0994124337239565,0,0,0,0,0,0,0,0.0180120552163566,0,0,0,0,0.0596360103086222,0,0,0,0,0,0,0,0.08854997912481,0,0,0,0
X601318.CH.EQUITY,0,0,-0.0572614186420843,0,0,0.0645134046231656,0,0,0.220664382609205,0,0,0,0.132814800645743,0,0,0,0.215607029503597,0,0,0,0,0,-0.0158839849743072,0,0,0,-0.11548348665408,0,0,0,-0.148491693361093,0,0,0,0,0.222511978797307,0,0,0,0.13630878163253,0.288422631683739,0,-0.245142459636447,0.250081373926999,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.611371835209579,0,0,0,0.0244254081930299,0,0,0,0,0,0.137189238425316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349946617853553,0.0059370061389994,0,0,0,0,0.0434736532008648,0,0,0.258565758816625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.341196255564569,0,0,0,0,0.392423367065718,0,0,0,0,0.0296288204859368,0,0,0,0,0,0.0499673610576584,0.125765344446872,0,0,0,-0.0694167811801225,0,0,0,0,-0.0125270800890835,0,0,0,0,0,0,0,0,-0.0645328737650213,0,0,0,0,0,0,0.166838807176203,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.191627248469417,0.0529351897265498,0.167095079118438,0,0.0860076812861616,0,-0.0542129662236751,0,0,0,0,0.176924660724973,0,0,0,0,0,0.480726231105791,0,0,0,0,0,0,0,0,0,0,0,0.337448528321173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197327953722069,-0.0143410642370432,0,-0.10059111630766,0
X601988.CH.EQUITY,0.10584488931454,0.14728073924264,0.299453666346487,0,0,0,0,0,0.103993573125138,0,0,0,0,-0.0549405747190666,0,0,0,0,0.120501691691684,0,-0.0416705832243796,0,0,0,0,0,0,0,0,0,0,0,0,0.164854588013953,0.118136677586404,0,0,0,0,0,0,0,0,0.0354777202977144,3.46944695195361e-18,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.1597832235308,0,0,0.0290421741315076,0,0.135598397673854,0,0.356033478844901,0,0.0420155068270859,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0737079023515565,0,0,0.11388891289979,0,0,-0.0205514841836203,0.0741290458894098,0,0.0271292360156665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0940910941098845,0,0.179387452160881,0,0.0331152668715269,0,0,0,0,0.058190891221014,0,0.369734021227339,0.0252176519878013,0,0.0575232330397443,0,0,0.0167994046042175,0,0.162628015031277,0,0.0645767869389152,0,0,0,0.00363528453656215,0,0,0,0.02111609359414,0,0,0,0,0.00485394984507675,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.255248242491496,0.148985638072077,0,0,0,0,0,0.134715479526451,0,0,0,0,0,0,0,0,0,0,-0.24766294485186,0,0.0479902525093465,0,0,0.0537028371985221,0,0.0102649368143227,0,0.0350141661576176,0,0,0,0.154759238810782,0.104736820969319,0,-0.0747654995297103,0,0,0,0,0,0,0,0,0,0,0,0.0947803633056432,0,0,0,0,0.128848660677311
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.116735399954385,-0.52034129108236,0,0,0,0,0,-0.0497052603430913,0,0,0,0,0,0.795557165479081,0,0,0,0.0183691194022007,0,0,0,0,0,0,0,0,0,0,0,-0.568379756742768,0,-1.73472347597681e-18,0.189178458993916,0,0,0.0890982406671447,0.256369824952886,-0.119226488743846,0,-0.0168736987786568,0,0.0151960169091336
