,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.528361796519535,0,0.0929415828865191,0.0261848637782073,0.0809723423595631,0.0664860914088877,0,0,0,0,0,0,0,0.0361000491294693,0,0,0.0221081743419329,0.0640807185262724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761146996813206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.405184679339472,0,0,0.079436467340373,0.00251425126131714,0.100387134273326,0,0,0,0.0886724344365656,0.0845616566245478,0,0,0,0,0,0,0,0,0,0,0,0.0220648406683637,0,0,0.0451659658421173,0,0,0,0,0,0,0,0,0.0053942635387315,0,0,0.0409340648466128,0,0.0317532643739929,0.0663913850714094,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152632677581394,0,0,0.00355614085755265,0,0,0,0,0,0,0,0.134604266556436,0,0,0,0,0,0,0,0,0.0248047721662078,0,0,0,0,0,0.253992543508383,0,0,0,0,0,0,0.256824506184884,0,0,0,0.0864982307462765,0,0.0602046574036521,0,0,0,0,0
X601288.CH.EQUITY,0.373892407557194,0,0,0,0,0.0101580850054316,0,0,0,0.0957529526843421,0,0,0,0,0,0,0,0.235903289713929,0,0,0,0,0,0,0,0.0303436719945599,0,0,0.124989137215147,0.064845988811926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771532519703485,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.299405263733727,0,0,0,0,0,0,0,0.315543547380177,0,0,0.204193263110496,0,-0.366805623278624,0,0,0,0.152155603577388,-0.0468684416467402,0,0.141774943732823,0,0,0,0.319156174750106,0,0,0,0,0,0,-0.0644284974370894,0,0,0,0,0,0,0,0,-0.0823703120966719,0,0,0,-0.170103491945675,0
X601988.CH.EQUITY,0,0,0,0.0112593586286835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352498996030904,0,0.00334005638921963,0,0,0,0,0,0,0,0.0367660875329625,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.403780358672845,0,0,0,0,0.0700613036820716,0,0,0,0
X600036.CH.EQUITY,0,0,0.190420277593091,0,0,0,0,0,0.088820557073367,0,0.0485551559480073,0,0.215578529813717,-0.0440693191287842,0,0,-0.0469861511439731,0,0.0399284210520374,0,0,0,0,0,0.400141246094392,0,0,0,0,0.117542163968486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167676296184963,0,0,0,-0.0476397370790099,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.144831701424072,0,0,-0.104759818957272,0,0,0,0,0,0,0,0,-0.0302291998262937,0,0,0,0.218566773342072,0,0,0.14197789731811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219997904974451,0.110753837522995,0.265399337680243,0,0,0,0.0665037904822873
X601628.CH.EQUITY,0,0,0.0388748607646976,0,0.0682821839544864,0,0,0,0,0,0,0.0169279238441367,0.198169161025856,0,0,0,0.0251132226026644,0,0,-0.110391268236426,0,0,0,0,0,0,0.154700378524739,0,0,0,0,0.23627720553608,0,0,0,0,0,0,-0.0282036895770673,0,0.0927241608431606,0.173031198356784,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.101864426009833,0,0,0,0.0500382041195104,0.00820553512373314,0,0,0,0,0.0771933644092691,0,0,0,0,0,0,0.0236925275787093,0.208363245888612,0,0,0,0.00466589767920062,0,0,0,0,0,0.0884830191798876,0,0,0,0,0,0,0,0,0.169594963774062,0.258463650430674,0,0,0,0,0,0,0,0,0,0
