,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,6.93889390390723e-18,0,0.056707386222137,0,0.138737597033404,0.1763861399291,0,0.351768665863678,0,0,0,0,0.000603489374024247,0.13182271712504,0,0,0,0,0,0,0,0,0,0.0118818825235025,0,0,0,0,0.104036180524518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.207656778853757,0,0,0,0,0,0,0,0.224197616914051,0,0,0,-3.46944695195361e-18,0,0.0719896410669298,0.144752224530838,0,0,0,0.210530612360493,0,0,0,0,0,0,0,0,0,0.0753590016767718,-0.059894900085817,0,0,0,0,0,0.0658300800793861,0,0,0,0,0,0,0,0,0,0,0.0749612635006317,0,0,0,-0.0072478902733775
X601939.CH.EQUITY,0.263702255090634,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.425695487367782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191835074882114,0,0.106014277133095,0,0.00655589231779106,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.342777124603504,0,0.042335252296613,0,0,0.4672387884798,0,0,0,0,0,0,0,0,0.0359546423222239,0,0,0,2.77555756156289e-17,-0.0109524854224141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11283688440321,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.198277078610001,0,0.0394711712052777,0,0,0,0.310688545449212,0,0,0,0,0,0,0,0.0201430853513052,0.6482720221249,0,0,0,0.0515001728695001,0,0,0,0,0,0,0,0.0921981738465178,0,0,0.0205360606244105,0,0,0,-0.204445207944583,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20
X601988.CH.EQUITY,0.136919734564676,0,0,0.0492502153278446,0,0,0,0,0.200909076479345,0,0,0,0.143559424445694,0,0,0,0,0,0.0211091445065574,0,0.168413616196363,0,0,0,0.0278301080804403,0,0,0,0,0.0495155063122546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186377379099502,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.164141164591476,0,0,0,0,0,0,0,0.325245490658184,0.0252091616495488,0,0,0,0,0.193604221198604,0.291245692871339,0,0,0,0,0,0,0.247982771419161,0,0,0,0,0,0,0,0.0275029345880114,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0906757449297752,0,0,0.0104834211274507
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.163830822170305,0,0,0,0,0,0,0.194450494964142,-0.0639610783527734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805945641624622,0,-0.212395445073817,0,0,0,0,0,0,0,0.738544387823191,0,0,0,0,0,0.447486206078883,0,-0.182023396956136,0,0,0
