,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.426792513681285,0,0,0,0,-1.73472347597681e-18,0.00331894894120118,0,0,0,0,0.36524125750893,0,0,0,0,-0.0458205536232079,0,0,0,0,0,0,0,0,0,0.0758134512232336,0,0,0,0,0,0,0.000823471039751892,0,0,0,0,0,0,0,0,0.00467893942963576,0,0.111272271212707,0,6.93889390390723e-18,0,0
X601939.CH.EQUITY,0.143636264216802,0,0,0,0,0,0,0,0,0,0,0.0262569401657321,0,0.263057140225461,0.29710194595527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116492952164282,0,0,0,0,0,0,0,0,0,0,0,0.132335312293669,0,0,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377917192588288,0.0839738125323253,0,0,0.313243662303067,0,0,0,0,0,0.111470143069618,0,0,0,0,0.0478384877580064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153560995546987,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184617521417719,0,0,0,0,0,0,0.186126471777764,0,0,0.0605943378530496,0,0,0,0,0,0,0,0.0322923640258931,0,0,0,0.136929540808539,0,0,0.016700545387113,0,0,0,0,0,0,0.065180781280766,0,0,0,0.120338818082685,0,0,0,0,0,0.119219423553528,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.276598167767304,0,0,0.181314421393151,0,0,0,0.604859979798324,0,0,0,0,0,0.569456418694465,-0.641229132041939,0,0,0,0,0.117229360822531,0,0,0,0,0,0,0,0,0,0.016942923967183,0,0,0,0,0,0,0,0,-0.202873239637615,-0.0428721576391694
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0644019800784998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17450465217107,0,0,0.10063992396364,0,0,0.077813118345074,0.0785187387222071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36433382281698,0,0
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.163712673613189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163737666096412,0,0,0,-0.270709159648401,0.17132697477223,0.118830388158779,0,0,0,0.464062651779291,0,0,0,0,0,0,0.894425318843854,0,0,-0.532095293191158,-0.0323762713313068,-0.0151184678736913
