,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.428665524467998,0,0.104507584728111,0.0905923745863986,0.0325158690322796,0.0390889745287724,0,0,0,0,0,0.0342982922188169,-0.0114550600849772,0,0,0,0.058413045924815,0.0512921573180857,0,0,0,0,0,0,0.107582222300162,0,0,0,0,0,0.0264794935609831,0,0,0,0,0,0,0.00888772566620172,0,0,0,0,0,0,0,0,0,0,-0.0105780238023302,0
X601939.CH.EQUITY,0.245958601260545,0,0,0.352229848734722,0,0.176764953461867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310886914898384,0.0560428722382876,0,0,0,0,0,0.0646697744971896,0,0,0,-0.0119296658715898,0,0,0.0106531473768679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106147609563519
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0,0
X601288.CH.EQUITY,0.217330002561856,0.0754121797639502,0,0,-0.0155228072395294,0.0162520342307091,0,0,0,0.156014606547882,0,0,0,0,0,0,0,0.118911054644393,0,0,0,0,0,0,0.00647891413159936,0.270851799449633,0,0.0731271991800016,0,0.0687932703041299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.135840386353165,0,0.0409863685105485,0,0.250435591735239,0.0814086901678782,0,0,0,0.376776799277753,0,0,-0.18934518810677,0,0,0,0,0,0,0,0,0,0,0,0.101334093446548,0,0,0,0,0,0,-0.267117295218785,0,0,0,0,0,0,0,-0.497577500117669,0,0,0,0,-0.322064272254871,0
X601988.CH.EQUITY,0.231878407141254,0,0,0,0,0,0,0,0.30911227344372,0,0,0,0.0217531868064233,0,0,0,0,0,0,0,0,0,0.358631828786491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721076561968314,0,0,0,0,0,0,0,0,0,0,-0.0233344055957263,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904322,0,0,0,0,0.0477073727737909,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739587,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.100056982462978,0,0,-0.110267170986359,0,0,0.169919343138674,0,0,0,0,0,-0.0850899248654771,0,0.282417551340551,0,0,0,0.0140662520945088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524688170483571,0,-0.0036963226223912,0,0,0,0,0,0,0.28944884072845,0,0.123140449909266
X601628.CH.EQUITY,0,0,0.14651761823086,0.0753469709691662,0,-6.93889390390723e-18,0,0,0,0,0.0515978756236367,0,0,0,0,0,0.0677684653179081,0.0911415357081484,0,0,0,0,0,0,0,0.0837974808257794,0,0,0,0,0,0,0,0.0316048816824119,0,0.229350178177654,0,0,0,0,0,0,0.129912780526402,0,-0.0402009383443934,0.085557789649746,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0665060338481534,0,0.000899118701214234,0,0.046840707315615,0.00578599133381188,0,0,0,0.116055374201066,0,0,0,0,0,0,0,0,0.0128722310826062,0.200605801315143,0,0,0,0,0,0,0,0,0,0.15060222618656,0,-1.73472347597681e-18,0,0,0,0,0.170689979470886,0.267135595826599,0,0,0,0,0,0,0,0,0,0,0
