,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.136061189587054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279738486475937,0.0167249934752081,0,0.364834997476218,-0.180570283161303,0.444897837821581,0.249181219893527,0,0,-0.101617349692282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196279394674274,-0.0246815740889603
X601318.CH.EQUITY,0,0,0,0,0,0.227978926214439,0,0,0,-0.0817897732344497,0,0,0,0.0845083687327759,0,0,0,0.0714404485173276,0,0,0,0,0,0,0,0,0,0,0,0.0135260566638787,0.167990283479126,0,0,0,0,0.255248948945387,0,0.0476645494431924,0,0,0,0,0,0,0,0,0,0,0,0,0.0211092848597909,0.0279676428047996
X601939.CH.EQUITY,0,0.0463561747274144,0,0.799017414443537,0,0,0.0142428425527888,0,0,0.0437351238485129,0,0.0227662708847206,-0.0292708809933567,0,0,0,0,0.0909000213180268,0,0,0,0,0.00162375243248199,0,0,0,0,0.0220300478266232,0,0,0.0309520754148344,0,0,0,0,0,0,0.0766114411903985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.968501231407567,0,-0.102517651360361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183008643614018,-0.0203003194321207,0,0,0.0202472791969435,0,0,0.0837022539968672,0,0,0,0,0,0,0,0.0469902153378143,0,0,0,-0.0083294951327811,0,-0.0627289277929136,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00553043628964076,0,0,0,0,0,0,0,0,0.284220002501361,0.123871936005924,0,0,0,0,0,0,0,0,0.445673315875242,0,0,0,0,0,0,0,-0.0312656296885019,0,0,0,0,0,0,0,0,0,0.0665621752095186,0,0,0,0,0,0,0,0.0137826551755707,0,0.278299937865598,0,0,0,0.0195834012082781
X600036.CH.EQUITY,0,0,0,0.35324359007776,0,0,0,0,0.0519619858988724,0,0,0,0,0,0,0,0.137578894257436,0.0527447317086011,0,0,0,0,0,0,0,0,0.129377505151067,0.0921392163133705,0,0,0,0,0,0.0444066918226807,0,0,0,0.0160590618763241,0,0,0,0,0,0.00650036861620383,0.0115635446989797,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0725623387541794,-0.0529182049370468,0,0,0.00679837716690684,0,0,-0.0515661690716368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0068605060741851,0,0,0,0,0,0,0,0,0.0121340962814535,0,0,-0.119752478011809,0,0.974746255264365,0.10814317460875,0,0
X1299.HK.EQUITY,0,0,0,0,0.119145504309011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294944123392835,0,0,0,0,0,0,0,0,0,0,0.104407221232268,0.32457833479044,0,0,0,0,0,0,0,0,0.0282527140834389,0.0559573443694428,0,0,0,0.0539971902484476,0,0,0,0.138018454793771
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0720174058409109,0,0,0,0,0,0,0,0,0.167902842233001,0.525682961851903,-0.00623362440870468,0,0,0,0,0,-0.00523562408484653,0,-0.2372878984514,0.122232825542484,0,0,0,0,0,0.154233149817806,0,0,-0.187001062131198,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.276437759571304,0,0,0.153095831079603,0,0,0,0,0,0,0.0770616055070208,0,-0.0201281010771544,-0.110406686213369,0,0,0.147014083424945,0.330526940210035,0,0,0.0496869043748101,0,0,0,-0.0145808425638436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153908876456844,0,0.00233752218924741,0,0,0,0,0.0149331601287773,0.215845887827019
