,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.12048495684051,-0.119700360899623,0,0,0,0,0,0,0.431303714805727,0,0,0,0,0,0,-0.0104691857316848,-0.143433671710148,0,0,0,0,0,0,0,0,0,0.628468535665207,-0.00407976109358673,0,0,0,0,0,0,0,0,0,-0.0644195847856747,0.0274323410250253,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0656484359772779,0,0.119503882595346,0,0,0,0,0.0817772121337337,0.0371907026615196,0,0,0,0.08696050361547,0,0,0.0689634918371219,0,0,0,0,0,0,0,0,0,0,0.0253141314807092,0.0121773864447765,0.22020010951395,0,0,0.241154551528159,0,0,0,0,0,0,0.00274577458903115,0,0,0,0,0,-0.0279383701488381
X601939.CH.EQUITY,0.305023814635949,0,0,0,0,0,0,0,0,0.048740619501057,0,0,0,0,0,0,0,0.0265915468213182,0,0,0.0938669042899752,0,0,0,0,-0.253089857787284,-0.0395041588249422,0,0,0,0,0,-0.0287920071583304,0,0,0,0,0.0214608369016085,0.0567282638420326,0.578188422663029,0,0,1.73472347597681e-18,0,-0.029622349738692,0,0,0,0,0,0.0999346649986596
X601288.CH.EQUITY,0,0,0,0,-0.346268001174092,0,0,6.93889390390723e-18,0,0,0.681066394331524,0,0,0,0.102141013137453,-0.354279846976549,0.0474532331145661,0,0,-0.277112794706006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833822095977409,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133464013089487,0,0.314950159978904,0,0,0.0337743500364895,0,0,0,0.161339651092412,0,0,0.0449034632295002,0,0,0,0,0,0,0,0,0,0,-0.220394656188235,0,0,0,0,0,0,0,0,0.219649992974793,0.151419635741475,0,0,0,0,0,0,-0.0887398187605799,0,0,0.096556314937946,0,0
X601988.CH.EQUITY,-0.0338887790160574,0,0,0,0.449218723338331,0,0,0,0,0,0,0,0,0,0.0199262063551149,0,0,0.0320383733550838,0,-0.178168124572745,0,0,0,0,0.252163694490465,0,0,0,0,0,-0.334029163003613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121620634200262,0.163444053158424,0,0,0,-0.00258074479484442,0.0684819528674743
X600036.CH.EQUITY,0,0.0531843219341426,-0.0127335240978139,0,0,0,0,0,0,0.641403115544053,0,0,0.0159598588943107,0,0,0,0,0,0,0.194435704059816,0,0,0,0,0,0,0,0.0705073091897998,-0.0329519421327487,0,0,0,0,-0.223706402691236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081365907891465
X1299.HK.EQUITY,0,0,0,0,0.300321246832634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877213934897776,0,0,0,0,0,0,0.238913238229783,0,0,0.00400634057579874,0.0846568616395258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128835433390358,0,0,0.071989691941118,-0.0174877459756339,0,0
X601628.CH.EQUITY,0,0.0777534320654061,0.0260536450566016,0.0661260589784513,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.158920093091851,0,-0.0304192658616965,0,0,0,0,0,0,0,0,0.0836753004574242,0,0,0,0,0,0,0,-0.0606927067036835,0,0.19427993884417,0.246365327271399,0,0,0,0,0,0.222456362199197,0,0,0.10990870712312,0,0,0,0,0,-0.00271202253059655
X601328.CH.EQUITY,0,0,0.0930736624756706,0,-0.0524468773599754,0,0.601445718600697,0,0,0,0,0,0,0,0,0,0,0,0,0.213395579859102,0,0,0,0,0,0.227319564220866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164597824222123,0,0,-0.455687982562811,0,0,0,-0.0040295331165484,-0.194245297907444
X601166.CH.EQUITY,0.123163120995003,0,0,0.251562228062704,0,0,0,0,0,0,0,0,0.256510974506671,0.0033892868567715,0,0,0,0,0.0263883417424556,0,0,0.114023683917317,0,0,0,0,0,0,0,0,0,0,0.189490803192872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669484482490175
X601319.CH.EQUITY,0,0,0,0,-0.00746240178048172,0,0,-0.0310800229736056,0.0674498928629264,0,0,0,0,0.334469931929299,0,0,0,0,0,0,0.0550146146903273,0,-3.46944695195361e-18,0,0,-0.10958691985178,0,0,0,0,0,0,0,0,0.38894203437335,0,0,0,0,0,0,0,0,0.139584771622388,0,0,0,0,-0.0878623366546253,0,0
X600000.CH.EQUITY,0,0,0.311654991476172,0,0,0,0.112564186421047,0,0,0,0.730606796925052,-0.156774572780576,0,0,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0,0.150638550254462,0,0,0,0,0,0,0,0,0,0,0,-0.064517701095655,0,0,-0.389532746181161,0,0,0,0,0,0,0,-0.0191179653356686,0,0,0,0,0,-0.0073932360436266
X601601.CH.EQUITY,0,0,0,0,0,0,0.0781960007577844,0,0.377044128125854,0,0,0.0130142400330435,0,0,0,0,0.04965140366532,0,0,-0.135922581677194,0,0,0,0,0,0,0.230654153291655,0,0,0,0,0,0,0,0,0,0,0,0,0.0265741708284441,0,0,0,0,0,0,0,0,0.0527212357505755,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104479474745428,0,0,0.0120395596502958,0,0,0,0,0,0,0,0,0,0.234043184505717,0,0.035234450538076,0,0,0,0.296401980567417,0.388989053328019,0,0.0148098253631461,0,0,0,0,0,0,0,0,0.141037483756665,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.258702782289591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996036178751178,0,0,0,0,0,0.51684011614737,0,0.0624378747324923,0,0,0,0,0.0583335221469318,0,0.286773047477593,-0.0254601948115891,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0.0525549777627856,0,0,0,0,0,-0.0195195621428423,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292825774813771,0,0,0.0791476189937076,0,0.257611884046743,0,0.288202285220474,0,-0.178483496204386,0,0,0,0.483147921968376,0,0,0,0,0,0,0,0,0.202767122785683,-0.0789866871194255,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7251481580968,0,0,0,0,0,0,0,0,0,0.0277354833456832,0,0,0,0,0,0,0,0,0,0,0.048304499180516,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.102989184666431,0,-0.259372607725925,0,-0.448011157857789,0,0,0,0,0,0,0,0,0,0,0,0.893350392511223,0,0,0,-3.46944695195361e-18,0,0,0,0.0183578456573542,0,0,0,0,-0.254719712032247,0,0.271356469822379,-0.250794360090506,0,0,0,0,0,0.00728845069843191,-0.226173392417643,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0176583302039329,0,0,0.00569671025941297,0,0,0.0239777045183057,0,0,0,0.218149232537475,0.0622486449743712,0,0,8.67361737988404e-19,0,0,0,-0.146402157585482,0,0,0,0,0,0,0,0,0,0,0.181121715751274,0,0.130019625952307,0,-0.191438964785399,0.137482296759217,0,0,0,0,-0.170818811892439,0,0,0,0,0
